"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2007","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2007","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2007","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2007","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45",""
"SURVEY","2007","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2006","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2006","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2006","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2006","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2006","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2005","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2005","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2005","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2005","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2005","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2004","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2004","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2004","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2004","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2004","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","22",""
"SURVEY","2003","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2003","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2003","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2003","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2003","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2002","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","36",""
"SURVEY","2002","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2002","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2002","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2002","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","MORTON","129","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","21",""
"SURVEY","2001","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2001","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","36",""
"SURVEY","2001","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2001","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","KEARNY","093","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45",""
