State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,067,Grant,1989,Unspecified,Wheat,Freeze,334.00,16.200000,2,1125.000000,18.000000
20,Kansas,067,Grant,1989,1,Wheat,Drought,1413.00,67.633800,1,2842.000000,203.000000
20,Kansas,067,Grant,1989,1,Wheat,"Wind/excess Wind",18073.00,259.612000,1,18159.000000,605.000000
20,Kansas,067,Grant,1989,2,Wheat,"Cold Winter",31289.00,1036.571600,2,61478.000000,2648.000000
20,Kansas,067,Grant,1989,2,Wheat,Drought,4156.00,269.267200,2,12663.000000,746.000000
20,Kansas,067,Grant,1989,2,Wheat,Freeze,64191.00,1515.551000,2,85467.000000,2511.000000
20,Kansas,067,Grant,1989,3,Wheat,"Cold Winter",5540.00,318.557000,2,21442.000000,733.000000
20,Kansas,067,Grant,1989,3,Wheat,Drought,4105.00,176.948100,1,9366.000000,469.000000
20,Kansas,067,Grant,1989,3,Wheat,Freeze,10098.00,181.300000,1,11077.000000,178.000000
20,Kansas,067,Grant,1989,4,Wheat,Drought,205.00,9.990000,1,450.000000,23.000000
20,Kansas,067,Grant,1989,4,Wheat,"Wind/excess Wind",2619.00,35.351000,1,2619.000000,78.000000
20,Kansas,067,Grant,1989,5,Wheat,Drought,2750.00,145.514400,2,8349.000000,275.000000
20,Kansas,067,Grant,1989,6,Wheat,"Wind/excess Wind",724.00,24.945800,1,1849.000000,59.000000
20,Kansas,067,Grant,1989,9,Wheat,Drought,7562.00,285.075800,2,14576.000000,718.000000
20,Kansas,067,Grant,1989,10,Wheat,"Cold Winter",5177.70,116.734940,2,6271.200000,315.100000
20,Kansas,067,Grant,1989,10,Wheat,Drought,220.30,5.081660,1,341.800000,11.900000
20,Kansas,067,Grant,1991,3,Wheat,"Cold Wet Weather",389.00,60.560000,1,3711.000000,120.000000
20,Kansas,067,Grant,1991,3,Wheat,Drought,817.80,24.360000,2,1139.400000,67.200000
20,Kansas,067,Grant,1991,4,Wheat,"Plant Disease",545.20,16.240000,2,759.600000,44.800000
20,Kansas,067,Grant,1992,3,Wheat,Other,864.00,21.675000,1,1736.000000,42.000000
20,Kansas,067,Grant,1992,5,Wheat,"Failure Of Irrigation Supply",1691.00,51.359000,2,3406.000000,104.000000
20,Kansas,067,Grant,1992,5,Wheat,Freeze,372.00,120.000000,2,7020.000000,215.000000
