State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,081,Haskell,1989,Unspecified,Wheat,"Cold Winter",1810.00,80.000000,1,4867.000000,131.000000
20,Kansas,081,Haskell,1989,2,Wheat,"Cold Winter",21205.00,768.331000,2,54366.000000,1374.000000
20,Kansas,081,Haskell,1989,2,Wheat,Drought,2979.00,75.116300,2,5592.000000,150.000000
20,Kansas,081,Haskell,1989,2,Wheat,Freeze,47162.00,1582.346100,2,103634.000000,2737.000000
20,Kansas,081,Haskell,1989,3,Wheat,"Cold Winter",24290.00,896.084500,1,52715.000000,1801.000000
20,Kansas,081,Haskell,1989,3,Wheat,Drought,1466.00,72.703000,1,3327.000000,143.000000
20,Kansas,081,Haskell,1989,3,Wheat,Freeze,5810.00,144.463500,2,10263.000000,260.000000
20,Kansas,081,Haskell,1989,4,Wheat,Drought,702.00,42.542000,2,1837.500000,84.000000
20,Kansas,081,Haskell,1989,4,Wheat,Hail,6992.00,156.383100,2,7904.000000,327.000000
20,Kansas,081,Haskell,1989,4,Wheat,"Hot Wind",0.00,0.000000,1,0.000000,0.000000
20,Kansas,081,Haskell,1989,5,Wheat,Drought,1391.00,169.171200,2,5790.000000,187.000000
20,Kansas,081,Haskell,1989,5,Wheat,Freeze,320.00,17.342000,1,703.500000,30.000000
20,Kansas,081,Haskell,1989,5,Wheat,"Hot Wind",0.00,0.000000,1,0.000000,0.000000
20,Kansas,081,Haskell,1989,6,Wheat,Drought,6709.00,166.218200,2,9249.000000,348.000000
20,Kansas,081,Haskell,1989,6,Wheat,"Hot Wind",4254.00,119.983600,2,12239.000000,227.000000
20,Kansas,081,Haskell,1989,9,Wheat,Drought,5945.00,194.430500,2,9198.000000,208.000000
20,Kansas,081,Haskell,1991,10,Wheat,Drought,189.00,26.040600,1,1447.000000,48.000000
20,Kansas,081,Haskell,1992,2,Wheat,"Cold Winter",11955.00,223.676500,2,14675.000000,332.000000
20,Kansas,081,Haskell,1992,3,Wheat,Freeze,1646.00,90.576000,1,6533.000000,157.000000
20,Kansas,081,Haskell,1992,5,Wheat,Drought,909.00,16.300000,1,987.000000,27.000000
20,Kansas,081,Haskell,1992,6,Wheat,"Excess Moisture/precip/rain",300.00,60.697000,2,5099.000000,87.000000
20,Kansas,081,Haskell,1992,6,Wheat,Freeze,3367.00,361.000000,1,23457.000000,580.000000
20,Kansas,081,Haskell,1992,6,Wheat,Hail,2376.00,93.380000,1,3838.000000,193.000000
