State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,093,Kearny,1989,2,Wheat,"Cold Winter",33660.00,1483.564900,2,84061.000000,3859.000000
20,Kansas,093,Kearny,1989,2,Wheat,Drought,0.00,0.000000,1,0.000000,0.000000
20,Kansas,093,Kearny,1989,2,Wheat,Freeze,8751.00,133.340000,2,13521.000000,183.000000
20,Kansas,093,Kearny,1989,3,Wheat,"Cold Winter",19633.00,492.575800,2,30290.000000,1003.000000
20,Kansas,093,Kearny,1989,3,Wheat,Drought,382.00,47.090200,1,3772.000000,117.000000
20,Kansas,093,Kearny,1989,3,Wheat,Freeze,1817.00,50.158400,1,3558.000000,78.000000
20,Kansas,093,Kearny,1989,3,Wheat,"Wind/excess Wind",1733.00,46.289800,1,2588.000000,71.000000
20,Kansas,093,Kearny,1989,4,Wheat,Drought,6636.00,111.474000,2,6970.000000,298.000000
20,Kansas,093,Kearny,1989,5,Wheat,Drought,6901.00,367.685500,2,17757.000000,1010.000000
20,Kansas,093,Kearny,1989,6,Wheat,"Wind/excess Wind",5030.00,164.348800,2,11242.000000,371.000000
20,Kansas,093,Kearny,1989,9,Wheat,Drought,1579.00,103.073000,1,6946.000000,251.000000
20,Kansas,093,Kearny,1989,12,Wheat,Drought,1565.00,32.000000,1,1575.000000,87.000000
20,Kansas,093,Kearny,1991,3,Wheat,Hail,7516.50,192.096000,1,13161.500000,257.000000
20,Kansas,093,Kearny,1991,3,Wheat,"Wind/excess Wind",15542.00,396.854300,2,19740.000000,483.000000
20,Kansas,093,Kearny,1991,4,Wheat,Drought,746.00,15.960000,1,871.000000,37.000000
20,Kansas,093,Kearny,1991,5,Wheat,Hail,5611.00,177.822200,1,11470.000000,403.000000
20,Kansas,093,Kearny,1991,6,Wheat,Hail,8458.00,380.545200,2,25414.000000,769.000000
20,Kansas,093,Kearny,1991,7,Wheat,"Cold Winter",687.00,26.739900,1,1564.000000,37.000000
20,Kansas,093,Kearny,1991,10,Wheat,"Wind/excess Wind",7516.50,192.096000,1,13161.500000,257.000000
20,Kansas,093,Kearny,1992,Unspecified,Wheat,"Excess Moisture/precip/rain",212.80,16.541600,1,1066.800000,24.000000
20,Kansas,093,Kearny,1992,1,Wheat,Drought,3123.50,75.657810,2,5602.700000,167.900000
20,Kansas,093,Kearny,1992,2,Wheat,Drought,630.50,41.720850,1,2691.500000,99.500000
20,Kansas,093,Kearny,1992,3,Wheat,"Cold Winter",585.20,46.457400,3,2997.200000,68.000000
20,Kansas,093,Kearny,1992,4,Wheat,Drought,246.00,35.450000,1,2075.000000,82.000000
20,Kansas,093,Kearny,1992,5,Wheat,Drought,32411.00,981.953100,2,76686.000000,2323.000000
