State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
20,Kansas,129,Morton,1989,Unspecified,Wheat,"Cold Winter",2411.95,255.555700,2,21113.950000,268.500000
20,Kansas,129,Morton,1989,Unspecified,Wheat,Drought,16539.05,675.254300,2,26480.450000,846.100000
20,Kansas,129,Morton,1989,Unspecified,Wheat,Freeze,397.00,10.656000,1,559.600000,18.400000
20,Kansas,129,Morton,1989,1,Wheat,Drought,794.00,46.520100,1,1452.000000,118.000000
20,Kansas,129,Morton,1989,1,Wheat,Hail,0.00,0.000000,1,0.000000,0.000000
20,Kansas,129,Morton,1989,2,Wheat,"Cold Winter",18034.00,383.314200,2,18377.000000,838.000000
20,Kansas,129,Morton,1989,2,Wheat,Freeze,131021.00,4272.784500,2,261417.000000,9977.000000
20,Kansas,129,Morton,1989,2,Wheat,"Wind/excess Wind",1133.00,33.683500,1,936.500000,34.000000
20,Kansas,129,Morton,1989,3,Wheat,"Cold Winter",70307.00,1505.484700,2,93117.000000,3159.000000
20,Kansas,129,Morton,1989,3,Wheat,Drought,5586.00,177.621300,2,6436.000000,424.000000
20,Kansas,129,Morton,1989,3,Wheat,Freeze,18300.00,215.556900,2,22599.000000,370.000000
20,Kansas,129,Morton,1989,3,Wheat,"Wind/excess Wind",1371.00,106.433500,1,3149.000000,217.000000
20,Kansas,129,Morton,1989,4,Wheat,"Cold Winter",38261.00,807.178200,2,59840.000000,1629.000000
20,Kansas,129,Morton,1989,4,Wheat,Drought,8120.00,325.412600,2,21510.000000,847.000000
20,Kansas,129,Morton,1989,4,Wheat,"Wind/excess Wind",203.00,11.872600,1,936.500000,34.000000
20,Kansas,129,Morton,1989,5,Wheat,"Cold Winter",15046.00,322.914200,2,23353.000000,713.000000
20,Kansas,129,Morton,1989,5,Wheat,Drought,14838.00,606.421100,2,22288.000000,1502.000000
20,Kansas,129,Morton,1989,5,Wheat,Heat,502.00,61.497400,1,3740.000000,101.000000
20,Kansas,129,Morton,1989,6,Wheat,"Cold Winter",551.00,35.000000,1,551.000000,38.000000
20,Kansas,129,Morton,1989,6,Wheat,Drought,689.00,80.400000,2,2364.000000,192.000000
20,Kansas,129,Morton,1989,6,Wheat,Hail,2617.00,243.623700,2,18907.000000,1237.000000
20,Kansas,129,Morton,1989,8,Wheat,Drought,6333.00,167.950600,1,10185.000000,337.000000
20,Kansas,129,Morton,1989,9,Wheat,Drought,53994.00,1847.668400,2,96655.000000,3871.000000
20,Kansas,129,Morton,1989,9,Wheat,Freeze,5191.00,102.184400,1,5831.000000,231.000000
20,Kansas,129,Morton,1989,10,Wheat,"Cold Winter",15922.00,698.148900,2,20972.000000,1766.000000
20,Kansas,129,Morton,1989,10,Wheat,Drought,3747.50,252.879700,2,11957.100000,520.200000
20,Kansas,129,Morton,1989,10,Wheat,Freeze,4463.50,318.514300,2,17984.900000,629.800000
20,Kansas,129,Morton,1989,10,Wheat,Hail,4657.00,347.150800,1,13146.000000,1061.000000
