Grant County, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,23.95,5.38
199012,22.86,4.29
199112,19.19,0.62
199212,15.69,-2.88
199312,23.10,4.53
199412,18.87,0.30
199512,17.54,-1.03
199612,23.12,4.55
199712,21.46,2.89
199812,18.66,0.09
199912,17.84,-0.73
200012,17.92,-0.65
200112,17.57,-1.00
200212,12.11,-6.46
200312,16.63,-1.94
200412,23.27,4.70
200512,19.01,0.44
200612,17.49,-1.08
200712,13.93,-4.64
200812,15.36,-3.21
200912,19.78,1.21
201012,13.85,-4.72
201112,11.88,-6.69
201212,12.49,-6.08
201312,15.15,-3.42
201412,15.88,-2.69
201512,26.57,8.00
201612,18.39,-0.18
201712,25.09,6.52
201812,24.13,5.56
201912,16.93,-1.64
