Gray County, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,53.1,-2.0
199012,54.8,-0.3
199112,55.4,0.3
199212,53.7,-1.4
199312,51.6,-3.5
199412,54.9,-0.2
199512,53.9,-1.2
199612,53.5,-1.6
199712,53.6,-1.5
199812,56.1,1.0
199912,55.7,0.6
200012,55.4,0.3
200112,56.1,1.0
200212,55.1,0.0
200312,55.2,0.1
200412,55.4,0.3
200512,56.4,1.3
200612,57.0,1.9
200712,55.0,-0.1
200812,54.4,-0.7
200912,54.0,-1.1
201012,55.5,0.4
201112,55.5,0.4
201212,57.9,2.8
201312,54.6,-0.5
201412,54.2,-0.9
201512,56.5,1.4
201612,57.1,2.0
201712,56.6,1.5
201812,55.0,-0.1
201912,54.1,-1.0
