Gray County, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,22.64,1.61
199012,20.89,-0.14
199112,19.06,-1.97
199212,24.12,3.09
199312,25.98,4.95
199412,17.41,-3.62
199512,19.83,-1.20
199612,27.46,6.43
199712,24.30,3.27
199812,20.87,-0.16
199912,22.85,1.82
200012,19.50,-1.53
200112,17.28,-3.75
200212,13.99,-7.04
200312,18.13,-2.90
200412,23.56,2.53
200512,20.68,-0.35
200612,20.29,-0.74
200712,19.46,-1.57
200812,20.22,-0.81
200912,23.53,2.50
201012,17.96,-3.07
201112,9.64,-11.39
201212,15.46,-5.57
201312,17.50,-3.53
201412,21.35,0.32
201512,31.51,10.48
201612,24.09,3.06
201712,23.53,2.50
201812,28.06,7.03
201912,20.91,-0.12
