Kearny County, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,52.7,-1.9
199012,54.2,-0.4
199112,54.5,-0.1
199212,53.3,-1.3
199312,51.3,-3.3
199412,54.9,0.3
199512,53.6,-1.0
199612,53.0,-1.6
199712,53.0,-1.6
199812,55.4,0.8
199912,55.5,0.9
200012,55.5,0.9
200112,55.4,0.8
200212,54.8,0.2
200312,55.1,0.5
200412,54.9,0.3
200512,55.5,0.9
200612,56.2,1.6
200712,53.9,-0.7
200812,54.1,-0.5
200912,53.6,-1.0
201012,55.3,0.7
201112,54.7,0.1
201212,57.6,3.0
201312,54.3,-0.3
201412,54.0,-0.6
201512,56.0,1.4
201612,56.8,2.2
201712,55.6,1.0
201812,54.6,0.0
201912,53.7,-0.9
