Kearny County, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,21.70,2.68
199012,22.00,2.98
199112,19.20,0.18
199212,19.75,0.73
199312,23.90,4.88
199412,20.80,1.78
199512,19.93,0.91
199612,23.40,4.38
199712,23.96,4.94
199812,20.89,1.87
199912,18.49,-0.53
200012,17.80,-1.22
200112,19.00,-0.02
200212,11.45,-7.57
200312,17.21,-1.81
200412,24.72,5.70
200512,19.93,0.91
200612,19.00,-0.02
200712,14.92,-4.10
200812,15.97,-3.05
200912,19.47,0.45
201012,14.54,-4.48
201112,15.02,-4.00
201212,10.77,-8.25
201312,14.45,-4.57
201412,17.03,-1.99
201512,23.74,4.72
201612,18.67,-0.35
201712,22.21,3.19
201812,23.00,3.98
201912,16.65,-2.37
