Morton County, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,54.0,-1.8
199012,55.5,-0.3
199112,55.3,-0.5
199212,54.8,-1.0
199312,53.2,-2.6
199412,56.1,0.3
199512,55.2,-0.6
199612,54.8,-1.0
199712,54.3,-1.5
199812,56.5,0.7
199912,56.5,0.7
200012,56.5,0.7
200112,56.5,0.7
200212,55.9,0.1
200312,56.0,0.2
200412,55.9,0.1
200512,56.5,0.7
200612,57.0,1.2
200712,55.1,-0.7
200812,55.5,-0.3
200912,55.0,-0.8
201012,56.3,0.5
201112,56.4,0.6
201212,58.4,2.6
201312,55.0,-0.8
201412,55.3,-0.5
201512,56.8,1.0
201612,57.3,1.5
201712,56.7,0.9
201812,55.9,0.1
201912,54.8,-1.0
