Morton County, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,21.13,3.40
199012,20.59,2.86
199112,18.79,1.06
199212,15.74,-1.99
199312,20.17,2.44
199412,18.89,1.16
199512,15.64,-2.09
199612,21.60,3.87
199712,19.77,2.04
199812,20.66,2.93
199912,18.62,0.89
200012,16.59,-1.14
200112,18.35,0.62
200212,13.34,-4.39
200312,19.19,1.46
200412,25.24,7.51
200512,17.80,0.07
200612,17.66,-0.07
200712,12.21,-5.52
200812,15.25,-2.48
200912,16.13,-1.60
201012,14.22,-3.51
201112,11.22,-6.51
201212,13.09,-4.64
201312,14.93,-2.80
201412,13.60,-4.13
201512,23.60,5.87
201612,15.86,-1.87
201712,22.41,4.68
201812,20.78,3.05
201912,16.63,-1.10
