Grant County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,35.3,2.4
198902,26.7,-9.4
198903,45.4,0.1
198904,56.9,3.1
198905,64.4,0.5
198906,67.7,-6.5
198907,75.9,-3.0
198908,74.2,-2.6
198909,64.8,-4.3
198910,57.4,1.2
198911,43.8,0.7
198912,28.4,-4.7
199001,33.5,0.6
199002,34.8,-1.3
199003,43.6,-1.7
199004,54.1,0.3
199005,60.6,-3.3
199006,76.6,2.4
199007,76.5,-2.4
199008,76.2,-0.6
199009,71.3,2.2
199010,55.9,-0.3
199011,47.3,4.2
199012,27.9,-5.2
199101,29.0,-3.9
199102,43.2,7.1
199103,45.8,0.5
199104,54.7,0.9
199105,65.7,1.8
199106,74.6,0.4
199107,77.6,-1.3
199108,75.9,-0.9
199109,67.8,-1.3
199110,55.6,-0.6
199111,35.9,-7.2
199112,35.6,2.5
199201,36.0,3.1
199202,41.6,5.5
199203,48.4,3.1
199204,55.8,2.0
199205,63.6,-0.3
199206,68.5,-5.7
199207,75.7,-3.2
199208,71.2,-5.6
199209,68.5,-0.6
199210,56.5,0.3
199211,36.5,-6.6
199212,26.9,-6.2
199301,24.6,-8.3
199302,29.7,-6.4
199303,43.1,-2.2
199304,50.8,-3.0
199305,62.9,-1.0
199306,71.5,-2.7
199307,78.2,-0.7
199308,76.1,-0.7
199309,64.4,-4.7
199310,53.0,-3.2
199311,37.6,-5.5
199312,36.6,3.5
199401,31.9,-1.0
199402,31.8,-4.3
199403,47.1,1.8
199404,52.8,-1.0
199405,65.7,1.8
199406,78.0,3.8
199407,76.9,-2.0
199408,77.0,0.2
199409,67.5,-1.6
199410,57.1,0.9
199411,42.8,-0.3
199412,38.0,4.9
199501,34.4,1.5
199502,41.8,5.7
199503,43.2,-2.1
199504,49.4,-4.4
199505,56.7,-7.2
199506,69.8,-4.4
199507,77.3,-1.6
199508,80.3,3.5
199509,66.8,-2.3
199510,55.1,-1.1
199511,44.8,1.7
199512,33.8,0.7
199601,30.1,-2.8
199602,37.8,1.7
199603,38.5,-6.8
199604,54.4,0.6
199605,65.5,1.6
199606,75.1,0.9
199607,76.8,-2.1
199608,73.9,-2.9
199609,65.8,-3.3
199610,55.7,-0.5
199611,40.4,-2.7
199612,34.0,0.9
199701,31.3,-1.6
199702,35.7,-0.4
199703,47.9,2.6
199704,47.4,-6.4
199705,62.4,-1.5
199706,71.6,-2.6
199707,78.7,-0.2
199708,75.4,-1.4
199709,69.8,0.7
199710,55.9,-0.3
199711,39.5,-3.6
199712,31.2,-1.9
199801,34.4,1.5
199802,40.1,4.0
199803,39.0,-6.3
199804,50.8,-3.0
199805,67.2,3.3
199806,73.2,-1.0
199807,79.8,0.9
199808,76.6,-0.2
199809,74.0,4.9
199810,58.5,2.3
199811,46.0,2.9
199812,34.4,1.3
199901,35.3,2.4
199902,42.6,6.5
199903,42.7,-2.6
199904,52.6,-1.2
199905,62.1,-1.8
199906,71.6,-2.6
199907,80.0,1.1
199908,78.3,1.5
199909,65.2,-3.9
199910,55.2,-1.0
199911,49.0,5.9
199912,37.6,4.5
200001,34.9,2.0
200002,42.8,6.7
200003,44.9,-0.4
200004,54.2,0.4
200005,66.9,3.0
200006,72.8,-1.4
200007,79.7,0.8
200008,81.2,4.4
200009,70.9,1.8
200010,58.4,2.2
200011,37.7,-5.4
200012,29.7,-3.4
200101,31.6,-1.3
200102,32.7,-3.4
200103,42.6,-2.7
200104,58.0,4.2
200105,64.3,0.4
200106,73.3,-0.9
200107,83.1,4.2
200108,78.0,1.2
200109,69.4,0.3
200110,56.3,0.1
200111,48.0,4.9
200112,36.5,3.4
200201,33.6,0.7
200202,36.0,-0.1
200203,41.2,-4.1
200204,57.4,3.6
200205,63.9,0.0
200206,78.8,4.6
200207,80.2,1.3
200208,77.5,0.7
200209,68.8,-0.3
200210,50.9,-5.3
200211,42.3,-0.8
200212,34.0,0.9
200301,35.7,2.8
200302,32.9,-3.2
200303,45.2,-0.1
200304,55.9,2.1
200305,64.6,0.7
200306,70.0,-4.2
200307,81.7,2.8
200308,79.1,2.3
200309,65.9,-3.2
200310,60.1,3.9
200311,41.5,-1.6
200312,35.8,2.7
200401,34.0,1.1
200402,35.1,-1.0
200403,51.2,5.9
200404,54.4,0.6
200405,68.0,4.1
200406,72.0,-2.2
200407,75.2,-3.7
200408,72.1,-4.7
200409,70.2,1.1
200410,56.8,0.6
200411,42.2,-0.9
200412,36.5,3.4
200501,33.4,0.5
200502,39.8,3.7
200503,44.8,-0.5
200504,53.6,-0.2
200505,63.8,-0.1
200506,73.7,-0.5
200507,78.4,-0.5
200508,76.0,-0.8
200509,71.9,2.8
200510,57.8,1.6
200511,46.1,3.0
200512,33.3,0.2
200601,40.7,7.8
200602,35.3,-0.8
200603,45.8,0.5
200604,58.7,4.9
200605,66.8,2.9
200606,76.9,2.7
200607,80.5,1.6
200608,76.6,-0.2
200609,64.6,-4.5
200610,55.8,-0.4
200611,44.4,1.3
200612,34.0,0.9
200701,23.4,-9.5
200702,30.5,-5.6
200703,51.1,5.8
200704,49.5,-4.3
200705,64.9,1.0
200706,71.4,-2.8
200707,78.2,-0.7
200708,80.8,4.0
200709,71.5,2.4
200710,59.7,3.5
200711,43.3,0.2
200712,30.4,-2.7
200801,32.0,-0.9
200802,35.0,-1.1
200803,44.6,-0.7
200804,51.5,-2.3
200805,64.4,0.5
200806,74.8,0.6
