Date,Value,Anomaly
189501,26.9,-6
189502,24.4,-11.7
189503,40.3,-5
189504,57.8,4
189505,64.7,0.8
189506,71,-3.2
189507,74.3,-4.6
189508,75.6,-1.2
189509,72.1,3
189510,51.9,-4.3
189511,38.3,-4.8
189512,30.7,-2.5
189601,34.3,1.4
189602,36.7,0.6
189603,40,-5.3
189604,58.3,4.5
189605,68.5,4.6
189606,78,3.8
189607,79.1,0.2
189608,79.1,2.3
189609,67.1,-2
189610,53.2,-3
189611,37.1,-6
189612,38.3,5.1
189701,26.7,-6.2
189702,31.4,-4.7
189703,41.9,-3.4
189704,52.2,-1.6
189705,65.5,1.6
189706,75.8,1.6
189707,79.8,0.9
189708,74.1,-2.7
189709,72.8,3.7
189710,56.8,0.6
189711,39.2,-3.9
189712,27.8,-5.4
189801,25.5,-7.4
189802,35,-1.1
189803,40.2,-5.1
189804,53.4,-0.4
189805,59.8,-4.1
189806,71,-3.2
189807,75.1,-3.8
189808,76.4,-0.4
189809,64.7,-4.4
189810,48.5,-7.7
189811,38.1,-5
189812,22.2,-11
189901,28,-4.9
189902,18.5,-17.6
189903,38.8,-6.5
189904,51.7,-2.1
189905,66.1,2.2
189906,74.6,0.4
189907,75.9,-3
189908,79.8,3
189909,69.5,0.4
189910,56.9,0.7
189911,44.8,1.7
189912,29.4,-3.8
190001,35.3,2.4
190002,29.5,-6.6
190003,44.1,-1.2
190004,52.2,-1.6
190005,64.3,0.4
190006,75.8,1.6
190007,77.8,-1.1
190008,79.1,2.3
190009,68.1,-1
190010,59.1,2.9
190011,40.8,-2.3
190012,33.2,0
190101,31.3,-1.6
190102,29.1,-7
190103,42.7,-2.6
190104,53.1,-0.7
190105,63.1,-0.8
190106,77,2.8
190107,82.1,3.2
190108,78.1,1.3
190109,68.7,-0.4
190110,56.8,0.6
190111,43.4,0.3
190112,31.4,-1.8
190201,31,-1.9
190202,33,-3.1
190203,43.2,-2.1
190204,53.2,-0.6
190205,66.2,2.3
190206,71.9,-2.3
190207,77.6,-1.3
190208,80.6,3.8
190209,65.9,-3.2
190210,57.1,0.9
190211,43,-0.1
190212,27,-6.2
190301,32.6,-0.3
190302,23.2,-12.9
190303,39,-6.3
190304,53.5,-0.3
190305,60.8,-3.1
190306,66.2,-8
190307,79,0.1
190308,77.6,0.8
190309,66.9,-2.2
190310,56.7,0.5
190311,40.7,-2.4
190312,33.8,0.6
190401,30,-2.9
190402,36.5,0.4
190403,45.6,0.3
190404,51.6,-2.2
190405,63.3,-0.6
190406,70.4,-3.8
190407,76.6,-2.3
190408,74.8,-2
190409,68.9,-0.2
190410,56.9,0.7
190411,42.8,-0.3
190412,29.7,-3.5
190501,22.3,-10.6
190502,20.7,-15.4
190503,47.1,1.8
190504,49,-4.8
190505,59.7,-4.2
190506,73.5,-0.7
190507,74.3,-4.6
190508,79,2.2
190509,71.6,2.5
190510,52.8,-3.4
190511,43.9,0.8
