Grant County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,18.2,-0.7
198902,14.8,-6.9
198903,27.5,-2.5
198904,39.7,1.4
198905,51.5,2.2
198906,56.0,-3.4
198907,62.2,-2.4
198908,62.7,-0.2
198909,50.8,-3.6
198910,39.9,-1.0
198911,24.9,-3.4
198912,14.4,-5.2
199001,18.7,-0.2
199002,23.3,1.6
199003,30.2,0.2
199004,38.7,0.4
199005,47.0,-2.3
199006,61.2,1.8
199007,63.1,-1.5
199008,61.7,-1.2
199009,57.2,2.8
199010,39.4,-1.5
199011,30.6,2.3
199012,13.3,-6.3
199101,17.6,-1.3
199102,24.7,3.0
199103,29.6,-0.4
199104,39.8,1.5
199105,51.5,2.2
199106,61.0,1.6
199107,63.7,-0.9
199108,62.7,-0.2
199109,53.1,-1.3
199110,37.9,-3.0
199111,24.1,-4.2
199112,24.8,5.2
199201,22.3,3.4
199202,27.1,5.4
199203,32.9,2.9
199204,39.9,1.6
199205,50.2,0.9
199206,55.9,-3.5
199207,61.9,-2.7
199208,58.6,-4.3
199209,53.1,-1.3
199210,39.9,-1.0
199211,25.7,-2.6
199212,15.4,-4.2
199301,15.3,-3.6
199302,19.4,-2.3
199303,30.8,0.8
199304,37.0,-1.3
199305,49.4,0.1
199306,57.3,-2.1
199307,64.8,0.2
199308,62.2,-0.7
199309,49.2,-5.2
199310,38.4,-2.5
199311,22.9,-5.4
199312,22.1,2.5
199401,16.6,-2.3
199402,16.4,-5.3
199403,30.5,0.5
199404,37.5,-0.8
199405,52.2,2.9
199406,62.4,3.0
199407,61.9,-2.7
199408,62.5,-0.4
199409,52.6,-1.8
199410,42.2,1.3
199411,29.3,1.0
199412,23.9,4.3
199501,21.1,2.2
199502,26.0,4.3
199503,30.5,0.5
199504,34.9,-3.4
199505,45.0,-4.3
199506,55.6,-3.8
199507,62.3,-2.3
199508,65.7,2.8
199509,53.2,-1.2
199510,37.1,-3.8
199511,28.1,-0.2
199512,20.2,0.6
199601,14.5,-4.4
199602,20.7,-1.0
199603,22.3,-7.7
199604,36.6,-1.7
199605,49.9,0.6
199606,59.9,0.5
199607,63.7,-0.9
199608,62.4,-0.5
199609,53.2,-1.2
199610,40.6,-0.3
199611,27.3,-1.0
199612,17.7,-1.9
199701,17.4,-1.5
199702,23.3,1.6
199703,30.3,0.3
199704,33.4,-4.9
199705,47.4,-1.9
199706,57.8,-1.6
199707,63.7,-0.9
199708,62.4,-0.5
199709,55.8,1.4
199710,41.5,0.6
199711,26.8,-1.5
199712,22.5,2.9
199801,22.5,3.6
199802,28.9,7.2
199803,26.8,-3.2
199804,35.3,-3.0
199805,50.5,1.2
199806,56.1,-3.3
199807,66.0,1.4
199808,62.5,-0.4
199809,58.1,3.7
199810,43.7,2.8
199811,32.7,4.4
199812,20.5,0.9
199901,20.8,1.9
199902,25.1,3.4
199903,29.8,-0.2
199904,37.8,-0.5
199905,47.8,-1.5
199906,57.1,-2.3
199907,65.4,0.8
199908,63.6,0.7
199909,51.6,-2.8
199910,38.1,-2.8
199911,31.1,2.8
199912,22.5,2.9
200001,19.5,0.6
200002,26.3,4.6
200003,32.9,2.9
200004,36.8,-1.5
200005,51.4,2.1
200006,58.6,-0.8
200007,65.0,0.4
200008,65.1,2.2
200009,52.8,-1.6
200010,45.2,4.3
200011,24.8,-3.5
200012,16.8,-2.8
200101,18.8,-0.1
200102,21.6,-0.1
200103,30.7,0.7
200104,42.1,3.8
200105,50.0,0.7
200106,58.3,-1.1
200107,67.5,2.9
200108,62.6,-0.3
200109,53.4,-1.0
200110,39.3,-1.6
200111,33.7,5.4
200112,20.5,0.9
200201,17.6,-1.3
200202,20.7,-1.0
200203,22.8,-7.2
200204,41.7,3.4
200205,48.1,-1.2
200206,63.2,3.8
200207,65.8,1.2
200208,63.8,0.9
200209,54.7,0.3
200210,39.3,-1.6
200211,28.1,-0.2
200212,21.3,1.7
200301,22.3,3.4
200302,19.1,-2.6
200303,31.4,1.4
200304,39.9,1.6
200305,49.9,0.6
200306,57.3,-2.1
200307,65.5,0.9
200308,64.1,1.2
200309,51.0,-3.4
200310,43.9,3.0
200311,28.5,0.2
200312,21.1,1.5
200401,19.8,0.9
200402,20.5,-1.2
200403,36.2,6.2
200404,40.0,1.7
200405,51.0,1.7
200406,57.6,-1.8
200407,62.6,-2.0
200408,59.1,-3.8
200409,55.6,1.2
200410,43.5,2.6
200411,31.9,3.6
200412,21.1,1.5
200501,22.0,3.1
200502,28.1,6.4
200503,29.9,-0.1
200504,38.4,0.1
200505,49.6,0.3
200506,58.7,-0.7
200507,62.9,-1.7
200508,62.3,-0.6
200509,57.0,2.6
200510,42.7,1.8
200511,29.3,1.0
200512,19.2,-0.4
200601,23.6,4.7
200602,17.8,-3.9
200603,30.8,0.8
200604,40.3,2.0
200605,51.5,2.2
200606,60.6,1.2
200607,65.9,1.3
200608,64.2,1.3
200609,50.1,-4.3
200610,40.9,0.0
200611,28.3,0.0
200612,21.4,1.8
200701,13.4,-5.5
200702,19.6,-2.1
200703,37.2,7.2
200704,36.5,-1.8
200705,51.1,1.8
200706,57.5,-1.9
200707,63.6,-1.0
200708,66.9,4.0
200709,56.3,1.9
200710,42.4,1.5
200711,25.6,-2.7
200712,18.7,-0.9
200801,17.8,-1.1
200802,19.5,-2.2
200803,28.7,-1.3
200804,35.6,-2.7
200805,47.6,-1.7
