Grant County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.41,0.00
198902,0.40,0.00
198903,0.32,-0.71
198904,0.55,-0.99
198905,5.56,3.25
198906,7.27,4.28
198907,1.38,-1.51
198908,4.92,1.97
198909,2.70,1.32
198910,0.13,-1.42
198911,0.00,-0.51
198912,0.31,-0.27
199001,1.34,0.93
199002,1.41,1.01
199003,0.68,-0.35
199004,2.09,0.55
199005,4.18,1.87
199006,2.05,-0.94
199007,6.65,3.76
199008,0.73,-2.22
199009,2.31,0.93
199010,0.10,-1.45
199011,0.98,0.47
199012,0.34,-0.24
199101,0.23,-0.18
199102,0.05,-0.35
199103,0.97,-0.06
199104,1.12,-0.42
199105,3.19,0.88
199106,3.54,0.55
199107,3.21,0.32
199108,2.61,-0.34
199109,0.45,-0.93
199110,1.11,-0.44
199111,1.66,1.15
199112,1.05,0.47
199201,0.78,0.37
199202,0.37,-0.03
199203,0.54,-0.49
199204,0.22,-1.32
199205,1.17,-1.14
199206,3.98,0.99
199207,2.95,0.06
199208,2.93,-0.02
199209,0.19,-1.19
199210,0.14,-1.41
199211,1.85,1.34
199212,0.57,-0.01
199301,1.09,0.68
199302,1.69,1.29
199303,1.98,0.95
199304,1.08,-0.46
199305,2.36,0.05
199306,3.66,0.67
199307,2.99,0.10
199308,4.29,1.34
199309,1.42,0.04
199310,1.27,-0.28
199311,0.49,-0.02
199312,0.78,0.20
199401,0.50,0.09
199402,0.14,-0.26
199403,0.26,-0.77
199404,1.97,0.43
199405,1.00,-1.31
199406,3.63,0.64
199407,3.22,0.33
199408,4.72,1.77
199409,0.97,-0.41
199410,1.29,-0.26
199411,0.76,0.25
199412,0.41,-0.17
199501,0.19,-0.22
199502,0.13,-0.27
199503,1.11,0.08
199504,2.23,0.69
199505,3.78,1.47
199506,4.23,1.24
199507,2.36,-0.53
199508,1.89,-1.06
199509,1.10,-0.28
199510,0.18,-1.37
199511,0.01,-0.50
199512,0.33,-0.25
199601,0.06,-0.35
199602,0.11,-0.29
