Gray County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,35.5,3.2
198902,25.0,-10.3
198903,44.5,-0.4
198904,57.5,3.9
198905,64.3,0.4
198906,66.9,-7.1
198907,75.6,-3.4
198908,74.7,-2.3
198909,64.9,-4.1
198910,57.4,1.3
198911,43.2,0.3
198912,27.4,-5.4
199001,33.1,0.8
199002,34.6,-0.7
199003,44.8,-0.1
199004,53.1,-0.5
199005,59.6,-4.3
199006,76.6,2.6
199007,76.8,-2.2
199008,77.2,0.2
199009,71.8,2.8
199010,55.7,-0.4
199011,47.0,4.1
199012,27.5,-5.3
199101,27.7,-4.6
199102,42.8,7.5
199103,45.8,0.9
199104,55.0,1.4
199105,66.7,2.8
199106,75.8,1.8
199107,79.0,0.0
199108,76.8,-0.2
199109,68.5,-0.5
199110,56.0,-0.1
199111,35.1,-7.8
199112,36.1,3.3
199201,36.7,4.4
199202,41.2,5.9
199203,47.9,3.0
199204,55.4,1.8
199205,62.6,-1.3
199206,67.7,-6.3
199207,75.2,-3.8
199208,71.0,-6.0
199209,68.1,-0.9
199210,56.4,0.3
199211,35.9,-7.0
199212,26.3,-6.5
199301,24.2,-8.1
199302,28.0,-7.3
199303,41.9,-3.0
199304,49.5,-4.1
199305,62.3,-1.6
199306,70.6,-3.4
199307,77.2,-1.8
199308,75.4,-1.6
199309,63.9,-5.1
199310,52.9,-3.2
199311,37.3,-5.6
199312,35.7,2.9
199401,30.3,-2.0
199402,30.1,-5.2
199403,46.7,1.8
199404,52.4,-1.2
199405,64.9,1.0
199406,77.7,3.7
199407,76.3,-2.7
199408,77.2,0.2
199409,67.3,-1.7
199410,56.7,0.6
199411,42.6,-0.3
199412,36.9,4.1
199501,33.3,1.0
199502,40.5,5.2
199503,42.6,-2.3
199504,49.5,-4.1
199505,56.4,-7.5
199506,68.8,-5.2
199507,76.8,-2.2
199508,80.5,3.5
199509,66.5,-2.5
199510,55.2,-0.9
199511,44.0,1.1
199512,33.3,0.5
199601,28.3,-4.0
199602,37.1,1.8
199603,38.4,-6.5
199604,53.9,0.3
199605,66.2,2.3
199606,74.3,0.3
199607,76.9,-2.1
199608,73.6,-3.4
199609,64.2,-4.8
199610,55.8,-0.3
199611,39.2,-3.7
199612,33.8,1.0
199701,29.8,-2.5
199702,34.9,-0.4
199703,47.3,2.4
199704,47.7,-5.9
199705,61.5,-2.4
199706,71.2,-2.8
199707,77.9,-1.1
199708,75.1,-1.9
199709,69.7,0.7
199710,56.5,0.4
199711,39.7,-3.2
199712,31.3,-1.5
199801,33.1,0.8
199802,40.0,4.7
199803,37.9,-7.0
199804,51.1,-2.5
199805,67.0,3.1
199806,73.7,-0.3
199807,80.0,1.0
199808,77.4,0.4
199809,74.5,5.5
199810,58.8,2.7
199811,46.1,3.2
199812,33.8,1.0
199901,34.3,2.0
199902,42.7,7.4
199903,41.9,-3.0
199904,52.5,-1.1
199905,62.6,-1.3
199906,70.4,-3.6
199907,79.6,0.6
199908,78.0,1.0
199909,65.1,-3.9
199910,55.7,-0.4
199911,49.1,6.2
199912,37.0,4.2
200001,33.6,1.3
200002,41.3,6.0
200003,45.4,0.5
200004,53.3,-0.3
200005,66.4,2.5
200006,72.1,-1.9
200007,79.2,0.2
200008,80.9,3.9
200009,70.5,1.5
200010,58.2,2.1
200011,36.6,-6.3
200012,27.7,-5.1
200101,32.1,-0.2
200102,31.2,-4.1
200103,42.2,-2.7
200104,57.6,4.0
200105,64.4,0.5
200106,73.1,-0.9
200107,83.9,4.9
200108,79.3,2.3
200109,69.2,0.2
200110,55.6,-0.5
200111,48.3,5.4
200112,36.5,3.7
200201,32.9,0.6
200202,35.9,0.6
200203,39.9,-5.0
200204,57.3,3.7
200205,63.5,-0.4
200206,77.9,3.9
200207,80.9,1.9
200208,77.5,0.5
200209,69.3,0.3
200210,50.2,-5.9
200211,42.2,-0.7
200212,33.7,0.9
200301,35.0,2.7
200302,31.2,-4.1
200303,44.0,-0.9
200304,55.7,2.1
200305,63.5,-0.4
200306,70.6,-3.4
200307,82.2,3.2
200308,79.4,2.4
200309,65.4,-3.6
200310,58.8,2.7
200311,41.6,-1.3
200312,35.6,2.8
200401,32.2,-0.1
200402,34.1,-1.2
200403,50.4,5.5
200404,53.7,0.1
200405,68.2,4.3
200406,71.9,-2.1
200407,75.8,-3.2
200408,72.0,-5.0
200409,70.6,1.6
200410,56.7,0.6
200411,42.0,-0.9
200412,36.8,4.0
200501,32.7,0.4
200502,40.0,4.7
200503,44.8,-0.1
200504,54.1,0.5
200505,64.5,0.6
200506,73.7,-0.3
200507,78.9,-0.1
200508,77.0,0.0
200509,72.7,3.7
200510,58.4,2.3
200511,46.8,3.9
200512,32.9,0.1
200601,41.4,9.1
200602,35.5,0.2
200603,46.1,1.2
200604,59.4,5.8
200605,67.1,3.2
200606,77.0,3.0
200607,81.3,2.3
200608,77.3,0.3
200609,64.6,-4.4
200610,55.7,-0.4
200611,43.6,0.7
200612,35.4,2.6
200701,26.3,-6.0
200702,31.3,-4.0
200703,51.8,6.9
200704,49.8,-3.8
200705,65.1,1.2
200706,71.7,-2.3
200707,78.6,-0.4
200708,81.2,4.2
200709,71.0,2.0
200710,59.7,3.6
200711,43.8,0.9
200712,30.3,-2.5
200801,32.3,0.0
200802,34.1,-1.2
200803,43.5,-1.4
200804,50.6,-3.0
200805,63.3,-0.6
200806,74.2,0.2
