Gray County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189501,24.8,-7.5
189502,23.8,-11.5
189503,41.0,-3.9
189504,57.7,4.1
189505,65.0,1.1
189506,71.1,-2.9
189507,74.2,-4.8
189508,76.2,-0.8
189509,72.4,3.4
189510,51.7,-4.4
189511,38.4,-4.5
189512,31.0,-1.9
189601,34.7,2.4
189602,37.4,2.1
189603,39.5,-5.4
189604,59.2,5.6
189605,68.5,4.6
189606,76.5,2.5
189607,76.9,-2.1
189608,78.9,1.9
189609,66.5,-2.5
189610,53.9,-2.2
189611,36.6,-6.3
189612,38.9,6.0
189701,26.9,-5.4
189702,32.8,-2.5
189703,42.2,-2.7
189704,53.0,-0.6
189705,64.1,0.2
189706,75.0,1.0
189707,80.1,1.1
189708,74.7,-2.3
189709,71.5,2.5
189710,58.2,2.1
189711,39.9,-3.0
189712,28.8,-4.1
189801,28.0,-4.3
189802,36.6,1.3
189803,40.3,-4.6
189804,53.0,-0.6
189805,59.9,-4.0
189806,72.3,-1.7
189807,75.8,-3.2
189808,77.0,0.0
189809,66.3,-2.7
189810,50.1,-6.0
189811,37.4,-5.5
189812,23.0,-9.9
189901,27.3,-5.0
189902,19.2,-16.1
189903,37.6,-7.3
189904,51.6,-2.0
189905,65.4,1.5
189906,74.0,0.0
189907,75.4,-3.6
189908,79.9,2.9
189909,69.0,0.0
189910,56.6,0.5
189911,44.5,1.6
189912,29.7,-3.2
190001,34.7,2.4
190002,29.3,-6.0
190003,42.9,-2.0
190004,52.7,-0.9
190005,64.0,0.1
190006,74.7,0.7
190007,77.7,-1.3
190008,79.5,2.5
190009,68.5,-0.5
190010,59.4,3.3
190011,41.0,-1.9
190012,33.3,0.4
190101,31.4,-0.9
190102,29.1,-6.2
190103,41.5,-3.4
190104,52.0,-1.6
190105,62.3,-1.6
190106,76.6,2.6
190107,82.4,3.4
190108,77.9,0.9
190109,69.0,0.0
190110,57.2,1.1
190111,43.5,0.6
190112,31.5,-1.4
190201,30.0,-2.3
190202,31.7,-3.6
190203,43.5,-1.4
190204,54.4,0.8
190205,66.5,2.6
190206,70.8,-3.2
190207,76.4,-2.6
190208,79.3,2.3
190209,64.6,-4.4
190210,57.1,1.0
190211,42.8,-0.1
190212,26.9,-6.0
190301,32.2,-0.1
190302,24.7,-10.6
190303,39.3,-5.6
190304,53.2,-0.4
190305,60.2,-3.7
190306,65.1,-8.9
190307,78.7,-0.3
190308,76.6,-0.4
190309,67.1,-1.9
190310,56.3,0.2
190311,40.8,-2.1
190312,33.4,0.5
190401,29.0,-3.3
190402,34.7,-0.6
190403,46.0,1.1
190404,51.6,-2.0
190405,62.5,-1.4
190406,69.9,-4.1
190407,76.3,-2.7
190408,75.5,-1.5
190409,69.5,0.5
190410,57.4,1.3
190411,43.0,0.1
190412,29.0,-3.9
190501,21.6,-10.7
190502,20.4,-14.9
190503,47.6,2.7
190504,49.8,-3.8
190505,60.4,-3.5
190506,74.2,0.2
190507,74.6,-4.4
190508,79.0,2.0
190509,72.0,3.0
190510,51.8,-4.3
190511,43.3,0.4
190512,30.9,-2.0
190601,35.4,3.1
190602,35.0,-0.3
190603,31.9,-13.0
190604,55.5,1.9
190605,63.1,-0.8
190606,70.1,-3.9
190607,71.8,-7.2
190608,75.0,-2.0
190609,67.0,-2.0
190610,51.1,-5.0
190611,38.9,-4.0
190612,37.1,4.2
190701,30.7,-1.6
190702,37.6,2.3
190703,50.8,5.9
190704,48.4,-5.2
190705,57.6,-6.3
190706,70.9,-3.1
190707,77.5,-1.5
190708,76.4,-0.6
190709,69.2,0.2
190710,55.8,-0.3
190711,40.5,-2.4
190712,31.8,-1.1
190801,34.3,2.0
190802,36.9,1.6
190803,46.1,1.2
190804,54.2,0.6
190805,63.6,-0.3
190806,72.1,-1.9
190807,74.8,-4.2
190808,76.0,-1.0
190809,69.1,0.1
190810,54.2,-1.9
190811,41.5,-1.4
190812,34.4,1.5
190901,29.8,-2.5
190902,36.4,1.1
190903,40.0,-4.9
190904,51.3,-2.3
190905,60.7,-3.2
190906,72.6,-1.4
190907,78.4,-0.6
190908,79.5,2.5
190909,69.2,0.2
190910,54.7,-1.4
190911,45.8,2.9
190912,22.4,-10.5
191001,30.3,-2.0
191002,30.3,-5.0
191003,53.5,8.6
191004,55.3,1.7
191005,60.0,-3.9
191006,73.1,-0.9
191007,79.2,0.2
191008,75.3,-1.7
191009,70.7,1.7
191010,57.9,1.8
191011,44.4,1.5
191012,33.4,0.5
191101,34.5,2.2
191102,32.6,-2.7
191103,46.3,1.4
191104,53.7,0.1
191105,64.8,0.9
191106,78.1,4.1
191107,77.9,-1.1
191108,75.3,-1.7
191109,74.2,5.2
191110,52.3,-3.8
191111,37.3,-5.6
191112,25.2,-7.7
191201,16.5,-15.8
191202,30.8,-4.5
191203,29.9,-15.0
191204,51.3,-2.3
191205,65.2,1.3
191206,68.7,-5.3
191207,78.6,-0.4
191208,75.7,-1.3
191209,63.9,-5.1
191210,55.0,-1.1
191211,43.4,0.5
191212,31.2,-1.7
191301,27.9,-4.4
191302,23.7,-11.6
191303,39.2,-5.7
191304,54.2,0.6
191305,67.0,3.1
191306,72.5,-1.5
191307,80.6,1.6
191308,82.0,5.0
191309,64.8,-4.2
191310,51.8,-4.3
191311,45.6,2.7
191312,31.2,-1.7
191401,36.9,4.6
191402,30.5,-4.8
191403,42.8,-2.1
191404,53.4,-0.2
