Gray County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,51.6,5.9
198902,36.8,-12.2
198903,61.7,2.3
198904,73.8,5.3
198905,77.1,-0.8
198906,78.3,-9.6
198907,88.9,-3.9
198908,86.0,-4.5
198909,78.9,-4.4
198910,73.9,3.2
198911,61.0,3.8
198912,41.0,-4.7
199001,46.6,0.9
199002,45.9,-3.1
199003,57.5,-1.9
199004,67.2,-1.3
199005,72.2,-5.7
199006,91.4,3.5
199007,90.3,-2.5
199008,91.8,1.3
199009,86.3,3.0
199010,71.8,1.1
199011,63.0,5.8
199012,41.1,-4.6
199101,39.3,-6.4
199102,60.6,11.6
199103,60.8,1.4
199104,69.0,0.5
199105,80.4,2.5
199106,89.2,1.3
199107,93.4,0.6
199108,90.5,0.0
199109,82.8,-0.5
199110,72.8,2.1
199111,45.7,-11.5
199112,46.2,0.5
199201,49.7,4.0
199202,54.8,5.8
199203,62.7,3.3
199204,70.5,2.0
199205,75.8,-2.1
199206,79.0,-8.9
199207,87.8,-5.0
199208,83.0,-7.5
199209,83.0,-0.3
199210,72.0,1.3
199211,46.0,-11.2
199212,36.6,-9.1
199301,32.3,-13.4
199302,37.4,-11.6
199303,53.3,-6.1
199304,61.7,-6.8
199305,74.6,-3.3
199306,83.0,-4.9
199307,89.4,-3.4
199308,88.1,-2.4
199309,78.3,-5.0
199310,66.6,-4.1
199311,51.5,-5.7
199312,49.1,3.4
199401,44.7,-1.0
199402,44.2,-4.8
199403,62.5,3.1
199404,66.8,-1.7
199405,78.1,0.2
199406,92.8,4.9
199407,90.8,-2.0
199408,92.0,1.5
199409,81.7,-1.6
199410,69.9,-0.8
199411,55.8,-1.4
199412,49.5,3.8
199501,46.2,0.5
199502,55.6,6.6
199503,54.6,-4.8
199504,63.6,-4.9
199505,67.1,-10.8
199506,82.1,-5.8
199507,90.9,-1.9
199508,94.3,3.8
199509,79.7,-3.6
199510,72.3,1.6
199511,60.8,3.6
199512,46.7,1.0
199601,43.6,-2.1
199602,54.5,5.5
199603,53.8,-5.6
199604,71.0,2.5
199605,80.8,2.9
199606,88.3,0.4
199607,89.6,-3.2
199608,84.2,-6.3
199609,76.1,-7.2
199610,69.6,-1.1
199611,51.7,-5.5
199612,50.0,4.3
199701,43.5,-2.2
199702,46.5,-2.5
199703,64.7,5.3
199704,60.8,-7.7
199705,75.7,-2.2
199706,83.2,-4.7
199707,91.4,-1.4
199708,87.4,-3.1
199709,82.9,-0.4
199710,70.0,-0.7
199711,52.2,-5.0
199712,40.2,-5.5
199801,43.7,-2.0
199802,50.4,1.4
199803,49.3,-10.1
199804,65.3,-3.2
199805,81.5,3.6
199806,89.8,1.9
199807,93.0,0.2
199808,90.9,0.4
199809,89.9,6.6
199810,72.6,1.9
199811,58.4,1.2
199812,47.3,1.6
199901,47.7,2.0
199902,59.0,10.0
199903,54.0,-5.4
199904,66.2,-2.3
199905,76.1,-1.8
199906,83.0,-4.9
199907,92.9,0.1
199908,91.6,1.1
199909,77.2,-6.1
199910,72.2,1.5
199911,67.0,9.8
199912,51.5,5.8
200001,48.2,2.5
200002,56.5,7.5
200003,56.9,-2.5
200004,69.8,1.3
200005,81.1,3.2
200006,85.6,-2.3
200007,92.9,0.1
200008,96.1,5.6
200009,87.8,4.5
200010,71.0,0.3
200011,49.8,-7.4
200012,40.6,-5.1
200101,44.2,-1.5
200102,41.2,-7.8
200103,53.8,-5.6
200104,73.3,4.8
200105,78.4,0.5
200106,87.1,-0.8
200107,99.1,6.3
200108,94.8,4.3
200109,84.2,0.9
200110,72.6,1.9
200111,62.4,5.2
200112,52.3,6.6
200201,48.5,2.8
200202,50.3,1.3
200203,57.4,-2.0
200204,72.9,4.4
200205,78.7,0.8
200206,92.2,4.3
200207,95.3,2.5
200208,91.0,0.5
200209,84.0,0.7
200210,61.4,-9.3
200211,56.4,-0.8
200212,45.6,-0.1
200301,49.2,3.5
200302,44.5,-4.5
200303,57.4,-2.0
200304,71.2,2.7
200305,77.5,-0.4
200306,83.5,-4.4
200307,98.0,5.2
200308,93.7,3.2
200309,79.5,-3.8
200310,74.4,3.7
200311,54.5,-2.7
200312,49.5,3.8
200401,46.4,0.7
200402,47.5,-1.5
200403,64.8,5.4
200404,67.9,-0.6
200405,84.8,6.9
200406,85.7,-2.2
200407,88.6,-4.2
200408,84.6,-5.9
200409,85.4,2.1
200410,69.3,-1.4
200411,52.6,-4.6
200412,52.2,6.5
200501,44.0,-1.7
200502,52.0,3.0
200503,59.2,-0.2
200504,68.6,0.1
200505,78.7,0.8
200506,87.7,-0.2
200507,94.1,1.3
200508,90.6,0.1
200509,87.4,4.1
200510,72.7,2.0
200511,62.8,5.6
200512,46.4,0.7
200601,58.0,12.3
200602,52.3,3.3
200603,59.8,0.4
200604,77.0,8.5
200605,81.8,3.9
200606,92.4,4.5
200607,95.6,2.8
200608,89.5,-1.0
200609,78.7,-4.6
200610,70.0,-0.7
200611,59.4,2.2
200612,48.2,2.5
200701,36.4,-9.3
200702,42.6,-6.4
200703,64.7,5.3
200704,61.6,-6.9
200705,78.5,0.6
200706,84.9,-3.0
200707,92.7,-0.1
200708,94.9,4.4
200709,85.7,2.4
200710,75.7,5.0
200711,60.7,3.5
200712,40.9,-4.8
200801,45.8,0.1
200802,47.9,-1.1
200803,59.1,-0.3
200804,65.5,-3.0
200805,79.1,1.2
200806,89.5,1.6
