Gray County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,19.4,0.4
198902,13.3,-8.4
198903,27.2,-3.2
198904,41.1,2.3
198905,51.5,1.7
198906,55.6,-4.4
198907,62.4,-2.8
198908,63.4,-0.1
198909,50.9,-3.8
198910,41.0,-0.5
198911,25.4,-3.1
198912,13.9,-6.0
199001,19.6,0.6
199002,23.4,1.7
199003,32.0,1.6
199004,39.0,0.2
199005,46.9,-2.9
199006,61.9,1.9
199007,63.2,-2.0
199008,62.5,-1.0
199009,57.3,2.6
199010,39.6,-1.9
199011,31.0,2.5
199012,13.9,-6.0
199101,16.1,-2.9
199102,25.0,3.3
199103,30.8,0.4
199104,41.0,2.2
199105,53.1,3.3
199106,62.5,2.5
199107,64.6,-0.6
199108,63.1,-0.4
199109,54.1,-0.6
199110,39.1,-2.4
199111,24.4,-4.1
199112,25.9,6.0
199201,23.7,4.7
199202,27.6,5.9
199203,33.1,2.7
199204,40.2,1.4
199205,49.5,-0.3
199206,56.4,-3.6
199207,62.5,-2.7
199208,59.0,-4.5
199209,53.2,-1.5
199210,40.9,-0.6
199211,25.7,-2.8
199212,16.0,-3.9
199301,16.1,-2.9
199302,18.6,-3.1
199303,30.4,0.0
199304,37.3,-1.5
199305,50.0,0.2
199306,58.2,-1.8
199307,65.0,-0.2
199308,62.7,-0.8
199309,49.5,-5.2
199310,39.2,-2.3
199311,23.2,-5.3
199312,22.3,2.4
199401,15.9,-3.1
199402,16.1,-5.6
199403,30.8,0.4
199404,38.1,-0.7
199405,51.7,1.9
199406,62.7,2.7
199407,61.7,-3.5
199408,62.4,-1.1
199409,52.9,-1.8
199410,43.4,1.9
199411,29.4,0.9
199412,24.3,4.4
199501,20.5,1.5
199502,25.4,3.7
199503,30.5,0.1
199504,35.5,-3.3
199505,45.7,-4.1
199506,55.6,-4.4
199507,62.7,-2.5
199508,66.6,3.1
199509,53.3,-1.4
199510,38.2,-3.3
199511,27.1,-1.4
199512,20.0,0.1
199601,13.0,-6.0
199602,19.6,-2.1
199603,23.0,-7.4
199604,36.9,-1.9
199605,51.6,1.8
199606,60.2,0.2
199607,64.2,-1.0
199608,63.0,-0.5
199609,52.3,-2.4
199610,42.0,0.5
199611,26.8,-1.7
199612,17.5,-2.4
199701,16.2,-2.8
199702,23.3,1.6
199703,29.9,-0.5
199704,34.6,-4.2
199705,47.3,-2.5
199706,59.3,-0.7
199707,64.4,-0.8
199708,62.7,-0.8
199709,56.5,1.8
199710,42.9,1.4
199711,27.3,-1.2
199712,22.4,2.5
199801,22.6,3.6
199802,29.6,7.9
199803,26.6,-3.8
199804,37.0,-1.8
199805,52.5,2.7
199806,57.6,-2.4
199807,67.1,1.9
199808,63.9,0.4
199809,59.1,4.4
199810,44.9,3.4
199811,33.7,5.2
199812,20.3,0.4
199901,20.9,1.9
199902,26.4,4.7
199903,29.9,-0.5
199904,38.7,-0.1
199905,49.2,-0.6
199906,57.7,-2.3
199907,66.2,1.0
199908,64.4,0.9
199909,53.0,-1.7
199910,39.1,-2.4
199911,31.3,2.8
199912,22.4,2.5
200001,19.1,0.1
200002,26.2,4.5
200003,33.9,3.5
200004,36.8,-2.0
200005,51.7,1.9
200006,58.6,-1.4
200007,65.6,0.4
200008,65.7,2.2
200009,53.2,-1.5
200010,45.2,3.7
200011,23.3,-5.2
200012,14.8,-5.1
200101,20.0,1.0
200102,21.1,-0.6
200103,30.6,0.2
200104,41.9,3.1
200105,50.4,0.6
200106,59.1,-0.9
200107,68.7,3.5
200108,63.8,0.3
200109,54.1,-0.6
200110,38.6,-2.9
200111,34.2,5.7
200112,20.7,0.8
200201,17.2,-1.8
200202,21.5,-0.2
200203,22.5,-7.9
200204,41.6,2.8
200205,48.3,-1.5
200206,63.6,3.6
200207,66.6,1.4
200208,64.1,0.6
200209,54.6,-0.1
200210,39.0,-2.5
200211,28.0,-0.5
200212,21.8,1.9
200301,20.9,1.9
200302,18.0,-3.7
200303,30.7,0.3
200304,40.2,1.4
200305,49.4,-0.4
200306,57.7,-2.3
200307,66.3,1.1
200308,65.1,1.6
200309,51.3,-3.4
200310,43.0,1.5
200311,28.8,0.3
200312,21.6,1.7
200401,18.0,-1.0
200402,20.6,-1.1
200403,35.9,5.5
200404,39.4,0.6
200405,51.6,1.8
200406,58.2,-1.8
200407,63.0,-2.2
200408,59.3,-4.2
200409,55.8,1.1
200410,44.1,2.6
200411,31.4,2.9
200412,21.3,1.4
200501,21.3,2.3
200502,28.0,6.3
200503,30.3,-0.1
200504,39.6,0.8
200505,50.3,0.5
200506,59.7,-0.3
200507,63.7,-1.5
200508,63.5,0.0
200509,57.9,3.2
200510,44.0,2.5
200511,30.8,2.3
200512,19.4,-0.5
200601,24.8,5.8
200602,18.7,-3.0
200603,32.5,2.1
200604,41.7,2.9
200605,52.3,2.5
200606,61.6,1.6
200607,67.0,1.8
200608,65.2,1.7
200609,50.5,-4.2
200610,41.4,-0.1
200611,27.6,-0.9
200612,22.6,2.7
200701,16.2,-2.8
200702,20.0,-1.7
200703,38.8,8.4
200704,37.9,-0.9
200705,51.8,2.0
200706,58.4,-1.6
200707,64.4,-0.8
200708,67.5,4.0
200709,56.3,1.6
200710,43.7,2.2
200711,26.8,-1.7
200712,19.6,-0.3
200801,18.7,-0.3
200802,20.3,-1.4
200803,27.9,-2.5
200804,35.7,-3.1
200805,47.5,-2.3
