Gray County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.25,-0.28
198902,0.44,-0.11
198903,0.99,-0.27
198904,0.48,-1.34
198905,4.16,1.27
198906,8.40,4.87
198907,2.02,-1.05
198908,2.69,-0.13
198909,2.64,1.16
198910,0.17,-1.54
198911,0.00,-0.61
198912,0.40,-0.35
199001,1.52,0.99
199002,1.27,0.72
199003,1.24,-0.02
199004,3.75,1.93
199005,4.58,1.69
199006,1.10,-2.43
199007,3.30,0.23
199008,1.39,-1.43
199009,1.35,-0.13
199010,0.12,-1.59
199011,0.68,0.07
199012,0.59,-0.16
199101,0.22,-0.31
199102,0.03,-0.52
199103,1.00,-0.26
199104,1.24,-0.58
199105,4.50,1.61
199106,2.27,-1.26
199107,2.54,-0.53
199108,2.41,-0.41
199109,0.40,-1.08
199110,1.21,-0.50
199111,1.83,1.22
199112,1.41,0.66
199201,1.30,0.77
199202,0.47,-0.08
199203,0.80,-0.46
199204,0.41,-1.41
199205,2.46,-0.43
199206,6.95,3.42
199207,3.78,0.71
199208,4.04,1.22
199209,0.46,-1.02
199210,0.40,-1.31
199211,2.01,1.40
199212,1.04,0.29
199301,1.16,0.63
199302,2.32,1.77
199303,2.36,1.10
199304,1.53,-0.29
199305,3.04,0.15
199306,4.34,0.81
199307,3.98,0.91
199308,3.23,0.41
199309,1.34,-0.14
199310,1.43,-0.28
199311,0.43,-0.18
199312,0.82,0.07
199401,0.39,-0.14
199402,0.25,-0.30
199403,0.07,-1.19
199404,2.15,0.33
199405,1.49,-1.40
199406,1.93,-1.60
199407,4.12,1.05
199408,2.61,-0.21
199409,1.06,-0.42
199410,1.64,-0.07
199411,1.06,0.45
199412,0.64,-0.11
199501,0.59,0.06
199502,0.28,-0.27
199503,1.38,0.12
199504,2.08,0.26
199505,5.25,2.36
199506,3.85,0.32
199507,2.49,-0.58
199508,1.57,-1.25
199509,1.92,0.44
199510,0.06,-1.65
199511,0.03,-0.58
199512,0.33,-0.42
199601,0.17,-0.36
