Haskell County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,35.3,2.7
198902,26.0,-9.7
198903,45.1,0.0
198904,57.1,3.3
198905,64.4,0.4
198906,67.3,-6.7
198907,75.5,-3.3
198908,74.5,-2.3
198909,65.0,-4.1
198910,57.3,1.0
198911,43.7,0.6
198912,28.1,-4.9
199001,33.0,0.4
199002,34.3,-1.4
199003,44.4,-0.7
199004,53.6,-0.2
199005,60.4,-3.6
199006,76.8,2.8
199007,76.4,-2.4
199008,76.6,-0.2
199009,71.5,2.4
199010,55.8,-0.5
199011,47.2,4.1
199012,27.7,-5.3
199101,28.4,-4.2
199102,42.8,7.1
199103,45.9,0.8
199104,54.8,1.0
199105,66.2,2.2
199106,74.8,0.8
199107,78.1,-0.7
199108,76.2,-0.6
199109,68.0,-1.1
199110,55.6,-0.7
199111,35.4,-7.7
199112,35.6,2.6
199201,36.5,3.9
199202,41.2,5.5
199203,48.2,3.1
199204,55.6,1.8
199205,63.3,-0.7
199206,68.0,-6.0
199207,75.5,-3.3
199208,70.9,-5.9
199209,68.4,-0.7
199210,56.6,0.3
199211,36.3,-6.8
199212,26.6,-6.4
199301,24.3,-8.3
199302,28.9,-6.8
199303,42.6,-2.5
199304,50.3,-3.5
199305,62.7,-1.3
199306,70.7,-3.3
199307,77.6,-1.2
199308,75.6,-1.2
199309,64.2,-4.9
199310,53.1,-3.2
199311,37.6,-5.5
199312,36.8,3.8
199401,31.4,-1.2
199402,31.0,-4.7
199403,46.6,1.5
199404,52.8,-1.0
199405,65.0,1.0
199406,77.6,3.6
199407,76.5,-2.3
199408,77.0,0.2
199409,67.5,-1.6
199410,57.0,0.7
199411,42.7,-0.4
199412,37.3,4.3
199501,34.2,1.6
199502,41.3,5.6
199503,42.8,-2.3
199504,49.5,-4.3
199505,56.5,-7.5
199506,69.2,-4.8
199507,76.9,-1.9
199508,80.2,3.4
199509,66.9,-2.2
199510,55.2,-1.1
199511,44.3,1.2
199512,33.9,0.9
199601,29.6,-3.0
199602,37.6,1.9
199603,38.2,-6.9
199604,54.3,0.5
199605,65.9,1.9
199606,74.6,0.6
199607,76.7,-2.1
199608,73.7,-3.1
199609,64.9,-4.2
199610,55.8,-0.5
199611,39.9,-3.2
199612,33.9,0.9
199701,30.4,-2.2
199702,35.2,-0.5
199703,47.6,2.5
199704,47.6,-6.2
199705,61.7,-2.3
199706,71.1,-2.9
199707,78.0,-0.8
199708,75.3,-1.5
199709,69.8,0.7
199710,56.7,0.4
199711,39.7,-3.4
199712,31.4,-1.6
199801,33.8,1.2
199802,40.0,4.3
199803,38.1,-7.0
199804,51.0,-2.8
199805,67.2,3.2
199806,73.3,-0.7
199807,79.9,1.1
199808,76.9,0.1
199809,74.0,4.9
199810,58.5,2.2
199811,45.9,2.8
199812,34.2,1.2
199901,34.8,2.2
199902,42.5,6.8
199903,42.1,-3.0
199904,52.6,-1.2
199905,62.4,-1.6
199906,70.6,-3.4
199907,79.6,0.8
199908,78.1,1.3
199909,65.2,-3.9
199910,55.5,-0.8
199911,49.3,6.2
199912,37.4,4.4
200001,34.2,1.6
200002,42.2,6.5
200003,44.9,-0.2
200004,53.6,-0.2
200005,66.3,2.3
200006,72.0,-2.0
200007,79.3,0.5
200008,80.9,4.1
200009,70.6,1.5
200010,58.0,1.7
200011,37.3,-5.8
200012,28.6,-4.4
200101,32.0,-0.6
200102,31.7,-4.0
200103,42.3,-2.8
200104,57.7,3.9
200105,64.2,0.2
200106,73.0,-1.0
200107,83.2,4.4
200108,78.5,1.7
200109,69.0,-0.1
200110,56.1,-0.2
200111,48.5,5.4
200112,36.7,3.7
200201,33.3,0.7
200202,35.9,0.2
200203,41.2,-3.9
200204,57.0,3.2
200205,63.4,-0.6
200206,77.8,3.8
200207,80.1,1.3
200208,77.3,0.5
200209,68.8,-0.3
200210,50.4,-5.9
200211,42.3,-0.8
200212,33.6,0.6
200301,35.4,2.8
200302,32.0,-3.7
200303,44.7,-0.4
200304,55.8,2.0
200305,64.1,0.1
200306,70.1,-3.9
200307,81.7,2.9
200308,79.2,2.4
200309,65.6,-3.5
200310,59.6,3.3
200311,41.6,-1.5
200312,35.8,2.8
200401,33.0,0.4
200402,34.7,-1.0
200403,50.9,5.8
200404,54.2,0.4
200405,67.9,3.9
200406,71.8,-2.2
200407,75.1,-3.7
200408,71.7,-5.1
200409,70.2,1.1
200410,56.5,0.2
200411,42.2,-0.9
200412,36.8,3.8
200501,32.6,0.0
200502,40.0,4.3
200503,44.6,-0.5
200504,53.6,-0.2
200505,64.0,0.0
200506,73.5,-0.5
200507,78.3,-0.5
200508,76.2,-0.6
200509,72.0,2.9
200510,58.1,1.8
200511,46.4,3.3
200512,33.2,0.2
200601,40.9,8.3
200602,35.6,-0.1
200603,46.0,0.9
200604,59.0,5.2
200605,67.1,3.1
200606,76.8,2.8
200607,80.4,1.6
200608,76.7,-0.1
200609,64.7,-4.4
200610,55.6,-0.7
200611,44.1,1.0
200612,34.5,1.5
200701,24.7,-7.9
200702,30.8,-4.9
200703,51.3,6.2
200704,49.5,-4.3
200705,65.1,1.1
200706,71.4,-2.6
200707,78.3,-0.5
200708,81.0,4.2
200709,71.4,2.3
200710,59.9,3.6
200711,43.4,0.3
200712,30.6,-2.4
200801,32.3,-0.3
200802,34.5,-1.2
200803,44.2,-0.9
200804,51.1,-2.7
200805,64.0,0.0
200806,74.4,0.4
