Haskell County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,19.0,0.1
198902,14.3,-7.4
198903,27.2,-3.1
198904,40.6,1.9
198905,51.8,2.2
198906,55.8,-3.9
198907,62.1,-2.7
198908,63.0,-0.2
198909,50.5,-4.1
198910,40.6,-0.7
198911,25.8,-2.7
198912,14.4,-5.4
199001,18.7,-0.2
199002,23.1,1.4
199003,31.3,1.0
199004,39.0,0.3
199005,47.1,-2.5
199006,61.9,2.2
199007,63.0,-1.8
199008,62.1,-1.1
199009,57.3,2.7
199010,39.4,-1.9
199011,31.1,2.6
199012,13.7,-6.1
199101,16.9,-2.0
199102,25.0,3.3
199103,30.3,0.0
199104,40.6,1.9
199105,52.5,2.9
199106,61.5,1.8
199107,64.0,-0.8
199108,63.0,-0.2
199109,53.6,-1.0
199110,38.5,-2.8
199111,24.3,-4.2
199112,25.2,5.4
199201,23.1,4.2
199202,27.5,5.8
199203,33.1,2.8
199204,40.2,1.5
199205,50.0,0.4
199206,56.0,-3.7
199207,62.4,-2.4
199208,58.6,-4.6
199209,53.3,-1.3
199210,40.5,-0.8
199211,25.8,-2.7
199212,16.0,-3.8
199301,15.8,-3.1
199302,19.4,-2.3
199303,30.9,0.6
199304,37.2,-1.5
199305,49.9,0.3
199306,57.4,-2.3
199307,65.0,0.2
199308,62.4,-0.8
199309,49.4,-5.2
199310,39.2,-2.1
199311,23.5,-5.0
199312,22.9,3.1
199401,16.6,-2.3
199402,16.4,-5.3
199403,30.8,0.5
199404,38.2,-0.5
199405,51.6,2.0
199406,62.4,2.7
199407,61.8,-3.0
199408,62.2,-1.0
199409,53.1,-1.5
199410,43.1,1.8
199411,29.5,1.0
199412,24.2,4.4
199501,21.2,2.3
199502,25.7,4.0
199503,30.7,0.4
199504,35.2,-3.5
199505,45.4,-4.2
199506,55.4,-4.3
199507,62.4,-2.4
199508,65.9,2.7
199509,53.6,-1.0
199510,38.0,-3.3
199511,27.6,-0.9
199512,20.2,0.4
199601,14.2,-4.7
199602,20.6,-1.1
199603,22.5,-7.8
199604,36.9,-1.8
199605,50.8,1.2
199606,60.1,0.4
199607,64.0,-0.8
199608,62.6,-0.6
199609,52.6,-2.0
199610,41.2,-0.1
199611,27.1,-1.4
199612,17.7,-2.1
199701,16.6,-2.3
199702,23.3,1.6
199703,30.2,-0.1
199704,34.1,-4.6
199705,47.1,-2.5
199706,58.2,-1.5
199707,63.7,-1.1
199708,62.6,-0.6
199709,56.2,1.6
199710,42.4,1.1
199711,26.9,-1.6
199712,22.7,2.9
199801,22.7,3.8
199802,29.3,7.6
199803,26.6,-3.7
199804,36.2,-2.5
199805,51.9,2.3
199806,56.8,-2.9
199807,66.6,1.8
199808,63.2,0.0
199809,58.4,3.8
199810,44.2,2.9
199811,33.2,4.7
199812,20.5,0.7
199901,21.2,2.3
199902,25.9,4.2
199903,30.0,-0.3
199904,38.3,-0.4
199905,48.7,-0.9
199906,57.0,-2.7
199907,65.7,0.9
199908,64.0,0.8
199909,52.5,-2.1
199910,38.8,-2.5
199911,31.5,3.0
199912,23.0,3.2
200001,19.2,0.3
200002,26.3,4.6
200003,33.4,3.1
200004,37.0,-1.7
200005,51.4,1.8
200006,58.1,-1.6
200007,65.0,0.2
200008,65.0,1.8
200009,52.8,-1.8
200010,45.1,3.8
200011,24.5,-4.0
200012,15.9,-3.9
200101,19.6,0.7
200102,21.3,-0.4
200103,30.8,0.5
200104,42.1,3.4
200105,50.2,0.6
200106,58.4,-1.3
200107,67.8,3.0
200108,63.0,-0.2
200109,53.6,-1.0
200110,39.4,-1.9
200111,34.4,5.9
200112,20.8,1.0
200201,17.6,-1.3
200202,21.3,-0.4
200203,23.3,-7.0
200204,41.6,2.9
200205,47.9,-1.7
200206,63.0,3.3
200207,66.0,1.2
200208,63.8,0.6
200209,54.6,0.0
200210,39.2,-2.1
200211,28.2,-0.3
200212,21.4,1.6
200301,21.5,2.6
200302,18.4,-3.3
200303,31.3,1.0
200304,40.1,1.4
200305,50.0,0.4
200306,57.6,-2.1
200307,65.7,0.9
200308,64.7,1.5
200309,51.3,-3.3
200310,43.8,2.5
200311,28.6,0.1
200312,21.4,1.6
200401,18.6,-0.3
200402,20.7,-1.0
200403,36.2,5.9
200404,39.8,1.1
200405,51.3,1.7
200406,58.0,-1.7
200407,62.5,-2.3
200408,59.0,-4.2
200409,55.6,1.0
200410,43.6,2.3
200411,31.6,3.1
200412,21.5,1.7
200501,21.3,2.4
200502,28.6,6.9
200503,29.8,-0.5
200504,38.6,-0.1
200505,49.8,0.2
200506,59.0,-0.7
200507,63.0,-1.8
200508,62.6,-0.6
200509,57.1,2.5
200510,43.3,2.0
200511,29.7,1.2
200512,19.3,-0.5
200601,23.9,5.0
200602,18.7,-3.0
200603,31.7,1.4
200604,41.0,2.3
200605,52.1,2.5
200606,61.0,1.3
200607,66.0,1.2
200608,64.5,1.3
200609,50.3,-4.3
200610,41.2,-0.1
200611,28.1,-0.4
200612,21.7,1.9
200701,14.4,-4.5
200702,19.8,-1.9
200703,37.8,7.5
200704,37.0,-1.7
200705,51.5,1.9
200706,57.7,-2.0
200707,63.8,-1.0
200708,67.2,4.0
200709,56.3,1.7
200710,43.0,1.7
200711,25.9,-2.6
200712,19.5,-0.3
200801,18.2,-0.7
200802,19.8,-1.9
200803,28.6,-1.7
200804,35.7,-3.0
200805,47.7,-1.9
