Haskell County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.34,-0.14
198902,0.44,-0.03
198903,0.60,-0.54
198904,0.43,-1.27
198905,5.40,2.84
198906,8.34,5.01
198907,2.49,-0.64
198908,3.28,0.49
198909,2.55,1.11
198910,0.15,-1.48
198911,0.00,-0.57
198912,0.32,-0.34
199001,1.76,1.28
199002,1.48,1.01
199003,0.91,-0.23
199004,2.60,0.90
199005,4.25,1.69
199006,1.60,-1.73
199007,6.70,3.57
199008,1.28,-1.51
199009,2.10,0.66
199010,0.11,-1.52
199011,0.74,0.17
199012,0.48,-0.18
199101,0.24,-0.24
199102,0.05,-0.42
199103,0.95,-0.19
199104,0.95,-0.75
199105,4.60,2.04
199106,2.78,-0.55
199107,2.04,-1.09
199108,2.40,-0.39
199109,0.51,-0.93
199110,1.25,-0.38
199111,1.83,1.26
199112,1.14,0.48
199201,1.11,0.63
199202,0.40,-0.07
199203,0.61,-0.53
199204,0.21,-1.49
199205,1.39,-1.17
199206,4.85,1.52
199207,3.22,0.09
199208,4.14,1.35
199209,0.42,-1.02
199210,0.17,-1.46
199211,1.73,1.16
199212,0.86,0.20
199301,1.19,0.71
199302,2.04,1.57
199303,2.18,1.04
199304,1.17,-0.53
199305,2.66,0.10
199306,4.83,1.50
199307,3.58,0.45
199308,2.96,0.17
199309,1.33,-0.11
199310,1.44,-0.19
199311,0.51,-0.06
199312,0.75,0.09
199401,0.44,-0.04
199402,0.19,-0.28
199403,0.12,-1.02
199404,1.96,0.26
199405,1.50,-1.06
199406,2.81,-0.52
199407,3.95,0.82
199408,3.07,0.28
199409,1.22,-0.22
199410,1.74,0.11
199411,0.76,0.19
199412,0.55,-0.11
199501,0.37,-0.11
199502,0.20,-0.27
199503,1.15,0.01
199504,2.12,0.42
199505,4.54,1.98
199506,3.93,0.60
199507,2.19,-0.94
199508,1.80,-0.99
199509,1.19,-0.25
199510,0.15,-1.48
199511,0.02,-0.55
199512,0.35,-0.31
199601,0.08,-0.40
