Kearny County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189501,25.1,-7.1
189502,23.6,-11.6
189503,40.2,-4.3
189504,57.2,4.3
189505,64.2,1.0
189506,70.2,-3.3
189507,73.6,-5.0
189508,75.2,-1.1
189509,71.6,3.0
189510,52.5,-2.9
189511,38.1,-4.2
189512,30.7,-1.9
189601,34.8,2.6
189602,36.8,1.6
189603,39.3,-5.2
189604,57.7,4.8
189605,67.1,3.9
189606,76.6,3.1
189607,78.4,-0.2
189608,78.0,1.7
189609,66.5,-2.1
189610,53.2,-2.2
189611,36.3,-6.0
189612,38.6,6.0
189701,27.4,-4.8
189702,31.7,-3.5
189703,40.9,-3.6
189704,51.6,-1.3
189705,64.8,1.6
189706,74.5,1.0
189707,78.9,0.3
189708,74.0,-2.3
189709,72.4,3.8
189710,56.6,1.2
189711,40.4,-1.9
189712,28.0,-4.6
189801,26.4,-5.8
189802,35.2,0.0
189803,39.3,-5.2
189804,52.3,-0.6
189805,59.0,-4.2
189806,70.8,-2.7
189807,75.2,-3.4
189808,75.7,-0.6
189809,64.4,-4.2
189810,48.4,-7.0
189811,37.4,-4.9
189812,23.1,-9.5
189901,27.0,-5.2
189902,17.5,-17.7
189903,37.6,-6.9
189904,51.2,-1.7
189905,64.8,1.6
189906,73.8,0.3
189907,74.9,-3.7
189908,79.1,2.8
189909,69.0,0.4
189910,55.8,0.4
189911,43.7,1.4
189912,28.2,-4.4
190001,34.2,2.0
190002,28.9,-6.3
190003,42.9,-1.6
190004,50.8,-2.1
190005,63.0,-0.2
190006,74.2,0.7
190007,76.7,-1.9
190008,77.9,1.6
190009,66.8,-1.8
190010,57.6,2.2
190011,40.0,-2.3
190012,32.8,0.2
190101,30.4,-1.8
190102,27.7,-7.5
190103,40.0,-4.5
190104,51.4,-1.5
190105,61.3,-1.9
190106,75.1,1.6
190107,80.7,2.1
190108,76.8,0.5
190109,67.2,-1.4
190110,55.7,0.3
190111,42.6,0.3
190112,30.4,-2.2
190201,29.7,-2.5
190202,33.0,-2.2
190203,42.6,-1.9
190204,53.3,0.4
190205,65.6,2.4
190206,71.0,-2.5
190207,76.6,-2.0
190208,79.0,2.7
190209,64.5,-4.1
190210,55.6,0.2
190211,41.5,-0.8
190212,26.4,-6.2
190301,31.7,-0.5
190302,21.9,-13.3
190303,38.1,-6.4
190304,52.1,-0.8
190305,59.6,-3.6
190306,64.9,-8.6
190307,77.2,-1.4
190308,75.8,-0.5
190309,65.4,-3.2
190310,55.0,-0.4
190311,40.4,-1.9
190312,32.6,0.0
190401,28.3,-3.9
190402,35.1,-0.1
190403,44.8,0.3
190404,50.6,-2.3
190405,61.5,-1.7
190406,68.9,-4.6
190407,75.4,-3.2
190408,73.8,-2.5
190409,67.4,-1.2
190410,55.8,0.4
190411,41.3,-1.0
190412,28.4,-4.2
190501,22.0,-10.2
190502,20.0,-15.2
190503,46.6,2.1
190504,48.9,-4.0
190505,59.2,-4.0
190506,73.2,-0.3
190507,73.4,-5.2
190508,78.0,1.7
190509,69.2,0.6
190510,50.5,-4.9
190511,42.3,0.0
190512,29.4,-3.2
190601,34.2,2.0
190602,34.2,-1.0
190603,31.1,-13.4
190604,53.8,0.9
190605,61.9,-1.3
190606,68.6,-4.9
190607,70.7,-7.9
190608,73.6,-2.7
190609,65.5,-3.1
190610,50.6,-4.8
190611,38.4,-3.9
190612,36.2,3.6
190701,29.8,-2.4
190702,37.1,1.9
190703,49.9,5.4
190704,48.3,-4.6
190705,57.1,-6.1
190706,70.5,-3.0
190707,77.5,-1.1
190708,75.0,-1.3
190709,67.8,-0.8
190710,54.8,-0.6
190711,38.6,-3.7
190712,30.5,-2.1
190801,32.5,0.3
190802,35.6,0.4
190803,45.2,0.7
190804,53.4,0.5
190805,62.1,-1.1
190806,72.8,-0.7
190807,75.0,-3.6
190808,75.7,-0.6
190809,68.4,-0.2
190810,53.6,-1.8
190811,40.1,-2.2
190812,32.5,-0.1
190901,30.3,-1.9
190902,34.7,-0.5
190903,39.5,-5.0
190904,50.5,-2.4
190905,59.2,-4.0
190906,72.4,-1.1
190907,77.8,-0.8
190908,78.6,2.3
190909,67.3,-1.3
190910,53.5,-1.9
190911,43.6,1.3
190912,21.8,-10.8
191001,29.2,-3.0
191002,29.9,-5.3
191003,52.3,7.8
191004,54.0,1.1
191005,59.8,-3.4
191006,73.5,0.0
191007,78.7,0.1
191008,74.0,-2.3
191009,68.9,0.3
191010,56.1,0.7
191011,43.4,1.1
191012,32.4,-0.2
191101,34.2,2.0
191102,30.6,-4.6
191103,45.6,1.1
191104,52.9,0.0
191105,64.6,1.4
191106,77.7,4.2
191107,77.8,-0.8
191108,74.8,-1.5
191109,72.4,3.8
191110,50.4,-5.0
191111,36.9,-5.4
191112,23.6,-9.0
191201,16.9,-15.3
191202,30.2,-5.0
191203,29.4,-15.1
191204,49.6,-3.3
191205,64.1,0.9
191206,68.3,-5.2
191207,77.3,-1.3
191208,74.2,-2.1
191209,62.4,-6.2
191210,53.6,-1.8
191211,42.1,-0.2
191212,30.7,-1.9
191301,27.6,-4.6
191302,22.2,-13.0
191303,38.2,-6.3
191304,53.5,0.6
191305,66.2,3.0
191306,72.0,-1.5
191307,79.9,1.3
191308,79.9,3.6
191309,64.5,-4.1
191310,52.0,-3.4
191311,44.7,2.4
191312,29.3,-3.3
191401,36.2,4.0
191402,30.3,-4.9
