Kearny County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,51.4,5.5
198902,37.2,-12.0
198903,61.0,1.5
198904,72.8,4.6
198905,75.8,-1.9
198906,78.8,-9.5
198907,89.6,-3.3
198908,85.2,-4.9
198909,78.3,-5.1
198910,73.4,2.8
198911,61.0,4.1
198912,41.5,-4.4
199001,46.8,0.9
199002,44.5,-4.7
199003,56.5,-3.0
199004,68.1,-0.1
199005,72.4,-5.3
199006,91.4,3.1
199007,89.6,-3.3
199008,90.2,0.1
199009,85.2,1.8
199010,71.4,0.8
199011,62.6,5.7
199012,41.0,-4.9
199101,38.7,-7.2
199102,60.3,11.1
199103,60.0,0.5
199104,67.9,-0.3
199105,79.2,1.5
199106,88.1,-0.2
199107,91.8,-1.1
199108,88.7,-1.4
199109,82.0,-1.4
199110,72.4,1.8
199111,46.4,-10.5
199112,45.5,-0.4
199201,48.3,2.4
199202,55.1,5.9
199203,62.3,2.8
199204,70.9,2.7
199205,76.7,-1.0
199206,79.8,-8.5
199207,87.6,-5.3
199208,82.8,-7.3
199209,83.6,0.2
199210,71.8,1.2
199211,45.6,-11.3
199212,36.4,-9.5
199301,32.2,-13.7
199302,37.1,-12.1
199303,54.3,-5.2
199304,63.1,-5.1
199305,75.0,-2.7
199306,84.6,-3.7
199307,90.4,-2.5
199308,88.0,-2.1
199309,77.7,-5.7
199310,66.7,-3.9
199311,51.6,-5.3
199312,50.0,4.1
199401,46.4,0.5
199402,44.9,-4.3
199403,63.2,3.7
199404,66.4,-1.8
199405,78.2,0.5
199406,92.3,4.0
199407,91.3,-1.6
199408,91.6,1.5
199409,83.2,-0.2
199410,71.4,0.8
199411,54.8,-2.1
199412,50.3,4.4
199501,47.0,1.1
199502,56.4,7.2
199503,55.0,-4.5
199504,62.4,-5.8
199505,66.6,-11.1
199506,83.0,-5.3
199507,91.5,-1.4
199508,94.0,3.9
199509,79.7,-3.7
199510,71.9,1.3
199511,60.3,3.4
199512,47.8,1.9
199601,45.0,-0.9
199602,53.7,4.5
199603,53.5,-6.0
199604,71.0,2.8
199605,78.9,1.2
199606,88.6,0.3
199607,89.1,-3.8
199608,84.5,-5.6
199609,76.7,-6.7
199610,70.5,-0.1
199611,51.8,-5.1
199612,49.4,3.5
199701,44.1,-1.8
199702,46.9,-2.3
199703,64.0,4.5
199704,60.8,-7.4
199705,76.0,-1.7
199706,83.9,-4.4
199707,92.5,-0.4
199708,87.5,-2.6
199709,83.3,-0.1
199710,68.6,-2.0
199711,51.2,-5.7
199712,38.5,-7.4
199801,45.5,-0.4
199802,50.5,1.3
199803,50.9,-8.6
199804,64.8,-3.4
199805,82.2,4.5
199806,88.8,0.5
199807,92.3,-0.6
199808,90.0,-0.1
199809,88.8,5.4
199810,72.6,2.0
199811,58.2,1.3
199812,46.6,0.7
199901,48.9,3.0
199902,59.7,10.5
199903,55.2,-4.3
199904,66.2,-2.0
199905,75.8,-1.9
199906,85.1,-3.2
199907,93.8,0.9
199908,91.7,1.6
199909,78.3,-5.1
199910,71.5,0.9
199911,66.2,9.3
199912,52.3,6.4
200001,49.2,3.3
200002,58.3,9.1
200003,56.0,-3.5
200004,70.5,2.3
200005,81.6,3.9
200006,86.8,-1.5
200007,94.2,1.3
200008,96.2,6.1
200009,87.9,4.5
200010,70.8,0.2
200011,48.8,-8.1
200012,41.8,-4.1
200101,43.6,-2.3
200102,42.2,-7.0
200103,53.5,-6.0
200104,72.3,4.1
200105,77.8,0.1
200106,87.4,-0.9
200107,97.7,4.8
200108,92.8,2.7
200109,84.2,0.8
200110,72.4,1.8
200111,61.8,4.9
200112,52.0,6.1
200201,48.8,2.9
200202,50.7,1.5
200203,57.1,-2.4
200204,72.0,3.8
200205,78.5,0.8
200206,93.6,5.3
200207,94.6,1.7
200208,90.6,0.5
200209,82.3,-1.1
200210,61.8,-8.8
200211,55.4,-1.5
200212,47.9,2.0
200301,48.7,2.8
200302,45.5,-3.7
200303,57.5,-2.0
200304,70.8,2.6
200305,77.5,-0.2
200306,82.4,-5.9
200307,97.7,4.8
200308,94.1,4.0
200309,81.5,-1.9
200310,76.8,6.2
200311,53.1,-3.8
200312,50.0,4.1
200401,47.6,1.7
200402,48.2,-1.0
200403,65.0,5.5
200404,68.7,0.5
200405,84.2,6.5
200406,85.4,-2.9
200407,87.6,-5.3
200408,85.3,-4.8
200409,84.3,0.9
200410,69.4,-1.2
200411,52.0,-4.9
200412,51.4,5.5
200501,43.6,-2.3
200502,50.9,1.7
200503,58.7,-0.8
200504,67.9,-0.3
200505,78.0,0.3
200506,88.2,-0.1
200507,93.5,0.6
200508,89.5,-0.6
200509,86.6,3.2
200510,72.1,1.5
200511,61.6,4.7
200512,46.5,0.6
200601,56.7,10.8
200602,52.0,2.8
200603,59.7,0.2
200604,75.9,7.7
200605,81.4,3.7
200606,91.9,3.6
200607,95.0,2.1
200608,89.1,-1.0
200609,78.7,-4.7
200610,69.6,-1.0
200611,60.0,3.1
200612,46.0,0.1
200701,31.7,-14.2
200702,38.5,-10.7
200703,64.3,4.8
200704,61.7,-6.5
200705,78.7,1.0
200706,85.5,-2.8
200707,92.5,-0.4
200708,94.4,4.3
200709,86.0,2.6
200710,75.9,5.3
200711,60.2,3.3
200712,41.5,-4.4
200801,44.8,-1.1
200802,48.5,-0.7
200803,59.6,0.1
200804,65.8,-2.4
200805,79.8,2.1
200806,89.9,1.6
