Kearny County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,17.4,-1.1
198902,13.9,-7.3
198903,26.9,-2.6
198904,38.9,1.3
198905,51.0,2.3
198906,55.4,-3.3
198907,62.1,-2.2
198908,62.3,-0.2
198909,50.7,-3.1
198910,39.0,-1.2
198911,25.9,-1.9
198912,14.7,-4.5
199001,19.0,0.5
199002,22.7,1.5
199003,30.5,1.0
199004,38.8,1.2
199005,46.5,-2.2
199006,61.0,2.3
199007,62.8,-1.5
199008,61.1,-1.4
199009,56.3,2.5
199010,38.0,-2.2
199011,30.4,2.6
199012,13.1,-6.1
199101,16.8,-1.7
199102,24.2,3.0
199103,29.7,0.2
199104,39.5,1.9
199105,51.7,3.0
199106,60.8,2.1
199107,63.6,-0.7
199108,62.2,-0.3
199109,52.6,-1.2
199110,37.2,-3.0
199111,23.4,-4.4
199112,24.2,5.0
199201,22.3,3.8
199202,27.2,6.0
199203,33.0,3.5
199204,39.6,2.0
199205,49.8,1.1
199206,55.7,-3.0
199207,61.3,-3.0
199208,58.1,-4.4
199209,52.1,-1.7
199210,39.3,-0.9
199211,25.3,-2.5
199212,13.8,-5.4
199301,14.8,-3.7
199302,18.5,-2.7
199303,30.4,0.9
199304,36.0,-1.6
199305,48.8,0.1
199306,56.8,-1.9
199307,63.9,-0.4
199308,61.8,-0.7
199309,48.1,-5.7
199310,38.4,-1.8
199311,22.0,-5.8
199312,21.8,2.6
199401,16.5,-2.0
199402,16.0,-5.2
199403,30.5,1.0
199404,36.9,-0.7
199405,51.7,3.0
199406,61.7,3.0
199407,60.9,-3.4
199408,61.9,-0.6
199409,52.2,-1.6
199410,41.8,1.6
199411,28.3,0.5
199412,23.9,4.7
199501,19.7,1.2
199502,25.4,4.2
199503,29.9,0.4
199504,34.3,-3.3
199505,44.4,-4.3
199506,55.1,-3.6
199507,61.6,-2.7
199508,65.2,2.7
199509,52.1,-1.7
199510,36.2,-4.0
199511,26.6,-1.2
199512,19.6,0.4
199601,13.2,-5.3
199602,19.6,-1.6
199603,21.5,-8.0
199604,36.1,-1.5
199605,49.6,0.9
199606,59.1,0.4
199607,63.0,-1.3
199608,61.8,-0.7
199609,52.0,-1.8
199610,39.9,-0.3
199611,25.8,-2.0
199612,16.8,-2.4
199701,15.7,-2.8
199702,22.4,1.2
199703,29.2,-0.3
199704,32.7,-4.9
199705,46.7,-2.0
199706,57.9,-0.8
199707,63.6,-0.7
199708,62.2,-0.3
199709,55.4,1.6
199710,41.1,0.9
199711,26.3,-1.5
199712,22.0,2.8
199801,21.9,3.4
199802,28.7,7.5
199803,26.6,-2.9
199804,34.8,-2.8
199805,50.3,1.6
199806,55.1,-3.6
199807,66.0,1.7
199808,62.3,-0.2
199809,57.4,3.6
199810,43.0,2.8
199811,32.5,4.7
199812,19.2,0.0
199901,20.5,2.0
199902,24.4,3.2
199903,29.4,-0.1
199904,37.0,-0.6
199905,47.6,-1.1
199906,56.7,-2.0
199907,65.6,1.3
199908,63.6,1.1
199909,51.2,-2.6
199910,37.8,-2.4
199911,30.9,3.1
199912,21.6,2.4
200001,19.6,1.1
200002,25.8,4.6
200003,32.3,2.8
200004,35.4,-2.2
200005,50.6,1.9
200006,58.0,-0.7
200007,65.3,1.0
200008,65.0,2.5
200009,52.3,-1.5
200010,44.4,4.2
200011,24.7,-3.1
200012,16.5,-2.7
200101,18.6,0.1
200102,21.2,0.0
200103,30.1,0.6
200104,41.0,3.4
200105,49.9,1.2
200106,58.1,-0.6
200107,67.7,3.4
200108,62.4,-0.1
200109,53.0,-0.8
200110,38.4,-1.8
200111,32.0,4.2
200112,19.4,0.2
200201,16.8,-1.7
200202,20.3,-0.9
200203,21.8,-7.7
200204,40.7,3.1
200205,47.6,-1.1
200206,62.9,4.2
200207,66.1,1.8
200208,63.4,0.9
200209,54.1,0.3
200210,38.5,-1.7
200211,27.9,0.1
200212,21.4,2.2
200301,21.1,2.6
200302,18.2,-3.0
200303,30.6,1.1
200304,39.6,2.0
200305,49.6,0.9
200306,57.1,-1.6
200307,65.6,1.3
200308,64.4,1.9
200309,50.4,-3.4
200310,42.5,2.3
200311,27.7,-0.1
200312,20.6,1.4
200401,18.6,0.1
200402,19.9,-1.3
200403,35.1,5.6
200404,38.8,1.2
200405,50.1,1.4
200406,56.8,-1.9
200407,61.8,-2.5
200408,58.1,-4.4
200409,55.1,1.3
200410,43.2,3.0
200411,31.4,3.6
200412,20.7,1.5
200501,21.4,2.9
200502,27.2,6.0
200503,29.8,0.3
200504,37.8,0.2
200505,48.5,-0.2
200506,58.0,-0.7
200507,62.6,-1.7
200508,61.8,-0.7
200509,56.6,2.8
200510,42.2,2.0
200511,29.2,1.4
200512,19.4,0.2
200601,23.3,4.8
200602,17.4,-3.8
200603,30.5,1.0
200604,40.4,2.8
200605,50.8,2.1
200606,60.2,1.5
200607,66.0,1.7
200608,63.9,1.4
200609,49.9,-3.9
200610,40.7,0.5
200611,27.8,0.0
200612,21.1,1.9
200701,12.1,-6.4
200702,18.1,-3.1
200703,36.5,7.0
200704,35.7,-1.9
200705,50.7,2.0
200706,56.5,-2.2
200707,63.9,-0.4
200708,67.0,4.5
200709,55.8,2.0
200710,41.5,1.3
200711,24.6,-3.2
200712,19.1,-0.1
200801,16.9,-1.6
200802,19.4,-1.8
200803,28.5,-1.0
200804,34.9,-2.7
200805,47.0,-1.7
200806,57.4,-1.3
