Kearny County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.32,-0.13
198902,0.33,-0.14
198903,0.59,-0.50
198904,0.54,-1.06
198905,5.22,2.72
198906,5.27,2.17
198907,1.51,-1.43
198908,4.67,1.72
198909,2.82,1.51
198910,0.14,-1.34
198911,0.00,-0.56
198912,0.29,-0.26
199001,1.21,0.76
199002,1.62,1.15
199003,0.79,-0.30
199004,2.74,1.14
199005,4.44,1.94
199006,1.78,-1.32
199007,4.78,1.84
199008,1.53,-1.42
199009,1.59,0.28
199010,0.21,-1.27
199011,0.85,0.29
199012,0.46,-0.09
199101,0.21,-0.24
199102,0.01,-0.46
199103,1.12,0.03
199104,1.23,-0.37
199105,3.05,0.55
199106,3.64,0.54
199107,2.34,-0.60
199108,2.82,-0.13
199109,0.80,-0.51
199110,0.91,-0.57
199111,1.96,1.40
199112,1.11,0.56
199201,0.88,0.43
199202,0.50,0.03
199203,1.30,0.21
199204,0.11,-1.49
199205,1.36,-1.14
199206,5.35,2.25
199207,3.61,0.67
199208,3.58,0.63
199209,0.17,-1.14
199210,0.39,-1.09
199211,1.85,1.29
199212,0.65,0.10
199301,1.33,0.88
199302,1.64,1.17
199303,2.23,1.14
199304,1.30,-0.30
199305,2.49,-0.01
199306,3.04,-0.06
199307,2.59,-0.35
199308,4.60,1.65
199309,1.80,0.49
199310,1.72,0.24
199311,0.49,-0.07
199312,0.67,0.12
199401,0.53,0.08
199402,0.22,-0.25
199403,0.25,-0.84
199404,2.24,0.64
199405,1.39,-1.11
199406,5.42,2.32
199407,4.12,1.18
199408,2.46,-0.49
199409,1.69,0.38
199410,1.10,-0.38
199411,0.90,0.34
199412,0.48,-0.07
199501,0.22,-0.23
199502,0.32,-0.15
199503,1.01,-0.08
199504,2.38,0.78
199505,4.27,1.77
199506,5.63,2.53
199507,2.30,-0.64
199508,1.95,-1.00
199509,1.47,0.16
199510,0.17,-1.31
199511,0.03,-0.53
199512,0.18,-0.37
199601,0.14,-0.31
