Morton County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,36.4,2.0
198902,28.1,-9.3
198903,46.8,0.9
198904,57.0,3.0
198905,65.1,1.1
198906,68.3,-5.9
198907,76.5,-2.3
198908,74.7,-1.9
198909,65.2,-3.8
198910,57.3,0.9
198911,44.6,0.6
198912,28.5,-5.9
199001,35.0,0.6
199002,35.0,-2.4
199003,44.3,-1.6
199004,54.6,0.6
199005,61.0,-3.0
199006,77.8,3.6
199007,77.2,-1.6
199008,76.4,-0.2
199009,71.8,2.8
199010,56.2,-0.2
199011,48.0,4.0
199012,28.8,-5.6
199101,29.0,-5.4
199102,43.1,5.7
199103,46.0,0.1
199104,54.5,0.5
199105,66.3,2.3
199106,74.6,0.4
199107,78.0,-0.8
199108,76.1,-0.5
199109,67.3,-1.7
199110,56.2,-0.2
199111,37.4,-6.6
199112,35.6,1.2
199201,36.8,2.4
199202,41.9,4.5
199203,48.7,2.8
199204,56.3,2.3
199205,63.2,-0.8
199206,68.8,-5.4
199207,76.3,-2.5
199208,72.0,-4.6
199209,68.5,-0.5
199210,57.3,0.9
199211,37.0,-7.0
199212,30.7,-3.7
199301,27.6,-6.8
199302,32.3,-5.1
199303,44.1,-1.8
199304,51.9,-2.1
199305,62.5,-1.5
199306,72.0,-2.2
199307,78.4,-0.4
199308,75.9,-0.7
199309,64.8,-4.2
199310,53.3,-3.1
199311,38.6,-5.4
199312,36.7,2.3
199401,33.5,-0.9
199402,33.4,-4.0
199403,47.0,1.1
199404,52.9,-1.1
199405,65.5,1.5
199406,78.6,4.4
199407,77.4,-1.4
199408,77.6,1.0
199409,68.2,-0.8
199410,57.0,0.6
199411,43.0,-1.0
199412,39.1,4.7
199501,35.7,1.3
199502,42.5,5.1
199503,44.4,-1.5
199504,49.8,-4.2
199505,57.7,-6.3
199506,70.0,-4.2
199507,77.2,-1.6
199508,79.8,3.2
199509,67.2,-1.8
199510,56.4,0.0
199511,46.5,2.5
199512,35.6,1.2
199601,31.7,-2.7
199602,39.1,1.7
199603,39.9,-6.0
199604,55.0,1.0
199605,67.3,3.3
199606,74.9,0.7
199607,76.5,-2.3
199608,74.3,-2.3
199609,65.2,-3.8
199610,56.4,0.0
199611,41.7,-2.3
199612,36.1,1.7
199701,33.1,-1.3
199702,36.8,-0.6
199703,48.9,3.0
199704,46.8,-7.2
199705,62.4,-1.6
199706,72.0,-2.2
199707,79.5,0.7
199708,74.8,-1.8
199709,69.4,0.4
199710,55.4,-1.0
199711,40.2,-3.8
199712,32.0,-2.4
199801,35.8,1.4
199802,40.6,3.2
199803,39.8,-6.1
199804,51.0,-3.0
199805,67.3,3.3
199806,73.4,-0.8
199807,79.4,0.6
199808,75.6,-1.0
199809,74.6,5.6
199810,58.9,2.5
199811,46.7,2.7
199812,35.2,0.8
199901,36.6,2.2
199902,43.9,6.5
199903,42.8,-3.1
199904,52.5,-1.5
199905,62.2,-1.8
199906,71.9,-2.3
199907,80.2,1.4
199908,77.8,1.2
199909,65.7,-3.3
199910,55.2,-1.2
199911,49.9,5.9
199912,38.8,4.4
200001,36.7,2.3
200002,44.8,7.4
200003,45.4,-0.5
200004,54.7,0.7
200005,66.6,2.6
200006,72.3,-1.9
200007,79.3,0.5
200008,80.5,3.9
200009,70.6,1.6
200010,58.1,1.7
200011,37.9,-6.1
200012,31.3,-3.1
200101,31.6,-2.8
200102,34.7,-2.7
200103,43.0,-2.9
200104,58.5,4.5
200105,64.1,0.1
200106,73.7,-0.5
200107,82.7,3.9
200108,78.0,1.4
200109,69.3,0.3
200110,56.5,0.1
200111,47.7,3.7
200112,37.8,3.4
200201,35.0,0.6
200202,37.0,-0.4
200203,42.0,-3.9
200204,58.1,4.1
200205,65.0,1.0
200206,78.6,4.4
200207,79.8,1.0
200208,77.5,0.9
200209,68.4,-0.6
200210,51.1,-5.3
200211,43.3,-0.7
200212,35.0,0.6
200301,37.4,3.0
200302,34.2,-3.2
200303,45.7,-0.2
200304,55.8,1.8
200305,64.9,0.9
200306,69.3,-4.9
200307,81.2,2.4
200308,78.1,1.5
200309,65.6,-3.4
200310,60.0,3.6
200311,42.6,-1.4
200312,37.2,2.8
200401,35.6,1.2
200402,35.8,-1.6
200403,51.1,5.2
200404,54.0,0.0
200405,68.0,4.0
200406,72.1,-2.1
200407,74.8,-4.0
200408,72.1,-4.5
200409,70.1,1.1
200410,57.2,0.8
200411,42.4,-1.6
200412,37.7,3.3
200501,35.8,1.4
200502,40.7,3.3
200503,44.8,-1.1
200504,54.1,0.1
200505,63.7,-0.3
200506,73.4,-0.8
200507,78.2,-0.6
200508,75.6,-1.0
200509,71.9,2.9
200510,57.8,1.4
200511,46.9,2.9
200512,35.0,0.6
200601,42.1,7.7
200602,36.2,-1.2
200603,46.1,0.2
200604,59.1,5.1
200605,67.0,3.0
200606,77.3,3.1
200607,80.0,1.2
200608,76.1,-0.5
200609,63.8,-5.2
200610,55.4,-1.0
200611,45.6,1.6
200612,35.1,0.7
200701,24.8,-9.6
200702,32.7,-4.7
200703,51.5,5.6
200704,50.0,-4.0
200705,64.1,0.1
200706,71.3,-2.9
200707,77.9,-0.9
200708,80.6,4.0
200709,71.5,2.5
200710,60.0,3.6
200711,45.1,1.1
200712,31.8,-2.6
200801,33.6,-0.8
200802,36.8,-0.6
200803,44.9,-1.0
200804,52.0,-2.0
200805,65.0,1.0
200806,75.4,1.2
