Morton County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189501,29.4,-5.0
189502,26.2,-11.2
189503,42.5,-3.4
189504,57.8,3.8
189505,65.0,1.0
189506,71.3,-2.9
189507,74.7,-4.1
189508,75.0,-1.6
189509,71.8,2.8
189510,52.4,-4.0
189511,39.6,-4.4
189512,32.6,-1.9
189601,36.9,2.5
189602,38.6,1.2
189603,42.1,-3.8
189604,58.9,4.9
189605,69.6,5.6
189606,78.1,3.9
189607,80.2,1.4
189608,80.4,3.8
189609,67.2,-1.8
189610,53.7,-2.7
189611,39.1,-4.9
189612,40.2,5.7
189701,29.4,-5.0
189702,34.5,-2.9
189703,42.8,-3.1
189704,53.8,-0.2
189705,65.9,1.9
189706,76.1,1.9
189707,79.2,0.4
189708,74.1,-2.5
189709,72.2,3.2
189710,57.0,0.6
189711,41.4,-2.6
189712,29.8,-4.7
189801,28.7,-5.7
189802,38.1,0.7
189803,40.6,-5.3
189804,54.0,0.0
189805,60.2,-3.8
189806,71.6,-2.6
189807,75.4,-3.4
189808,76.4,-0.2
189809,65.0,-4.0
189810,50.7,-5.7
189811,39.2,-4.8
189812,25.1,-9.4
189901,29.7,-4.7
189902,20.7,-16.7
189903,40.6,-5.3
189904,53.2,-0.8
189905,65.6,1.6
189906,74.6,0.4
189907,75.8,-3.0
189908,79.4,2.8
189909,69.3,0.3
189910,56.5,0.1
189911,45.3,1.3
189912,30.7,-3.8
190001,36.2,1.8
190002,31.6,-5.8
190003,44.8,-1.1
190004,52.2,-1.8
190005,65.0,1.0
190006,75.9,1.7
190007,77.8,-1.0
190008,79.5,2.9
190009,68.0,-1.0
190010,59.1,2.7
190011,41.8,-2.2
190012,34.3,-0.2
190101,32.5,-1.9
190102,30.4,-7.0
190103,42.3,-3.6
190104,53.4,-0.6
190105,62.9,-1.1
190106,76.4,2.2
190107,82.3,3.5
190108,78.0,1.4
190109,69.0,0.0
190110,57.4,1.0
190111,44.8,0.8
190112,32.9,-1.6
190201,31.7,-2.7
190202,35.3,-2.1
190203,43.4,-2.5
190204,54.6,0.6
190205,66.5,2.5
190206,72.4,-1.8
190207,76.9,-1.9
190208,79.7,3.1
190209,65.8,-3.2
190210,56.7,0.3
190211,43.4,-0.6
190212,29.3,-5.2
190301,34.2,-0.2
190302,24.6,-12.8
190303,39.2,-6.7
190304,52.8,-1.2
190305,61.0,-3.0
190306,66.0,-8.2
190307,78.8,0.0
190308,77.1,0.5
190309,67.0,-2.0
190310,56.2,-0.2
190311,42.1,-1.9
190312,34.5,0.0
190401,30.2,-4.2
190402,38.1,0.7
190403,46.3,0.4
190404,52.0,-2.0
190405,64.0,0.0
190406,70.5,-3.7
190407,76.1,-2.7
190408,74.9,-1.7
190409,69.0,0.0
190410,57.0,0.6
190411,43.7,-0.3
190412,32.0,-2.5
190501,24.2,-10.2
190502,22.4,-15.0
190503,47.9,2.0
190504,50.0,-4.0
190505,60.8,-3.2
190506,74.9,0.7
190507,74.7,-4.1
190508,78.1,1.5
190509,71.1,2.1
190510,53.0,-3.4
190511,44.6,0.6
190512,31.2,-3.3
190601,36.4,2.0
190602,36.7,-0.7
190603,33.9,-12.0
190604,53.3,-0.7
190605,63.0,-1.0
190606,70.1,-4.1
190607,71.6,-7.2
190608,74.9,-1.7
190609,66.2,-2.8
190610,52.4,-4.0
190611,38.9,-5.1
190612,38.8,4.3
190701,33.9,-0.5
190702,38.4,1.0
190703,51.0,5.1
190704,49.5,-4.5
190705,57.0,-7.0
190706,70.2,-4.0
190707,77.9,-0.9
190708,76.7,0.1
190709,69.9,0.9
190710,56.6,0.2
190711,40.9,-3.1
190712,33.5,-1.0
190801,35.1,0.7
190802,38.3,0.9
190803,47.5,1.6
190804,54.5,0.5
190805,62.6,-1.4
190806,73.5,-0.7
190807,75.6,-3.2
190808,76.5,-0.1
190809,69.1,0.1
190810,54.4,-2.0
190811,42.3,-1.7
190812,33.8,-0.7
190901,34.0,-0.4
190902,36.9,-0.5
190903,40.4,-5.5
190904,51.2,-2.8
190905,60.1,-3.9
190906,73.3,-0.9
190907,78.8,0.0
190908,79.4,2.8
190909,67.9,-1.1
190910,53.8,-2.6
190911,45.6,1.6
190912,24.8,-9.7
191001,33.4,-1.0
191002,32.2,-5.2
191003,52.8,6.9
191004,54.9,0.9
191005,61.1,-2.9
191006,75.4,1.2
191007,80.1,1.3
191008,75.3,-1.3
191009,70.6,1.6
191010,57.7,1.3
191011,45.0,1.0
191012,33.5,-1.0
191101,37.2,2.8
191102,32.0,-5.4
191103,46.3,0.4
191104,55.1,1.1
191105,65.7,1.7
191106,78.1,3.9
191107,78.4,-0.4
191108,76.3,-0.3
191109,74.1,5.1
191110,53.7,-2.7
191111,38.4,-5.6
191112,25.3,-9.2
191201,18.8,-15.6
191202,32.7,-4.7
191203,32.9,-13.0
191204,51.8,-2.2
191205,64.4,0.4
191206,69.3,-4.9
191207,78.1,-0.7
191208,76.5,-0.1
191209,63.9,-5.1
191210,55.8,-0.6
191211,44.3,0.3
191212,32.8,-1.7
191301,31.6,-2.8
191302,25.4,-12.0
191303,40.5,-5.4
191304,55.1,1.1
191305,67.6,3.6
191306,72.5,-1.7
191307,81.3,2.5
191308,80.2,3.6
191309,64.4,-4.6
191310,54.1,-2.3
191311,46.5,2.5
191312,29.5,-5.0
191401,38.7,4.3
191402,33.4,-4.0
191403,44.6,-1.3
191404,54.9,0.9
