Morton County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,19.8,-0.8
198902,16.6,-6.5
198903,28.4,-2.1
198904,39.8,1.4
198905,51.3,2.2
198906,56.2,-3.0
198907,62.5,-1.7
198908,62.6,0.0
198909,51.3,-3.0
198910,40.0,-1.2
198911,26.2,-3.1
198912,14.6,-6.6
199001,20.7,0.1
199002,23.7,0.6
199003,31.1,0.6
199004,38.9,0.5
199005,47.0,-2.1
199006,61.3,2.1
199007,63.4,-0.8
199008,61.9,-0.7
199009,58.1,3.8
199010,40.4,-0.8
199011,32.0,2.7
199012,14.2,-7.0
199101,17.8,-2.8
199102,25.0,1.9
199103,30.4,-0.1
199104,39.0,0.6
199105,51.6,2.5
199106,60.3,1.1
199107,63.5,-0.7
199108,62.5,-0.1
199109,52.9,-1.4
199110,38.6,-2.6
199111,25.1,-4.2
199112,24.4,3.2
199201,23.1,2.5
199202,27.3,4.2
199203,32.6,2.1
199204,40.4,2.0
199205,49.2,0.1
199206,55.5,-3.7
199207,61.8,-2.4
199208,59.0,-3.6
199209,53.5,-0.8
199210,40.6,-0.6
199211,25.9,-3.4
199212,19.0,-2.2
199301,17.5,-3.1
199302,19.9,-3.2
199303,30.3,-0.2
199304,37.2,-1.2
199305,48.7,-0.4
199306,57.1,-2.1
199307,63.8,-0.4
199308,61.9,-0.7
199309,49.2,-5.1
199310,38.5,-2.7
199311,24.2,-5.1
199312,23.1,1.9
199401,18.9,-1.7
199402,18.0,-5.1
199403,30.8,0.3
199404,37.0,-1.4
199405,52.0,2.9
199406,62.3,3.1
199407,61.6,-2.6
199408,63.0,0.4
199409,52.9,-1.4
199410,42.1,0.9
199411,29.4,0.1
199412,25.5,4.3
199501,23.1,2.5
199502,27.0,3.9
199503,30.7,0.2
199504,35.3,-3.1
199505,45.2,-3.9
199506,55.4,-3.8
199507,61.8,-2.4
199508,65.0,2.4
199509,52.8,-1.5
199510,39.0,-2.2
199511,30.1,0.8
199512,22.5,1.3
199601,15.7,-4.9
199602,22.8,-0.3
199603,23.3,-7.2
199604,37.7,-0.7
199605,50.6,1.5
199606,59.5,0.3
199607,63.6,-0.6
199608,61.9,-0.7
199609,52.7,-1.6
199610,40.9,-0.3
199611,27.9,-1.4
199612,20.4,-0.8
199701,19.4,-1.2
199702,24.1,1.0
199703,31.5,1.0
199704,33.0,-5.4
199705,47.5,-1.6
199706,58.1,-1.1
199707,63.9,-0.3
199708,61.5,-1.1
199709,55.3,1.0
199710,41.0,-0.2
199711,27.2,-2.1
199712,23.4,2.2
199801,23.3,2.7
199802,28.6,5.5
199803,27.0,-3.5
199804,35.7,-2.7
199805,50.5,1.4
199806,56.2,-3.0
199807,65.1,0.9
199808,62.1,-0.5
199809,58.8,4.5
199810,44.4,3.2
199811,33.0,3.7
199812,21.6,0.4
199901,22.2,1.6
199902,27.0,3.9
199903,29.9,-0.6
199904,37.8,-0.6
199905,47.9,-1.2
199906,57.3,-1.9
199907,65.4,1.2
199908,63.0,0.4
199909,52.0,-2.3
199910,38.4,-2.8
199911,32.5,3.2
199912,24.6,3.4
200001,21.5,0.9
200002,28.1,5.0
200003,33.3,2.8
200004,37.5,-0.9
200005,50.3,1.2
200006,58.1,-1.1
200007,64.0,-0.2
200008,63.8,1.2
200009,51.9,-2.4
200010,45.1,3.9
200011,24.8,-4.5
200012,18.2,-3.0
200101,19.2,-1.4
200102,23.4,0.3
200103,31.4,0.9
200104,42.1,3.7
200105,50.1,1.0
200106,58.4,-0.8
200107,66.5,2.3
200108,62.8,0.2
200109,53.2,-1.1
200110,39.6,-1.6
200111,34.0,4.7
200112,22.4,1.2
200201,19.8,-0.8
200202,22.2,-0.9
200203,23.6,-6.9
200204,41.7,3.3
200205,48.6,-0.5
200206,62.7,3.5
200207,65.2,1.0
200208,63.7,1.1
200209,54.9,0.6
200210,39.4,-1.8
200211,29.6,0.3
200212,23.2,2.0
200301,24.0,3.4
200302,21.1,-2.0
200303,31.0,0.5
200304,39.9,1.5
200305,49.9,0.8
200306,56.8,-2.4
200307,65.0,0.8
200308,63.2,0.6
200309,50.9,-3.4
200310,43.9,2.7
200311,29.6,0.3
200312,22.7,1.5
200401,21.9,1.3
200402,21.6,-1.5
200403,35.8,5.3
200404,40.1,1.7
200405,51.1,2.0
200406,57.6,-1.6
200407,62.3,-1.9
200408,59.1,-3.5
200409,55.5,1.2
200410,43.2,2.0
200411,32.1,2.8
200412,22.8,1.6
200501,24.0,3.4
200502,29.2,6.1
200503,30.3,-0.2
200504,38.7,0.3
200505,50.0,0.9
200506,58.6,-0.6
200507,62.8,-1.4
200508,61.9,-0.7
200509,57.1,2.8
200510,42.6,1.4
200511,30.4,1.1
200512,20.6,-0.6
200601,25.4,4.8
200602,19.0,-4.1
200603,31.1,0.6
200604,40.8,2.4
200605,51.3,2.2
200606,60.8,1.6
200607,65.3,1.1
200608,63.8,1.2
200609,49.2,-5.1
200610,40.4,-0.8
200611,29.5,0.2
200612,22.8,1.6
200701,14.6,-6.0
200702,21.4,-1.7
200703,36.7,6.2
200704,36.8,-1.6
200705,49.7,0.6
200706,57.5,-1.7
200707,62.9,-1.3
200708,66.1,3.5
200709,56.1,1.8
200710,42.8,1.6
200711,28.2,-1.1
200712,19.7,-1.5
200801,19.1,-1.5
200802,21.0,-2.1
200803,28.8,-1.7
200804,35.4,-3.0
200805,47.9,-1.2
200806,58.6,-0.6
