Morton County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.38,-0.03
198902,0.18,-0.17
198903,0.07,-0.91
198904,0.41,-0.89
198905,4.64,2.54
198906,7.32,4.51
198907,1.98,-0.82
198908,3.82,0.85
198909,2.01,0.60
198910,0.08,-1.44
198911,0.00,-0.50
198912,0.24,-0.34
199001,1.16,0.75
199002,1.33,0.98
199003,0.79,-0.19
199004,2.00,0.70
199005,4.04,1.94
199006,1.29,-1.52
199007,4.90,2.10
199008,0.94,-2.03
199009,2.61,1.20
199010,0.21,-1.31
199011,1.12,0.62
199012,0.20,-0.38
199101,0.25,-0.16
199102,0.04,-0.31
199103,1.14,0.16
199104,0.67,-0.63
199105,2.70,0.60
199106,4.03,1.22
199107,1.49,-1.31
199108,3.64,0.67
199109,0.94,-0.47
199110,0.95,-0.57
199111,1.81,1.31
199112,1.13,0.55
199201,0.40,-0.01
199202,0.27,-0.08
199203,0.42,-0.56
199204,0.49,-0.81
199205,1.49,-0.61
199206,3.95,1.14
199207,2.75,-0.05
199208,3.33,0.36
199209,0.78,-0.63
199210,0.04,-1.48
199211,1.31,0.81
199212,0.51,-0.07
199301,0.83,0.42
199302,1.20,0.85
199303,1.85,0.87
199304,0.82,-0.48
199305,2.68,0.58
199306,4.27,1.46
199307,1.93,-0.87
199308,3.35,0.38
199309,0.68,-0.73
199310,1.20,-0.32
199311,0.48,-0.02
199312,0.88,0.30
199401,0.37,-0.04
199402,0.02,-0.33
199403,0.43,-0.55
199404,2.28,0.98
199405,1.63,-0.47
199406,2.22,-0.59
199407,3.51,0.71
199408,5.62,2.65
199409,0.45,-0.96
199410,1.17,-0.35
199411,0.65,0.15
199412,0.54,-0.04
199501,0.65,0.24
199502,0.23,-0.12
199503,0.65,-0.33
199504,1.07,-0.23
199505,3.30,1.20
199506,3.03,0.22
199507,2.97,0.17
199508,1.41,-1.56
199509,1.56,0.15
199510,0.33,-1.19
199511,0.01,-0.49
199512,0.43,-0.15
199601,0.01,-0.40
