Kansas, Palmer Drought Severity Index (PDSI)
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,-2.70,-3.38
198902,-2.86,-3.54
198903,-2.99,-3.55
198904,-3.88,-4.47
198905,-3.85,-4.65
198906,0.59,-0.33
198907,0.44,-0.66
198908,1.14,-0.21
198909,1.44,0.52
198910,-0.26,-1.05
198911,-0.97,-1.74
198912,-1.31,-2.10
199001,0.10,-0.58
199002,0.33,-0.35
199003,0.69,0.13
199004,0.57,-0.02
199005,1.49,0.69
199006,-0.31,-1.23
199007,0.28,-0.82
199008,0.38,-0.97
199009,-0.54,-1.46
199010,-0.94,-1.73
199011,-0.96,-1.73
199012,-1.09,-1.88
199101,-1.21,-1.89
199102,-1.92,-2.60
199103,-2.27,-2.83
199104,-2.10,-2.69
199105,-2.26,-3.06
199106,-2.86,-3.78
199107,-3.34,-4.44
199108,-3.49,-4.84
199109,-3.81,-4.73
199110,-3.85,-4.64
199111,0.53,-0.24
199112,0.93,0.14
199201,1.02,0.34
199202,-0.13,-0.81
199203,0.00,-0.56
199204,-0.50,-1.09
199205,-1.01,-1.81
199206,0.80,-0.12
199207,2.27,1.17
199208,3.02,1.67
199209,2.77,1.85
199210,2.72,1.93
199211,3.87,3.10
199212,4.42,3.63
199301,4.84,4.16
199302,5.41,4.73
199303,5.37,4.81
199304,4.97,4.38
199305,5.67,4.87
199306,5.45,4.53
199307,7.46,6.36
199308,7.80,6.45
199309,7.90,6.98
199310,7.18,6.39
199311,6.78,6.01
199312,6.35,5.56
199401,6.01,5.33
199402,5.70,5.02
199403,4.58,4.02
199404,5.23,4.64
199405,3.82,3.02
199406,2.96,2.04
199407,3.26,2.16
199408,2.74,1.39
199409,1.87,0.95
199410,1.73,0.94
199411,1.95,1.18
199412,1.77,0.98
199501,1.74,1.06
199502,1.14,0.46
199503,1.13,0.57
199504,1.39,0.80
199505,3.86,3.06
199506,4.07,3.15
199507,4.09,2.99
199508,3.88,2.53
199509,-0.01,-0.93
199510,-0.69,-1.48
199511,-1.13,-1.90
199512,-1.21,-2.00
199601,-1.37,-2.05
199602,-1.84,-2.52
199603,-1.94,-2.50
199604,-2.25,-2.84
199605,0.13,-0.67
199606,0.00,-0.92
199607,0.32,-0.78
199608,1.37,0.02
199609,2.07,1.15
199610,1.84,1.05
199611,2.61,1.84
199612,2.16,1.37
199701,1.84,1.16
199702,2.63,1.95
199703,1.86,1.30
199704,2.18,1.59
199705,2.09,1.29
199706,2.20,1.28
199707,2.38,1.28
199708,3.19,1.84
199709,3.02,2.10
199710,3.37,2.58
