Kansas, Palmer Hydrological Drought Index (PHDI)
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,-2.70,-3.40
198902,-2.86,-3.48
198903,-2.99,-3.49
198904,-3.88,-4.44
198905,-3.85,-4.61
198906,-2.86,-3.60
198907,-2.66,-3.68
198908,-1.63,-2.88
198909,-1.05,-2.06
198910,-1.20,-2.34
198911,-1.81,-2.78
198912,-2.07,-2.92
199001,-1.76,-2.46
199002,-1.34,-1.96
199003,-0.81,-1.31
199004,-0.77,-1.33
199005,1.49,0.73
199006,1.03,0.29
199007,1.20,0.18
199008,1.21,-0.04
199009,-0.54,-1.55
199010,-0.94,-2.08
199011,-0.96,-1.93
199012,-1.09,-1.94
199101,-1.21,-1.91
199102,-1.92,-2.54
199103,-2.27,-2.77
199104,-2.10,-2.66
199105,-2.26,-3.02
199106,-2.86,-3.60
199107,-3.34,-4.36
199108,-3.49,-4.74
199109,-3.81,-4.82
199110,-3.85,-4.99
199111,-2.92,-3.89
199112,-2.16,-3.01
199201,-1.76,-2.46
199202,-1.71,-2.33
199203,-1.42,-1.92
199204,-1.77,-2.33
199205,-2.15,-2.91
199206,-1.13,-1.87
199207,2.27,1.25
199208,3.02,1.77
199209,2.77,1.76
199210,2.72,1.58
199211,3.87,2.90
199212,4.42,3.57
199301,4.84,4.14
199302,5.41,4.79
199303,5.37,4.87
199304,4.97,4.41
199305,5.67,4.91
199306,5.45,4.71
199307,7.46,6.44
199308,7.80,6.55
199309,7.90,6.89
199310,7.18,6.04
199311,6.78,5.81
199312,6.35,5.50
199401,6.01,5.31
199402,5.70,5.08
199403,4.58,4.08
199404,5.23,4.67
199405,3.82,3.06
199406,2.96,2.22
199407,3.26,2.24
199408,2.74,1.49
199409,1.87,0.86
199410,1.73,0.59
199411,1.95,0.98
199412,1.77,0.92
199501,1.74,1.04
199502,1.14,0.52
199503,1.13,0.63
199504,1.39,0.83
199505,3.86,3.10
199506,4.07,3.33
199507,4.09,3.07
199508,3.88,2.63
199509,3.47,2.46
199510,2.43,1.29
199511,1.67,0.70
199512,1.30,0.45
199601,0.88,0.18
199602,-1.84,-2.46
199603,-1.94,-2.44
199604,-2.25,-2.81
199605,-1.90,-2.66
199606,-1.81,-2.55
199607,-1.30,-2.32
199608,1.37,0.12
199609,2.07,1.06
199610,1.84,0.70
199611,2.61,1.64
199612,2.16,1.31
199701,1.84,1.14
199702,2.63,2.01
199703,1.86,1.36
199704,2.18,1.62
199705,2.09,1.33
199706,2.20,1.46
199707,2.38,1.36
199708,3.19,1.94
199709,3.02,2.01
199710,3.37,2.23
199711,3.08,2.11
199712,3.73,2.88
199801,3.60,2.90
199802,3.51,2.89
199803,4.17,3.67
199804,3.86,3.30
199805,2.63,1.87
199806,2.02,1.28
199807,2.86,1.84
199808,2.24,0.99
199809,1.88,0.87
199810,2.62,1.48
199811,3.75,2.78
199812,3.47,2.62
199901,3.84,3.14
199902,3.32,2.70
199903,3.18,2.68
199904,4.26,3.70
199905,4.29,3.53
199906,4.60,3.86
199907,4.32,3.30
199908,4.15,2.90
199909,4.10,3.09
199910,3.13,1.99
199911,2.27,1.30
199912,2.11,1.26
200001,1.65,0.95
200002,1.69,1.07
200003,2.42,1.92
200004,1.75,1.19
200005,1.04,0.28
200006,1.15,0.41
200007,1.36,0.34
200008,-1.36,-2.61
200009,-2.18,-3.19
200010,-1.26,-2.40
200011,-1.04,-2.01
200012,-1.15,-2.00
200101,-0.68,-1.38
200102,1.73,1.11
200103,1.64,1.14
200104,1.04,0.48
200105,1.58,0.82
200106,1.57,0.83
200107,1.80,0.78
200108,1.39,0.14
200109,1.57,0.56
200110,1.03,-0.11
200111,-0.98,-1.95
200112,-1.45,-2.30
200201,-1.29,-1.99
200202,-1.60,-2.22
200203,-2.10,-2.60
200204,-2.12,-2.68
200205,-2.06,-2.82
200206,-2.64,-3.38
200207,-3.37,-4.39
200208,-3.37,-4.62
200209,-3.79,-4.80
200210,-2.18,-3.32
200211,-2.41,-3.38
200212,-2.46,-3.31
200301,-2.60,-3.30
200302,-2.19,-2.81
200303,-1.89,-2.39
200304,-1.41,-1.97
200305,-1.29,-2.05
200306,-0.86,-1.60
200307,-1.46,-2.48
200308,-1.11,-2.36
200309,-1.05,-2.06
200310,-1.42,-2.56
200311,-1.71,-2.68
200312,-1.56,-2.41
200401,-1.49,-2.19
200402,-1.43,-2.05
200403,-0.96,-1.46
200404,-0.86,-1.42
200405,-1.55,-2.31
200406,-0.89,-1.63
200407,1.57,0.55
200408,1.63,0.38
200409,1.23,0.22
200410,1.26,0.12
200411,1.71,0.74
200412,1.27,0.42
200501,1.92,1.22
200502,2.27,1.65
200503,2.02,1.52
200504,1.65,1.09
200505,1.36,0.60
200506,2.06,1.32
200507,2.27,1.25
200508,3.26,2.01
200509,2.50,1.49
200510,2.56,1.42
200511,1.98,1.01
200512,1.55,0.70
200601,0.92,0.22
200602,-1.44,-2.06
200603,-1.50,-2.00
200604,-1.67,-2.23
200605,-2.26,-3.02
200606,-2.69,-3.43
200607,-3.15,-4.17
200608,-2.44,-3.69
200609,-2.50,-3.51
200610,-2.19,-3.33
200611,-2.54,-3.51
200612,-1.40,-2.25
200701,-1.20,-1.90
200702,-1.04,-1.66
200703,-0.62,-1.12
200704,1.38,0.82
200705,2.20,1.44
200706,2.81,2.07
200707,3.01,1.99
200708,2.69,1.44
200709,2.06,1.05
200710,2.14,1.00
200711,1.34,0.37
200712,2.14,1.29
200801,1.78,1.08
200802,2.02,1.40
200803,1.73,1.23
200804,1.96,1.40
200805,2.53,1.77
200806,2.74,2.00
200807,2.92,1.90
200808,3.21,1.96
200809,3.57,2.56
200810,4.68,3.54
200811,4.32,3.35
200812,4.11,3.26
200901,3.67,2.97
200902,3.30,2.68
200903,3.19,2.69
200904,4.15,3.59
200905,3.48,2.72
200906,3.50,2.76
200907,3.81,2.79
200908,4.16,2.91
200909,4.26,3.25
200910,5.06,3.92
200911,4.63,3.66
200912,4.57,3.72
201001,4.34,3.64
201002,4.30,3.68
201003,4.19,3.69
201004,3.73,3.17
201005,3.72,2.96
201006,3.64,2.90
201007,4.07,3.05
201008,3.84,2.59
201009,3.57,2.56
201010,2.58,1.44
201011,2.37,1.40
201012,1.73,0.88
201101,1.34,0.64
201102,1.33,0.71
201103,0.79,0.29
201104,-1.29,-1.85
201105,-1.39,-2.15
201106,-1.96,-2.70
201107,-2.48,-3.50
201108,-2.60,-3.85
201109,-2.99,-4.00
201110,-3.00,-4.14
201111,-2.29,-3.26
201112,-1.26,-2.11
201201,-1.56,-2.26
201202,-0.89,-1.51
201203,-1.00,-1.50
201204,-0.84,-1.40
201205,-2.04,-2.80
201206,-2.80,-3.54
201207,-3.80,-4.82
201208,-3.90,-5.15
201209,-3.94,-4.95
201210,-3.93,-5.07
201211,-4.20,-5.17
201212,-4.24,-5.09
201301,-4.03,-4.73
201302,-3.41,-4.03
201303,-3.46,-3.96
201304,-2.86,-3.42
201305,-2.63,-3.39
201306,-2.93,-3.67
201307,-2.31,-3.33
201308,-1.29,-2.54
201309,-1.31,-2.32
201310,-0.83,-1.97
201311,-0.81,-1.78
201312,-0.99,-1.84
201401,-1.21,-1.91
201402,-1.16,-1.78
201403,-1.62,-2.12
201404,-1.87,-2.43
201405,-2.73,-3.49
201406,-1.44,-2.18
201407,-1.41,-2.43
201408,-1.28,-2.53
201409,-1.07,-2.08
201410,-0.72,-1.86
201411,-1.05,-2.02
201412,-0.73,-1.58
201501,-0.91,-1.61
201502,-0.83,-1.45
201503,-1.54,-2.04
201504,-1.40,-1.96
201505,1.87,1.11
201506,1.55,0.81
201507,2.20,1.18
201508,2.26,1.01
201509,1.40,0.39
201510,1.08,-0.06
201511,1.71,0.74
201512,2.45,1.60
201601,2.27,1.57
201602,1.89,1.27
201603,1.11,0.61
201604,2.27,1.71
201605,2.66,1.90
201606,1.82,1.08
201607,2.29,1.27
201608,3.00,1.75
