State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
53,Washington,043,Lincoln,1989,Unspecified,Wheat,"Cold Winter",8607.50,1247.073920,1,163315.500000,1010.200000
53,Washington,043,Lincoln,1989,Unspecified,Wheat,Drought,2465.90,427.655500,1,51762.900000,330.800000
53,Washington,043,Lincoln,1989,Unspecified,Wheat,Freeze,61.60,15.304680,1,1377.600000,10.000000
53,Washington,043,Lincoln,1989,2,Wheat,"Cold Winter",23743.70,1883.183860,1,174066.100000,1380.600000
53,Washington,043,Lincoln,1989,2,Wheat,Drought,1084.00,108.688300,1,19043.000000,90.000000
53,Washington,043,Lincoln,1989,2,Wheat,Freeze,480075.10,21597.178880,2,2841954.200000,16392.000000
53,Washington,043,Lincoln,1989,2,Wheat,Frost,8682.00,270.335100,1,32278.000000,193.000000
53,Washington,043,Lincoln,1989,3,Wheat,Drought,125439.00,7422.462700,1,892845.000000,5406.000000
53,Washington,043,Lincoln,1989,3,Wheat,Flood,296.00,9.000000,1,609.000000,7.000000
53,Washington,043,Lincoln,1989,4,Wheat,Drought,79593.00,5040.699000,1,645821.000000,3616.000000
53,Washington,043,Lincoln,1989,4,Wheat,Other,3011.00,21.000000,1,3213.000000,18.000000
53,Washington,043,Lincoln,1989,5,Wheat,Drought,55360.00,6079.568100,1,714298.000000,4990.000000
53,Washington,043,Lincoln,1989,5,Wheat,Frost,0.00,0.000000,1,0.000000,0.000000
53,Washington,043,Lincoln,1989,5,Wheat,Hail,94.00,388.417500,1,31115.000000,321.000000
53,Washington,043,Lincoln,1989,6,Wheat,"Cold Wet Weather",351.40,145.952940,1,15456.700000,107.800000
53,Washington,043,Lincoln,1989,6,Wheat,Drought,627919.00,32778.593700,1,4333200.000000,27736.200000
53,Washington,043,Lincoln,1989,6,Wheat,Frost,198.00,41.000000,1,3690.000000,37.000000
53,Washington,043,Lincoln,1989,6,Wheat,Heat,35902.80,2423.502820,1,273575.000000,1936.400000
53,Washington,043,Lincoln,1989,6,Wheat,Other,1118.00,251.532100,1,26200.000000,198.000000
53,Washington,043,Lincoln,1989,7,Wheat,"Cold Winter",12103.00,434.985000,1,43586.000000,347.000000
53,Washington,043,Lincoln,1989,7,Wheat,Drought,33791.00,1681.912100,1,232102.000000,1247.000000
53,Washington,043,Lincoln,1989,7,Wheat,Freeze,7338.00,254.527200,1,29245.000000,175.000000
53,Washington,043,Lincoln,1989,8,Wheat,"Cold Winter",2537.00,238.680000,1,19890.000000,188.000000
53,Washington,043,Lincoln,1989,8,Wheat,Drought,9549.00,678.501000,1,54750.000000,517.000000
53,Washington,043,Lincoln,1989,9,Wheat,"Cold Winter",19020.00,1153.584600,1,95369.000000,879.000000
53,Washington,043,Lincoln,1989,9,Wheat,Drought,1587.00,247.081300,1,18803.000000,194.000000
53,Washington,043,Lincoln,1989,10,Wheat,"Cold Winter",1268.90,205.294190,1,18659.600000,152.900000
53,Washington,043,Lincoln,1989,10,Wheat,Drought,66573.90,3966.572310,1,404282.400000,3084.500000
53,Washington,043,Lincoln,1989,10,Wheat,Freeze,101756.20,5962.826100,1,621764.000000,4627.600000
53,Washington,043,Lincoln,1990,5,Wheat,Drought,50998.00,1406.737700,1,150172.000000,1601.000000
53,Washington,043,Lincoln,1990,5,Wheat,Frost,828.00,22.000000,1,2732.000000,22.000000
53,Washington,043,Lincoln,1990,5,Wheat,Heat,1549.00,29.700000,1,3995.000000,25.000000
53,Washington,043,Lincoln,1990,5,Wheat,Insects,767.00,37.700000,1,3902.000000,39.000000
53,Washington,043,Lincoln,1990,6,Wheat,Drought,3278.00,184.635600,2,16343.000000,174.000000
53,Washington,043,Lincoln,1990,6,Wheat,Frost,1153.00,83.779870,1,18492.100000,201.500000
53,Washington,043,Lincoln,1990,6,Wheat,Heat,8837.00,709.862630,2,81439.900000,802.500000
53,Washington,043,Lincoln,1990,7,Wheat,Drought,12097.00,554.944330,1,73986.000000,557.000000
53,Washington,043,Lincoln,1990,7,Wheat,Heat,73985.40,2981.634390,1,346618.200000,2960.600000
53,Washington,043,Lincoln,1990,8,Wheat,Drought,886.00,42.180000,1,3037.000000,31.000000
53,Washington,043,Lincoln,1990,8,Wheat,Heat,6203.00,76.371500,1,8696.000000,96.000000
53,Washington,043,Lincoln,1990,9,Wheat,Drought,50843.00,1738.705100,1,200989.000000,1837.000000
53,Washington,043,Lincoln,1990,9,Wheat,Heat,1995.00,18.100000,1,3795.000000,15.000000
53,Washington,043,Lincoln,1990,10,Wheat,Drought,53180.60,2394.669910,3,265481.800000,2168.400000
53,Washington,043,Lincoln,1990,11,Wheat,Drought,6983.00,305.192600,1,44619.000000,278.000000
53,Washington,043,Lincoln,1990,12,Wheat,Drought,57805.00,1044.229000,1,139636.000000,1140.000000
53,Washington,043,Lincoln,1991,Unspecified,Wheat,Frost,2150.75,151.130000,1,13601.700000,127.400000
53,Washington,043,Lincoln,1991,1,Wheat,"Cold Winter",1100.00,99.113100,1,12580.000000,81.000000
53,Washington,043,Lincoln,1991,1,Wheat,Freeze,25355.00,988.536300,1,105623.000000,889.000000
53,Washington,043,Lincoln,1991,4,Wheat,"Cold Wet Weather",6581.00,1002.173400,1,86928.000000,958.000000
53,Washington,043,Lincoln,1991,4,Wheat,Drought,722.80,25.291280,1,3642.000000,22.800000
53,Washington,043,Lincoln,1991,4,Wheat,Freeze,1084.20,37.936920,1,5463.000000,34.200000
53,Washington,043,Lincoln,1991,5,Wheat,"Cold Wet Weather",7256.00,225.379600,1,21568.000000,180.000000
53,Washington,043,Lincoln,1991,5,Wheat,"Cold Winter",6612.50,238.000000,1,16772.500000,194.000000
53,Washington,043,Lincoln,1991,5,Wheat,Frost,564.00,74.704000,1,4550.000000,78.000000
53,Washington,043,Lincoln,1991,6,Wheat,Drought,37802.00,3127.208410,2,272282.700000,2925.300000
53,Washington,043,Lincoln,1991,6,Wheat,Freeze,718.70,36.511580,1,2970.500000,29.500000
53,Washington,043,Lincoln,1991,6,Wheat,Frost,203605.82,15727.862454,2,1679236.400000,13575.280000
53,Washington,043,Lincoln,1991,6,Wheat,Heat,21314.48,1137.382056,1,97064.400000,979.920000
53,Washington,043,Lincoln,1991,7,Wheat,Drought,12702.90,1306.146630,2,111520.200000,1098.100000
53,Washington,043,Lincoln,1991,7,Wheat,Frost,16353.10,1301.788390,2,122905.800000,1240.100000
53,Washington,043,Lincoln,1991,7,Wheat,Heat,8910.00,596.850880,1,51406.000000,534.800000
53,Washington,043,Lincoln,1991,8,Wheat,Drought,3610.00,314.146800,1,26866.000000,287.000000
53,Washington,043,Lincoln,1991,8,Wheat,Frost,39268.00,2782.517400,1,273612.000000,2486.000000
53,Washington,043,Lincoln,1991,9,Wheat,Drought,189207.20,7080.460040,3,821872.400000,6942.800000
53,Washington,043,Lincoln,1991,9,Wheat,Freeze,234943.80,8268.645360,2,894300.600000,7818.200000
53,Washington,043,Lincoln,1991,9,Wheat,Frost,4085.00,876.932900,1,142860.000000,1078.000000
53,Washington,043,Lincoln,1991,10,Wheat,Drought,44297.90,2045.192060,2,302352.500000,2440.000000
53,Washington,043,Lincoln,1991,10,Wheat,Freeze,58880.60,3086.102540,2,386271.000000,3068.000000
53,Washington,043,Lincoln,1991,10,Wheat,Frost,0.00,228.945500,1,81289.000000,536.000000
53,Washington,043,Lincoln,1991,11,Wheat,Drought,531.60,24.046440,1,2629.600000,23.600000
53,Washington,043,Lincoln,1991,11,Wheat,Freeze,797.40,36.069660,1,3944.400000,35.400000
53,Washington,043,Lincoln,1991,12,Wheat,"Cold Winter",131574.25,4793.076400,3,585603.300000,4539.600000
53,Washington,043,Lincoln,1991,12,Wheat,Drought,4652.60,384.553360,1,31790.400000,268.600000
53,Washington,043,Lincoln,1991,12,Wheat,Freeze,197374.40,10416.707540,2,1207815.600000,8677.400000
53,Washington,043,Lincoln,1992,Unspecified,Wheat,Drought,7536.90,1049.857310,3,94820.483333,781.716667
53,Washington,043,Lincoln,1992,Unspecified,Wheat,"Wind/excess Wind",0.00,3336.088040,1,276232.583333,2133.450000
53,Washington,043,Lincoln,1992,2,Wheat,"Cold Winter",2019.00,224.603000,1,65351.000000,870.500000
53,Washington,043,Lincoln,1992,2,Wheat,Drought,292.00,32.482900,1,12626.500000,102.000000
53,Washington,043,Lincoln,1992,2,Wheat,"Wind/excess Wind",17705.00,1967.072100,2,327359.500000,3311.000000
53,Washington,043,Lincoln,1992,3,Wheat,Drought,3012.00,181.212700,3,36706.000000,327.000000
53,Washington,043,Lincoln,1992,3,Wheat,"Wind/excess Wind",3609.40,306.822920,4,131793.800000,1291.500000
53,Washington,043,Lincoln,1992,4,Wheat,Drought,703.20,106.953480,1,3609.900000,45.600000
53,Washington,043,Lincoln,1992,4,Wheat,Freeze,2988.85,113.760835,1,8303.183333,58.441667
53,Washington,043,Lincoln,1992,4,Wheat,Frost,2288.60,162.043400,3,10515.316667,96.833333
53,Washington,043,Lincoln,1992,4,Wheat,"Wind/excess Wind",1460.00,162.275200,1,32137.000000,250.000000
53,Washington,043,Lincoln,1992,5,Wheat,Drought,144376.30,8949.295985,2,791415.333333,7046.683333
53,Washington,043,Lincoln,1992,5,Wheat,"Failure Of Irrigation Supply",4938.00,159.700000,1,24816.000000,174.000000
53,Washington,043,Lincoln,1992,5,Wheat,Freeze,29275.95,1016.750160,2,82712.150000,725.016667
53,Washington,043,Lincoln,1992,5,Wheat,Frost,73521.95,4150.751345,3,307065.550000,2798.533333
53,Washington,043,Lincoln,1992,5,Wheat,Hail,3316.00,471.977800,1,42478.000000,497.000000
53,Washington,043,Lincoln,1992,5,Wheat,Heat,12828.40,490.467900,1,28712.600000,303.200000
53,Washington,043,Lincoln,1992,5,Wheat,"Wind/excess Wind",13899.00,190.729080,3,30443.000000,298.500000
53,Washington,043,Lincoln,1992,6,Wheat,Drought,151861.25,9280.379950,6,776872.416667,7264.125000
53,Washington,043,Lincoln,1992,6,Wheat,Freeze,3058.20,184.826700,2,14533.800000,179.600000
53,Washington,043,Lincoln,1992,6,Wheat,Frost,2644.00,226.518760,2,14663.550000,206.600000
53,Washington,043,Lincoln,1992,6,Wheat,Heat,24088.00,366.359500,2,20484.000000,179.666667
53,Washington,043,Lincoln,1992,7,Wheat,"Cold Winter",1653.80,228.647600,2,22904.400000,206.200000
53,Washington,043,Lincoln,1992,7,Wheat,Drought,111943.20,3785.127130,2,368181.100000,4026.000000
53,Washington,043,Lincoln,1992,7,Wheat,"Excess Moisture/precip/rain",42385.60,2278.428340,2,274470.600000,1885.400000
53,Washington,043,Lincoln,1992,7,Wheat,Freeze,58583.00,3370.463200,1,235601.500000,2385.500000
53,Washington,043,Lincoln,1992,7,Wheat,Frost,14064.20,431.458980,1,39183.400000,317.700000
53,Washington,043,Lincoln,1992,8,Wheat,Drought,53183.00,3864.629400,2,413966.000000,3715.500000
53,Washington,043,Lincoln,1992,8,Wheat,Freeze,52130.00,1543.952900,1,123387.500000,1051.500000
53,Washington,043,Lincoln,1992,8,Wheat,Frost,6705.00,535.100000,1,65352.000000,480.000000
53,Washington,043,Lincoln,1992,9,Wheat,Drought,6221.50,600.777200,2,80360.300000,701.700000
53,Washington,043,Lincoln,1992,9,Wheat,Freeze,4613.00,114.600000,1,42414.000000,344.000000
53,Washington,043,Lincoln,1992,9,Wheat,"Wind/excess Wind",418.50,109.461000,3,9077.900000,106.100000
53,Washington,043,Lincoln,1992,10,Wheat,Drought,4835.00,508.430200,4,66860.733334,652.600000
53,Washington,043,Lincoln,1992,10,Wheat,Freeze,0.00,174.963300,1,19436.000000,129.000000
53,Washington,043,Lincoln,1992,10,Wheat,"Wind/excess Wind",40175.00,1846.548600,4,412379.883333,3607.450000
53,Washington,043,Lincoln,1992,11,Wheat,Drought,568.00,70.485600,1,3612.400000,32.800000
53,Washington,043,Lincoln,1992,11,Wheat,"Wind/excess Wind",1194.00,143.747400,1,6490.600000,67.700000
53,Washington,043,Lincoln,1992,12,Wheat,Drought,22073.40,1439.089660,5,105109.500000,848.466667
53,Washington,043,Lincoln,1992,12,Wheat,"Failure Of Irrigation Supply",12694.00,86.710000,1,12694.000000,102.000000
53,Washington,043,Lincoln,1992,12,Wheat,Freeze,127.50,76.388175,1,5683.500000,72.000000
53,Washington,043,Lincoln,1992,12,Wheat,Frost,2053.60,74.451040,1,5958.800000,89.200000
53,Washington,043,Lincoln,1992,12,Wheat,"Poor Drainage",7312.00,59.940000,1,7312.000000,68.000000
53,Washington,043,Lincoln,1992,12,Wheat,"Wind/excess Wind",11451.70,837.865210,5,71714.216667,704.216667
53,Washington,043,Lincoln,1993,Unspecified,Wheat,"Cold Wet Weather",0.00,1000.281700,1,79173.500000,548.500000
53,Washington,043,Lincoln,1993,Unspecified,Wheat,"Cold Winter",0.00,836.539700,1,75559.500000,586.500000
53,Washington,043,Lincoln,1993,Unspecified,Wheat,Drought,0.00,3700.389700,1,249800.375000,1923.875000
53,Washington,043,Lincoln,1993,Unspecified,Wheat,Flood,0.00,33.350000,1,1691.000000,13.666667
53,Washington,043,Lincoln,1993,Unspecified,Wheat,Freeze,0.00,195.220900,1,30816.000000,185.500000
53,Washington,043,Lincoln,1993,Unspecified,Wheat,"Wind/excess Wind",0.00,912.365100,1,86559.500000,501.500000
53,Washington,043,Lincoln,1993,1,Wheat,"Cold Wet Weather",764.20,54.150388,1,7441.280000,52.800000
53,Washington,043,Lincoln,1993,1,Wheat,"Cold Winter",4598.60,446.374400,2,60978.600000,567.400000
53,Washington,043,Lincoln,1993,2,Wheat,Freeze,1066.00,118.440000,1,28879.000000,173.500000
53,Washington,043,Lincoln,1993,2,Wheat,"Wind/excess Wind",525.75,164.525000,2,12536.250000,161.250000
53,Washington,043,Lincoln,1993,3,Wheat,"Cold Wet Weather",2206.00,244.815000,1,79173.500000,548.500000
53,Washington,043,Lincoln,1993,3,Wheat,"Cold Winter",932.00,103.600000,1,20452.500000,129.000000
53,Washington,043,Lincoln,1993,3,Wheat,Drought,17800.00,169.850900,2,28533.000000,198.000000
53,Washington,043,Lincoln,1993,3,Wheat,Flood,150.00,16.675000,1,1691.000000,13.666667
53,Washington,043,Lincoln,1993,4,Wheat,"Cold Winter",6777.00,753.567200,1,214451.000000,1622.000000
53,Washington,043,Lincoln,1993,4,Wheat,Freeze,65.00,7.264500,1,1937.000000,12.000000
53,Washington,043,Lincoln,1993,5,Wheat,"Cold Winter",935.00,103.920000,1,37831.000000,261.000000
53,Washington,043,Lincoln,1993,5,Wheat,Frost,5886.40,185.900000,2,16886.200000,208.800000
53,Washington,043,Lincoln,1993,5,Wheat,"Plant Disease",629.40,42.240000,1,2516.400000,47.100000
53,Washington,043,Lincoln,1993,6,Wheat,"Cold Winter",399.00,44.365000,1,11851.000000,80.000000
53,Washington,043,Lincoln,1993,6,Wheat,Drought,10192.00,501.500000,1,60933.000000,383.000000
