State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
53,Washington,047,Okanogan,1997,4,Wheat,"Plant Disease",387.00,33.480000,1,3049.000000,86.000000
53,Washington,047,Okanogan,2001,8,Wheat,Drought,1430.00,140.010000,1,5889.000000,428.000000
53,Washington,047,Okanogan,2001,10,Wheat,Drought,2570.00,652.930000,1,60707.000000,2794.000000
53,Washington,047,Okanogan,2002,8,Wheat,Other,11413.00,745.760000,1,81831.000000,3660.000000
53,Washington,047,Okanogan,2002,9,Wheat,Drought,2597.00,243.720000,1,21514.000000,1563.000000
53,Washington,047,Okanogan,2003,6,Wheat,Drought,762.00,285.870000,1,5969.000000,558.000000
53,Washington,047,Okanogan,2003,7,Wheat,Drought,15819.00,328.040000,1,32257.000000,3999.000000
53,Washington,047,Okanogan,2003,8,Wheat,"Decline In Price",101.00,197.800000,1,32910.000000,2495.000000
53,Washington,047,Okanogan,2003,8,Wheat,Drought,1173.00,57.210000,1,3463.000000,283.000000
53,Washington,047,Okanogan,2004,7,Wheat,Drought,30551.00,917.510000,1,86086.000000,6719.000000
53,Washington,047,Okanogan,2006,3,Wheat,"Cold Winter",6955.00,640.500000,2,72028.000000,2498.000000
53,Washington,047,Okanogan,2006,6,Wheat,Heat,94.00,27.000000,1,1692.000000,111.000000
53,Washington,047,Okanogan,2006,10,Wheat,"Cold Wet Weather",15784.00,595.640000,3,50130.000000,2432.000000
53,Washington,047,Okanogan,2007,6,Wheat,Heat,111.00,319.800000,1,29059.000000,1654.000000
53,Washington,047,Okanogan,2008,5,Wheat,Drought,60193.00,1741.520000,1,292208.000000,10757.000000
53,Washington,047,Okanogan,2008,5,Wheat,Heat,41.00,70.760000,1,4958.000000,515.000000
53,Washington,047,Okanogan,2008,6,Wheat,Drought,3318.00,45.370000,1,6670.000000,285.000000
53,Washington,047,Okanogan,2009,6,Wheat,"Decline In Price",30775.00,258.960000,1,77479.000000,1933.000000
53,Washington,047,Okanogan,2009,6,Wheat,Drought,115807.00,784.080000,2,207221.000000,6515.000000
53,Washington,047,Okanogan,2009,7,Wheat,"Decline In Price",217920.00,2082.580000,1,595310.000000,18734.000000
53,Washington,047,Okanogan,2009,8,Wheat,Drought,434.00,112.200000,1,33648.000000,387.000000
53,Washington,047,Okanogan,2010,2,Wheat,"Cold Winter",9876.00,57.094000,1,10773.800000,344.600000
53,Washington,047,Okanogan,2010,11,Wheat,Drought,46888.00,561.476000,2,115541.200000,3620.400000
53,Washington,047,Okanogan,2011,2,Wheat,Frost,1495.00,52.500000,1,199958.000000,10865.000000
53,Washington,047,Okanogan,2011,3,Wheat,"Excess Moisture/precip/rain",5729.60,52.070000,1,5729.600000,392.200000
