State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
53,Washington,057,Skagit,1996,5,Wheat,"Excess Moisture/precip/rain",768.00,35.000000,1,777.000000,145.000000
53,Washington,057,Skagit,1997,6,Wheat,"Cold Wet Weather",55.00,13.700000,1,1328.000000,56.000000
53,Washington,057,Skagit,1997,8,Wheat,"Cold Wet Weather",1404.00,48.000000,1,3881.000000,189.000000
53,Washington,057,Skagit,1998,10,Wheat,"Excess Moisture/precip/rain",2237.00,70.500000,1,10552.000000,370.000000
53,Washington,057,Skagit,1999,10,Wheat,"Excess Moisture/precip/rain",24547.00,483.100000,1,118434.000000,5157.000000
53,Washington,057,Skagit,2000,4,Wheat,"Excess Moisture/precip/rain",32576.00,379.000000,2,88190.000000,4268.000000
53,Washington,057,Skagit,2000,5,Wheat,"Excess Moisture/precip/rain",5802.00,92.300000,1,21867.000000,931.000000
53,Washington,057,Skagit,2000,7,Wheat,"Excess Moisture/precip/rain",6764.00,83.000000,1,10039.000000,452.000000
53,Washington,057,Skagit,2002,5,Wheat,"Excess Moisture/precip/rain",10291.00,217.900000,1,41533.000000,3023.000000
53,Washington,057,Skagit,2003,5,Wheat,Heat,5558.00,86.800000,1,19499.000000,1525.000000
53,Washington,057,Skagit,2003,9,Wheat,Drought,5178.00,60.000000,1,10641.000000,812.000000
53,Washington,057,Skagit,2004,1,Wheat,Freeze,538.00,35.000000,1,3481.000000,276.000000
53,Washington,057,Skagit,2004,5,Wheat,"Excess Moisture/precip/rain",19960.00,227.000000,1,46917.000000,3542.000000
53,Washington,057,Skagit,2004,6,Wheat,Heat,1329.00,20.000000,1,2961.000000,140.000000
53,Washington,057,Skagit,2004,6,Wheat,Other,11540.00,207.900000,1,23795.000000,1722.000000
53,Washington,057,Skagit,2004,9,Wheat,"Excess Moisture/precip/rain",1194.00,18.900000,1,4086.000000,291.000000
53,Washington,057,Skagit,2004,9,Wheat,Other,2786.00,44.100000,1,9534.000000,679.000000
53,Washington,057,Skagit,2004,12,Wheat,Freeze,1951.00,127.000000,1,17069.000000,1215.000000
53,Washington,057,Skagit,2005,1,Wheat,"Cold Wet Weather",3241.00,20.000000,1,4154.000000,320.000000
53,Washington,057,Skagit,2005,2,Wheat,"Cold Wet Weather",7447.00,106.000000,1,24911.000000,1627.000000
53,Washington,057,Skagit,2005,5,Wheat,"Cold Wet Weather",11618.00,82.000000,1,18514.000000,1277.000000
53,Washington,057,Skagit,2005,5,Wheat,Heat,2573.00,30.000000,1,6048.000000,142.000000
53,Washington,057,Skagit,2007,1,Wheat,Freeze,4420.80,33.000000,1,7911.300000,852.300000
53,Washington,057,Skagit,2007,11,Wheat,"Excess Moisture/precip/rain",10315.20,77.000000,1,18459.700000,1988.700000
53,Washington,057,Skagit,2008,1,Wheat,"Cold Wet Weather",66865.00,219.170000,2,87742.000000,7768.000000
53,Washington,057,Skagit,2008,5,Wheat,"Cold Wet Weather",57925.00,308.600000,1,109405.000000,10448.000000
53,Washington,057,Skagit,2008,7,Wheat,"Cold Wet Weather",16982.00,60.000000,1,20616.000000,2046.000000
53,Washington,057,Skagit,2009,1,Wheat,"Excess Moisture/precip/rain",123014.13,226.530000,1,127572.470000,9146.990000
