State,"State name",County,"County name",Year,Month,"Commodity (partial list)","Cause of loss","Payment indemnity (US$)","Payment acreage","Payment count","Liability (US$)","Subsidy (US$)"
53,Washington,063,Spokane,1989,Unspecified,Wheat,"Cold Winter",2813.60,75.946080,1,10116.400000,80.800000
53,Washington,063,Spokane,1989,Unspecified,Wheat,Drought,1249.40,63.430420,1,7596.600000,69.200000
53,Washington,063,Spokane,1989,Unspecified,Wheat,"Excess Moisture/precip/rain",342.00,25.874100,1,1576.000000,39.000000
53,Washington,063,Spokane,1989,2,Wheat,"Cold Winter",807.00,104.200000,1,14787.000000,107.000000
53,Washington,063,Spokane,1989,2,Wheat,Drought,11870.00,492.080000,1,75556.000000,501.000000
53,Washington,063,Spokane,1989,2,Wheat,Freeze,11051.00,378.655300,1,46926.000000,363.000000
53,Washington,063,Spokane,1989,2,Wheat,Frost,2397.00,217.059600,1,20340.000000,236.000000
53,Washington,063,Spokane,1989,5,Wheat,Drought,426.00,18.648000,1,2098.000000,17.000000
53,Washington,063,Spokane,1989,6,Wheat,Drought,6368.00,1042.633000,1,143180.000000,1431.000000
53,Washington,063,Spokane,1989,7,Wheat,Drought,9229.00,279.600000,1,40932.000000,246.000000
53,Washington,063,Spokane,1989,8,Wheat,"Excess Moisture/precip/rain",11922.00,579.000000,1,95187.000000,666.000000
53,Washington,063,Spokane,1989,9,Wheat,"Cold Winter",12112.00,328.145000,1,40303.000000,362.000000
53,Washington,063,Spokane,1989,10,Wheat,Drought,6221.00,179.900000,1,24141.000000,131.000000
53,Washington,063,Spokane,1992,Unspecified,Wheat,Drought,0.00,301.893600,1,14263.400000,112.333333
53,Washington,063,Spokane,1992,Unspecified,Wheat,"Wind/excess Wind",0.00,223.800000,1,11545.666667,75.000000
53,Washington,063,Spokane,1992,4,Wheat,Frost,2220.30,122.507530,1,10025.500000,120.400000
53,Washington,063,Spokane,1992,5,Wheat,Drought,31125.70,1022.069970,4,86250.166667,731.599999
53,Washington,063,Spokane,1992,6,Wheat,Drought,1375.00,174.400000,1,29592.000000,164.000000
53,Washington,063,Spokane,1992,7,Wheat,Drought,10657.00,74.728800,1,67630.000000,406.000000
53,Washington,063,Spokane,1992,7,Wheat,Freeze,641.00,141.020000,1,23183.000000,138.000000
53,Washington,063,Spokane,1992,9,Wheat,Drought,1659.00,23.800000,1,33690.000000,184.000000
53,Washington,063,Spokane,1992,10,Wheat,Drought,6163.20,1001.446200,3,136460.400000,866.333333
53,Washington,063,Spokane,1992,10,Wheat,"Wind/excess Wind",2188.80,306.734000,3,28950.200000,199.333333
53,Washington,063,Spokane,1992,11,Wheat,"Wind/excess Wind",101.00,11.200000,1,684.666667,6.000000
53,Washington,063,Spokane,1993,5,Wheat,"Cold Winter",2272.13,88.669616,1,13965.980000,98.000000
53,Washington,063,Spokane,1993,6,Wheat,Drought,1585.60,64.226400,1,10208.800000,61.600000
53,Washington,063,Spokane,1993,8,Wheat,"Cold Winter",2364.87,92.288784,1,14536.020000,102.000000
53,Washington,063,Spokane,1993,8,Wheat,Insects,396.40,16.056600,1,2552.200000,15.400000
53,Washington,063,Spokane,1993,8,Wheat,"Wind/excess Wind",2972.00,120.300000,1,19122.000000,116.000000
53,Washington,063,Spokane,1994,3,Wheat,"Cold Winter",116.00,11.908500,1,2237.500000,16.000000
53,Washington,063,Spokane,1994,3,Wheat,"Excess Moisture/precip/rain",1725.00,205.087500,1,30700.000000,226.500000
53,Washington,063,Spokane,1994,4,Wheat,Drought,612.00,30.369600,1,3701.000000,36.000000
53,Washington,063,Spokane,1994,5,Wheat,"Cold Winter",154.00,15.984000,1,1653.500000,18.500000
53,Washington,063,Spokane,1994,6,Wheat,Drought,9423.00,333.494800,1,53513.000000,342.000000
53,Washington,063,Spokane,1994,6,Wheat,Heat,531.65,13.869450,1,810.215000,9.065000
53,Washington,063,Spokane,1994,7,Wheat,Drought,4666.00,119.505800,1,16161.000000,147.000000
53,Washington,063,Spokane,1994,8,Wheat,Drought,12018.35,721.726950,1,68850.785000,475.935000
53,Washington,063,Spokane,1995,Unspecified,Wheat,Freeze,0.00,42.220000,1,2892.500000,47.500000
53,Washington,063,Spokane,1995,2,Wheat,Freeze,89.00,8.880000,1,2892.500000,47.500000
53,Washington,063,Spokane,1995,5,Wheat,"Cold Wet Weather",1226.00,35.000000,1,2288.000000,85.000000
53,Washington,063,Spokane,1995,7,Wheat,Hail,4869.00,158.638300,1,7022.000000,221.000000
53,Washington,063,Spokane,1995,10,Wheat,Drought,435.00,32.448100,1,4728.000000,31.000000
53,Washington,063,Spokane,1996,4,Wheat,"Excess Moisture/precip/rain",948.00,27.200000,1,948.000000,66.000000
53,Washington,063,Spokane,1996,5,Wheat,"Excess Moisture/precip/rain",989.00,87.643800,1,989.000000,139.000000
53,Washington,063,Spokane,1996,6,Wheat,Heat,1283.00,64.474200,1,5332.000000,172.000000
53,Washington,063,Spokane,1996,11,Wheat,Heat,4461.00,189.651600,1,26041.000000,413.000000
53,Washington,063,Spokane,1997,2,Wheat,"Cold Wet Weather",4639.00,50.000000,1,7950.000000,119.000000
53,Washington,063,Spokane,1997,2,Wheat,"Cold Winter",517.00,44.755700,1,14139.000000,182.000000
53,Washington,063,Spokane,1997,3,Wheat,Flood,4422.00,61.700000,1,8196.000000,137.000000
53,Washington,063,Spokane,1997,4,Wheat,"Cold Wet Weather",131.00,11.360000,1,27140.000000,201.000000
53,Washington,063,Spokane,1997,4,Wheat,"Cold Winter",867.00,75.060000,1,69011.000000,518.000000
53,Washington,063,Spokane,1997,5,Wheat,"Cold Wet Weather",346.50,60.030000,1,12271.750000,96.000000
53,Washington,063,Spokane,1997,5,Wheat,"Excess Moisture/precip/rain",1039.50,180.090000,1,36815.250000,288.000000
53,Washington,063,Spokane,1997,5,Wheat,Hail,42025.00,234.000000,1,43243.000000,670.000000
53,Washington,063,Spokane,1997,8,Wheat,Frost,1941.00,106.800000,1,18176.000000,170.000000
53,Washington,063,Spokane,1998,7,Wheat,Heat,11.00,71.168900,1,13657.000000,107.000000
53,Washington,063,Spokane,1998,8,Wheat,"Decline In Price",1482.00,38.152400,1,15871.000000,235.000000
53,Washington,063,Spokane,1998,9,Wheat,"Decline In Price",1258.00,43.476000,1,11750.000000,136.000000
53,Washington,063,Spokane,1999,Unspecified,Wheat,"Cold Wet Weather",-2658.60,45.780000,2,12447.600000,297.600000
53,Washington,063,Spokane,1999,1,Wheat,"Cold Winter",1205.40,33.675250,1,4392.850000,145.040000
53,Washington,063,Spokane,1999,1,Wheat,Drought,4211.00,65.000000,1,3570.000000,119.500000
53,Washington,063,Spokane,1999,1,Wheat,Freeze,382.00,37.600000,1,3570.000000,119.500000
53,Washington,063,Spokane,1999,2,Wheat,"Cold Wet Weather",4339.00,231.315600,1,34173.000000,628.000000
53,Washington,063,Spokane,1999,2,Wheat,Freeze,4460.00,498.705400,2,85664.000000,2219.000000
53,Washington,063,Spokane,1999,3,Wheat,"Cold Wet Weather",3205.80,249.000000,1,6223.800000,148.800000
53,Washington,063,Spokane,1999,3,Wheat,Freeze,31725.00,1453.673600,5,447540.000000,10074.000000
53,Washington,063,Spokane,1999,5,Wheat,"Cold Wet Weather",2127.00,101.000000,1,18764.000000,275.000000
53,Washington,063,Spokane,1999,5,Wheat,Frost,3702.93,114.111690,2,17264.660000,580.160000
53,Washington,063,Spokane,1999,6,Wheat,Drought,1015.00,617.673000,1,121280.000000,2135.000000
53,Washington,063,Spokane,1999,7,Wheat,Drought,1865.80,288.827600,3,19326.400000,422.400000
53,Washington,063,Spokane,1999,8,Wheat,"Cold Wet Weather",9638.44,277.564046,1,38291.660000,1351.600000
53,Washington,063,Spokane,1999,8,Wheat,"Decline In Price",326.00,69.167900,1,6257.000000,382.000000
53,Washington,063,Spokane,1999,9,Wheat,"Cold Wet Weather",210.63,12.023964,1,2380.680000,63.240000
53,Washington,063,Spokane,1999,9,Wheat,"Cold Winter",2076.00,25.670000,1,2608.000000,76.000000
53,Washington,063,Spokane,1999,9,Wheat,"Decline In Price",2647.00,987.600000,1,198006.000000,3816.000000
53,Washington,063,Spokane,1999,9,Wheat,Drought,28345.00,394.506200,2,51095.000000,1630.000000
53,Washington,063,Spokane,1999,10,Wheat,Drought,3085.00,110.000000,1,13893.000000,563.000000
53,Washington,063,Spokane,1999,11,Wheat,Drought,2634.60,110.049750,1,18135.150000,472.960000
53,Washington,063,Spokane,1999,12,Wheat,Freeze,59238.00,487.911200,3,201688.000000,4907.000000
53,Washington,063,Spokane,2000,3,Wheat,Other,4980.00,266.666600,1,37368.000000,737.000000
53,Washington,063,Spokane,2000,6,Wheat,Drought,21080.00,951.024080,3,118487.400000,3596.400000
53,Washington,063,Spokane,2000,7,Wheat,Drought,696.00,13.600000,1,1799.000000,49.000000
53,Washington,063,Spokane,2000,9,Wheat,"Decline In Price",9627.00,386.233020,1,49018.600000,1723.600000
53,Washington,063,Spokane,2000,9,Wheat,Drought,5263.00,68.800000,1,11378.000000,248.000000
53,Washington,063,Spokane,2000,10,Wheat,Other,5177.00,501.500000,1,72023.000000,2334.000000
53,Washington,063,Spokane,2001,1,Wheat,Drought,83.00,111.000000,1,2992.000000,114.000000
53,Washington,063,Spokane,2001,3,Wheat,"Cold Winter",229.20,27.204000,1,33180.600000,738.600000
53,Washington,063,Spokane,2001,3,Wheat,Frost,152.80,18.136000,1,22120.400000,492.400000
53,Washington,063,Spokane,2001,3,Wheat,"Plant Disease",189.00,18.540000,1,1085.000000,57.000000
53,Washington,063,Spokane,2001,5,Wheat,"Decline In Price",3239.00,83.960000,1,11306.000000,535.000000
53,Washington,063,Spokane,2001,5,Wheat,Drought,23653.60,820.990000,2,112166.000000,4033.800000
53,Washington,063,Spokane,2001,5,Wheat,Frost,7318.20,121.026000,1,19601.700000,843.300000
53,Washington,063,Spokane,2001,6,Wheat,Drought,41655.80,880.594000,2,140461.300000,6036.700000
53,Washington,063,Spokane,2001,6,Wheat,Heat,28.40,6.400000,1,552.000000,29.200000
53,Washington,063,Spokane,2001,11,Wheat,Drought,9033.00,650.180000,2,76790.000000,2060.000000
53,Washington,063,Spokane,2002,4,Wheat,Freeze,2431.50,28.890000,2,6032.100000,250.500000
53,Washington,063,Spokane,2002,5,Wheat,Drought,3797.00,40.000000,1,4637.000000,158.000000
53,Washington,063,Spokane,2002,5,Wheat,"Plant Disease",5673.50,67.410000,2,14074.900000,584.500000
53,Washington,063,Spokane,2002,6,Wheat,Drought,18059.40,956.366000,2,123723.000000,6058.600000
53,Washington,063,Spokane,2002,6,Wheat,Frost,19131.20,435.410000,2,54896.400000,3589.000000
53,Washington,063,Spokane,2002,7,Wheat,Drought,2148.80,161.370000,2,20925.000000,935.800000
53,Washington,063,Spokane,2002,7,Wheat,Heat,7873.60,139.484000,1,19621.600000,1241.600000
53,Washington,063,Spokane,2002,9,Wheat,Drought,1130.50,113.300000,2,10334.000000,910.000000
53,Washington,063,Spokane,2002,9,Wheat,Frost,470.50,78.270000,1,7763.000000,679.000000
53,Washington,063,Spokane,2002,11,Wheat,Frost,5715.00,123.120000,1,13045.000000,446.000000
53,Washington,063,Spokane,2002,12,Wheat,Drought,5555.00,436.290000,1,49694.000000,2137.000000
53,Washington,063,Spokane,2003,5,Wheat,Drought,1588.10,110.042000,1,14792.400000,1222.200000
53,Washington,063,Spokane,2003,6,Wheat,Drought,76260.50,2457.697000,2,397533.600000,19031.800000
53,Washington,063,Spokane,2003,6,Wheat,Heat,285.90,36.018000,1,5058.600000,385.800000
