Lincoln County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,46.2,-0.8
199012,47.8,0.8
199112,47.2,0.2
199212,48.7,1.7
199312,44.9,-2.1
199412,48.5,1.5
199512,47.6,0.6
199612,45.0,-2.0
199712,46.8,-0.2
199812,49.2,2.2
199912,47.5,0.5
200012,45.6,-1.4
200112,46.5,-0.5
200212,46.9,-0.1
200312,48.2,1.2
200412,48.2,1.2
200512,47.0,0.0
200612,47.7,0.7
200712,46.9,-0.1
200812,45.2,-1.8
200912,45.9,-1.1
201012,47.2,0.2
201112,45.2,-1.8
201212,47.5,0.5
201312,46.3,-0.7
201412,47.8,0.8
201512,49.6,2.6
201612,48.2,1.2
201712,45.9,-1.1
201812,47.3,0.3
201912,45.3,-1.7
