Lincoln County, Washington, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,11.57,-1.54
199012,12.89,-0.22
199112,12.52,-0.59
199212,11.46,-1.65
199312,13.90,0.79
199412,11.56,-1.55
199512,17.29,4.18
199612,19.54,6.43
199712,14.10,0.99
199812,15.97,2.86
199912,11.96,-1.15
200012,13.14,0.03
200112,11.70,-1.41
200212,9.43,-3.68
200312,11.58,-1.53
200412,10.67,-2.44
200512,13.82,0.71
200612,16.13,3.02
200712,9.85,-3.26
200812,9.07,-4.04
200912,11.25,-1.86
201012,16.58,3.47
201112,10.26,-2.85
201212,17.66,4.55
201312,9.85,-3.26
201412,12.55,-0.56
201512,12.34,-0.77
201612,17.40,4.29
201712,16.29,3.18
201812,13.23,0.12
201912,10.94,-2.17
