Okanogan County, Washington, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,19.75,-3.53
199012,28.10,4.82
199112,21.18,-2.10
199212,22.29,-0.99
199312,22.01,-1.27
199412,22.65,-0.63
199512,28.95,5.67
199612,28.67,5.39
199712,24.47,1.19
199812,31.27,7.99
199912,24.89,1.61
200012,16.40,-6.88
200112,18.95,-4.33
200212,18.40,-4.88
200312,21.52,-1.76
200412,20.30,-2.98
200512,20.49,-2.79
200612,29.96,6.68
200712,19.20,-4.08
200812,19.46,-3.82
200912,19.20,-4.08
201012,26.66,3.38
201112,23.97,0.69
201212,29.96,6.68
201312,20.15,-3.13
201412,26.72,3.44
201512,21.13,-2.15
201612,27.43,4.15
201712,25.29,2.01
201812,22.65,-0.63
201912,19.53,-3.75
