Washington, Palmer Drought Severity Index (PDSI)
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,-1.65,-1.49
198902,-2.06,-1.71
198903,-1.17,-0.97
198904,-1.19,-1.57
198905,-0.77,-0.94
198906,-1.17,-1.30
198907,-1.18,-1.25
198908,-0.78,-0.57
198909,-1.53,-0.86
198910,-1.66,-1.38
198911,-1.52,-1.46
198912,-2.44,-2.25
199001,0.86,1.02
199002,1.25,1.60
199003,0.39,0.59
199004,0.19,-0.19
199005,0.77,0.60
199006,1.21,1.08
199007,1.54,1.47
199008,1.87,2.08
199009,0.70,1.37
199010,1.55,1.83
199011,2.45,2.51
199012,1.77,1.96
199101,1.18,1.34
199102,1.00,1.35
199103,0.91,1.11
199104,1.66,1.28
199105,1.89,1.72
199106,2.15,2.02
199107,2.28,2.21
199108,2.57,2.78
199109,-0.90,-0.23
199110,-1.61,-1.33
199111,-1.03,-0.97
199112,-1.74,-1.55
199201,-1.35,-1.19
199202,-1.75,-1.40
199203,-3.17,-2.97
199204,-2.46,-2.84
199205,-3.18,-3.35
199206,-3.22,-3.35
199207,-2.91,-2.98
199208,-2.93,-2.72
199209,-2.51,-1.84
199210,-2.85,-2.57
199211,-2.58,-2.52
199212,-2.84,-2.65
199301,-3.12,-2.96
199302,-4.16,-3.81
199303,-3.87,-3.67
199304,1.10,0.72
199305,1.15,0.98
199306,1.53,1.40
199307,2.72,2.65
199308,2.94,3.15
199309,-0.70,-0.03
199310,-1.43,-1.15
199311,-2.34,-2.28
199312,-2.38,-2.19
199401,-2.81,-2.65
199402,-2.27,-1.92
199403,-2.62,-2.42
199404,-2.50,-2.88
199405,-2.42,-2.59
199406,-2.05,-2.18
199407,-2.06,-2.13
199408,-2.41,-2.20
199409,-2.64,-1.97
199410,0.56,0.84
199411,0.99,1.05
199412,1.26,1.45
199501,1.22,1.38
199502,0.98,1.33
199503,1.16,1.36
199504,1.16,0.78
199505,0.59,0.42
199506,0.56,0.43
199507,0.61,0.54
199508,0.91,1.12
199509,0.70,1.37
199510,1.14,1.42
199511,2.54,2.60
199512,2.42,2.61
199601,2.41,2.57
199602,3.30,3.65
199603,2.08,2.28
199604,3.10,2.72
199605,3.59,3.42
199606,2.93,2.80
199607,2.55,2.48
199608,1.91,2.12
199609,1.84,2.51
199610,2.40,2.68
199611,2.54,2.60
199612,3.98,4.17
199701,3.98,4.14
199702,3.19,3.54
199703,4.43,4.63
199704,4.58,4.20
199705,4.25,4.08
199706,4.37,4.24
199707,4.79,4.72
199708,4.60,4.81
199709,5.04,5.71
199710,5.85,6.13
199711,-0.47,-0.41
199712,-1.25,-1.06
199801,-0.50,-0.34
199802,-0.60,-0.25
199803,-0.76,-0.56
199804,-1.29,-1.67
199805,-0.50,-0.67
199806,-0.58,-0.71
199807,-0.36,-0.43
199808,-0.97,-0.76
199809,-1.72,-1.05
199810,-2.02,-1.74
199811,1.12,1.18
199812,2.17,2.36
199901,2.32,2.48
199902,3.93,4.28
199903,3.59,3.79
199904,2.66,2.28
199905,2.70,2.53
199906,2.52,2.39
199907,2.62,2.55
199908,2.62,2.83
199909,-0.74,-0.07
199910,-0.77,-0.49
199911,-0.13,-0.07
199912,-0.02,0.17
200001,-0.01,0.15
200002,-0.22,0.13
200003,-0.38,-0.18
200004,-0.74,-1.12
200005,0.46,0.29
200006,0.56,0.43
200007,0.65,0.58
200008,-0.33,-0.12
200009,-0.27,0.40
200010,-0.57,-0.29
200011,-1.33,-1.27
200012,-2.30,-2.11
200101,-2.97,-2.81
200102,-3.58,-3.23
200103,-3.59,-3.39
200104,0.28,-0.10
200105,0.06,-0.11
200106,0.42,0.29
200107,0.48,0.41
200108,0.62,0.83
200109,-0.64,0.03
200110,0.31,0.59
200111,0.74,0.80
200112,1.01,1.20
200201,1.25,1.41
200202,0.93,1.28
200203,1.01,1.21
200204,1.11,0.73
200205,0.02,-0.15
200206,-0.08,-0.21
200207,-0.29,-0.36
200208,-0.82,-0.61
200209,-1.35,-0.68
200210,-2.40,-2.12
200211,-2.96,-2.90
200212,0.17,0.36
200301,0.70,0.86
200302,-0.86,-0.51
200303,1.00,1.20
200304,1.39,1.01
200305,-0.31,-0.48
200306,-1.10,-1.23
200307,-2.08,-2.15
200308,-2.74,-2.53
200309,-2.99,-2.32
200310,-2.00,-1.72
200311,-1.58,-1.52
200312,-1.80,-1.61
200401,-1.58,-1.42
200402,-2.02,-1.67
200403,-2.45,-2.25
200404,-3.08,-3.46
200405,-2.44,-2.61
200406,-2.39,-2.52
200407,-2.57,-2.64
200408,-1.39,-1.18
200409,-0.80,-0.13
200410,-0.76,-0.48
200411,-1.39,-1.33
200412,-1.89,-1.70
200501,-2.13,-1.97
200502,-3.29,-2.94
200503,-3.11,-2.91
200504,0.18,-0.20
200505,0.72,0.55
200506,0.80,0.67
200507,1.12,1.05
200508,0.74,0.95
200509,0.52,1.19
200510,0.53,0.81
200511,0.35,0.41
200512,0.34,0.53
200601,1.89,2.05
200602,-0.39,-0.04
200603,-0.70,-0.50
200604,-0.62,-1.00
200605,-0.53,-0.70
200606,-0.36,-0.49
200607,-0.58,-0.65
200608,-1.21,-1.00
200609,-1.58,-0.91
200610,-2.24,-1.96
200611,2.24,2.30
200612,2.08,2.27
200701,-0.28,-0.12
200702,-0.35,0.00
200703,-0.08,0.12
200704,-0.39,-0.77
200705,-0.77,-0.94
200706,-0.85,-0.98
200707,-0.94,-1.01
200708,-1.20,-0.99
200709,-1.35,-0.68
200710,-1.13,-0.85
200711,-1.61,-1.55
