Skagit County, Washington, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,73.26,-6.90
199012,104.22,24.06
199112,73.86,-6.30
199212,68.63,-11.53
199312,58.99,-21.17
199412,73.63,-6.53
199512,86.86,6.70
199612,91.43,11.27
199712,98.57,18.41
199812,79.50,-0.66
199912,95.20,15.04
200012,63.94,-16.22
200112,73.31,-6.85
200212,69.86,-10.30
200312,84.47,4.31
200412,73.86,-6.30
200512,65.75,-14.41
200612,85.31,5.15
200712,77.55,-2.61
200812,72.21,-7.95
200912,79.16,-1.00
201012,76.64,-3.52
201112,86.73,6.57
201212,95.69,15.53
201312,74.61,-5.55
201412,100.11,19.95
201512,84.32,4.16
201612,88.30,8.14
201712,84.94,4.78
201812,83.84,3.68
201912,60.09,-20.07
