Spokane County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,46.0,-1.0
199012,47.0,0.0
199112,46.7,-0.3
199212,48.4,1.4
199312,44.7,-2.3
199412,48.0,1.0
199512,47.0,0.0
199612,44.8,-2.2
199712,46.9,-0.1
199812,49.0,2.0
199912,47.0,0.0
200012,45.6,-1.4
200112,46.6,-0.4
200212,46.3,-0.7
200312,48.0,1.0
200412,47.9,0.9
200512,46.7,-0.3
200612,47.8,0.8
200712,46.9,-0.1
200812,45.4,-1.6
200912,46.0,-1.0
201012,47.1,0.1
201112,45.5,-1.5
201212,47.7,0.7
201312,46.9,-0.1
201412,48.0,1.0
201512,50.2,3.2
201612,48.9,1.9
201712,46.9,-0.1
201812,48.0,1.0
201912,46.1,-0.9
