Whitman County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,48.2,-1.1
199012,49.4,0.1
199112,48.9,-0.4
199212,50.6,1.3
199312,47.1,-2.2
199412,50.3,1.0
199512,49.3,0.0
199612,47.6,-1.7
199712,49.4,0.1
199812,51.1,1.8
199912,49.5,0.2
200012,47.9,-1.4
200112,49.2,-0.1
200212,48.6,-0.7
200312,50.6,1.3
200412,50.1,0.8
200512,49.1,-0.2
200612,49.9,0.6
200712,49.0,-0.3
200812,48.0,-1.3
200912,48.3,-1.0
201012,49.4,0.1
201112,47.9,-1.4
201212,49.8,0.5
201312,48.7,-0.6
201412,50.3,1.0
201512,52.0,2.7
201612,50.7,1.4
201712,49.1,-0.2
201812,49.9,0.6
201912,47.8,-1.5
