Whitman County, Washington, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,16.95,-0.77
199012,17.43,-0.29
199112,16.32,-1.40
199212,14.80,-2.92
199312,16.60,-1.12
199412,16.38,-1.34
199512,21.54,3.82
199612,25.37,7.65
199712,19.00,1.28
199812,19.60,1.88
199912,15.86,-1.86
200012,16.99,-0.73
200112,16.09,-1.63
200212,13.38,-4.34
200312,17.62,-0.10
200412,16.92,-0.80
200512,15.14,-2.58
200612,19.70,1.98
200712,15.80,-1.92
200812,15.97,-1.75
200912,18.32,0.60
201012,19.70,1.98
201112,18.04,0.32
201212,23.94,6.22
201312,14.75,-2.97
201412,18.22,0.50
201512,16.73,-0.99
201612,20.26,2.54
201712,21.83,4.11
201812,15.33,-2.39
201912,14.87,-2.85
