Lincoln County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189512,44.7,-2.3
189612,45.3,-1.7
189712,44.8,-2.2
189812,44.9,-2.1
189912,44.5,-2.5
190012,46.8,-0.2
190112,45.9,-1.1
190212,44.7,-2.3
190312,44.8,-2.2
190412,47.0,0.0
190512,45.6,-1.4
190612,46.5,-0.5
190712,45.0,-2.0
190812,46.3,-0.7
190912,45.0,-2.0
191012,47.1,0.1
191112,45.3,-1.7
191212,45.8,-1.2
191312,44.7,-2.3
191412,47.0,0.0
191512,47.4,0.4
191612,43.0,-4.0
191712,45.3,-1.7
191812,48.0,1.0
191912,45.5,-1.5
192012,46.3,-0.7
192112,46.3,-0.7
192212,44.5,-2.5
192312,47.0,0.0
192412,46.9,-0.1
192512,48.5,1.5
192612,48.3,1.3
192712,45.5,-1.5
192812,46.7,-0.3
192912,44.3,-2.7
193012,45.8,-1.2
193112,46.8,-0.2
193212,45.7,-1.3
193312,45.9,-1.1
193412,49.8,2.8
193512,45.8,-1.2
193612,46.3,-0.7
193712,45.6,-1.4
193812,47.9,0.9
193912,48.1,1.1
194012,48.6,1.6
194112,48.1,1.1
194212,46.2,-0.8
194312,45.4,-1.6
194412,47.0,0.0
194512,46.7,-0.3
194612,46.3,-0.7
194712,47.3,0.3
194812,44.4,-2.6
194912,44.7,-2.3
195012,44.2,-2.8
195112,45.2,-1.8
195212,46.4,-0.6
195312,47.7,0.7
195412,45.2,-1.8
195512,43.4,-3.6
195612,45.5,-1.5
195712,45.4,-1.6
195812,49.2,2.2
195912,45.2,-1.8
196012,45.7,-1.3
196112,47.2,0.2
196212,46.1,-0.9
196312,46.9,-0.1
196412,44.8,-2.2
196512,46.8,-0.2
196612,47.2,0.2
196712,47.9,0.9
196812,46.6,-0.4
196912,45.0,-2.0
197012,46.1,-0.9
197112,45.5,-1.5
197212,45.2,-1.8
197312,47.0,0.0
197412,47.1,0.1
197512,45.0,-2.0
197612,46.0,-1.0
197712,46.2,-0.8
197812,45.4,-1.6
197912,46.1,-0.9
198012,46.0,-1.0
198112,47.2,0.2
198212,45.3,-1.7
198312,46.9,-0.1
198412,44.9,-2.1
198512,42.9,-4.1
198612,47.0,0.0
198712,48.5,1.5
198812,47.2,0.2
198912,46.2,-0.8
199012,47.8,0.8
199112,47.2,0.2
199212,48.7,1.7
199312,44.9,-2.1
199412,48.5,1.5
199512,47.6,0.6
199612,45.0,-2.0
199712,46.8,-0.2
199812,49.2,2.2
199912,47.5,0.5
200012,45.6,-1.4
200112,46.5,-0.5
200212,46.9,-0.1
200312,48.2,1.2
200412,48.2,1.2
200512,47.0,0.0
200612,47.7,0.7
200712,46.9,-0.1
200812,45.2,-1.8
200912,45.9,-1.1
201012,47.2,0.2
201112,45.2,-1.8
201212,47.5,0.5
201312,46.3,-0.7
201412,47.8,0.8
201512,49.6,2.6
201612,48.2,1.2
201712,45.9,-1.1
201812,47.3,0.3
201912,45.3,-1.7
