Lincoln County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,20.6,-1.3
198902,14.6,-9.0
198903,27.3,-1.4
198904,36.2,2.8
198905,39.3,-1.1
198906,48.8,2.8
198907,49.2,-2.5
198908,49.1,-1.7
198909,42.6,-1.0
198910,33.5,-0.3
198911,30.0,2.8
198912,25.0,3.7
199001,27.1,5.2
199002,20.4,-3.2
199003,29.3,0.6
199004,36.3,2.9
199005,39.8,-0.6
199006,46.1,0.1
199007,54.7,3.0
199008,54.0,3.2
199009,46.7,3.1
199010,32.6,-1.2
199011,30.0,2.8
199012,13.8,-7.5
199101,17.6,-4.3
199102,30.8,7.2
199103,27.4,-1.3
199104,32.6,-0.8
199105,39.2,-1.2
199106,42.8,-3.2
199107,50.9,-0.8
199108,53.2,2.4
199109,44.7,1.1
199110,30.5,-3.3
199111,28.7,1.5
199112,27.1,5.8
199201,26.2,4.3
199202,31.9,8.3
199203,32.1,3.4
199204,35.2,1.8
199205,40.5,0.1
199206,51.3,5.3
199207,52.5,0.8
199208,50.4,-0.4
199209,40.6,-3.0
199210,35.4,1.6
199211,28.9,1.7
199212,14.6,-6.7
199301,12.8,-9.1
199302,16.9,-6.7
199303,28.3,-0.4
199304,34.8,1.4
199305,46.1,5.7
199306,45.8,-0.2
199307,49.1,-2.6
199308,48.8,-2.0
199309,42.5,-1.1
199310,35.3,1.5
199311,17.8,-9.4
199312,26.3,5.0
199401,29.0,7.1
199402,22.6,-1.0
199403,29.2,0.5
199404,36.5,3.1
199405,41.7,1.3
199406,43.9,-2.1
199407,53.6,1.9
199408,50.7,-0.1
199409,45.8,2.2
199410,33.8,0.0
199411,25.0,-2.2
199412,24.6,3.3
199501,24.1,2.2
199502,28.2,4.6
199503,29.2,0.5
199504,32.9,-0.5
199505,41.8,1.4
199506,47.0,1.0
199507,51.6,-0.1
199508,45.7,-5.1
199509,46.4,2.8
199510,32.6,-1.2
199511,29.8,2.6
199512,23.4,2.1
199601,18.2,-3.7
199602,20.4,-3.2
199603,27.4,-1.3
199604,34.7,1.3
199605,36.9,-3.5
199606,44.1,-1.9
199607,52.2,0.5
199608,49.9,-0.9
199609,39.6,-4.0
199610,34.8,1.0
199611,25.8,-1.4
199612,16.5,-4.8
199701,20.0,-1.9
199702,22.7,-0.9
199703,30.1,1.4
199704,31.5,-1.9
199705,43.1,2.7
199706,45.8,-0.2
199707,50.3,-1.4
199708,53.4,2.6
199709,46.9,3.3
199710,33.8,0.0
199711,28.7,1.5
199712,22.2,0.9
199801,23.5,1.6
199802,30.2,6.6
199803,30.6,1.9
199804,33.3,-0.1
199805,42.5,2.1
199806,47.3,1.3
199807,57.0,5.3
199808,52.0,1.2
199809,46.8,3.2
199810,33.4,-0.4
199811,32.6,5.4
199812,21.7,0.4
199901,26.0,4.1
199902,27.8,4.2
199903,29.5,0.8
199904,30.2,-3.2
199905,35.6,-4.8
199906,44.6,-1.4
199907,47.8,-3.9
199908,53.9,3.1
199909,40.6,-3.0
199910,32.6,-1.2
199911,33.1,5.9
199912,26.9,5.6
200001,21.2,-0.7
200002,26.6,3.0
200003,29.4,0.7
200004,35.1,1.7
200005,39.7,-0.7
200006,45.8,-0.2
200007,49.4,-2.3
200008,47.2,-3.6
200009,41.3,-2.3
200010,33.2,-0.6
200011,20.2,-7.0
200012,19.0,-2.3
200101,20.7,-1.2
200102,19.6,-4.0
200103,27.5,-1.2
200104,32.2,-1.2
200105,38.8,-1.6
200106,43.0,-3.0
200107,49.8,-1.9
200108,52.3,1.5
200109,45.3,1.7
200110,33.3,-0.5
200111,32.2,5.0
200112,21.9,0.6
200201,24.4,2.5
200202,23.9,0.3
200203,26.0,-2.7
200204,32.4,-1.0
200205,38.1,-2.3
200206,46.3,0.3
200207,52.6,0.9
200208,48.6,-2.2
200209,41.6,-2.0
200210,27.2,-6.6
200211,27.3,0.1
200212,28.7,7.4
200301,28.2,6.3
200302,25.3,1.7
200303,30.6,1.9
200304,33.9,0.5
200305,39.5,-0.9
200306,47.3,1.3
200307,51.0,-0.7
200308,51.0,0.2
200309,45.2,1.6
200310,37.4,3.6
200311,19.6,-7.6
200312,23.7,2.4
200401,19.8,-2.1
200402,24.3,0.7
200403,30.8,2.1
200404,34.5,1.1
200405,40.5,0.1
200406,47.6,1.6
200407,53.9,2.2
200408,54.4,3.6
200409,43.1,-0.5
200410,35.9,2.1
200411,27.0,-0.2
200412,25.6,4.3
200501,19.9,-2.0
200502,22.3,-1.3
200503,29.6,0.9
200504,34.0,0.6
200505,43.5,3.1
200506,45.8,-0.2
200507,51.5,-0.2
200508,49.6,-1.2
200509,41.1,-2.5
200510,37.9,4.1
200511,26.5,-0.7
200512,17.4,-3.9
200601,28.9,7.0
200602,22.3,-1.3
200603,29.1,0.4
200604,35.2,1.8
200605,40.6,0.2
200606,47.5,1.5
200607,52.9,1.2
200608,48.3,-2.5
200609,42.7,-0.9
200610,32.4,-1.4
200611,26.9,-0.3
200612,20.9,-0.4
200701,17.0,-4.9
200702,27.8,4.2
200703,30.7,2.0
200704,32.4,-1.0
200705,39.4,-1.0
200706,45.9,-0.1
200707,55.3,3.6
200708,49.5,-1.3
200709,41.3,-2.3
200710,33.6,-0.2
200711,25.4,-1.8
200712,20.6,-0.7
200801,14.4,-7.5
200802,22.7,-0.9
200803,26.3,-2.4
200804,28.4,-5.0
200805,41.3,0.9
200806,43.2,-2.8
