Lincoln County, Washington, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.61,-0.90
198902,1.06,-0.01
198903,2.24,0.85
198904,1.08,-0.01
198905,2.25,0.99
198906,0.20,-0.81
198907,0.43,-0.06
198908,1.14,0.76
198909,0.05,-0.36
198910,0.87,-0.27
198911,1.20,-0.36
198912,0.44,-1.40
199001,1.47,-0.04
199002,0.87,-0.20
199003,0.40,-0.99
199004,1.04,-0.05
199005,1.73,0.47
199006,1.20,0.19
199007,1.43,0.94
199008,1.07,0.69
199009,0.01,-0.40
199010,2.01,0.87
199011,0.30,-1.26
199012,1.36,-0.48
199101,1.03,-0.48
199102,0.61,-0.46
199103,1.67,0.28
199104,0.88,-0.21
199105,1.77,0.51
199106,1.44,0.43
199107,0.51,0.02
199108,0.73,0.35
199109,0.05,-0.36
199110,0.41,-0.73
199111,2.49,0.93
199112,0.93,-0.91
199201,1.43,-0.08
199202,0.99,-0.08
199203,0.42,-0.97
199204,0.94,-0.15
199205,0.18,-1.08
199206,0.85,-0.16
199207,1.77,1.28
199208,0.17,-0.21
199209,0.16,-0.25
199210,0.77,-0.37
199211,2.28,0.72
199212,1.50,-0.34
199301,1.26,-0.25
199302,0.77,-0.30
199303,1.11,-0.28
199304,2.35,1.26
199305,1.05,-0.21
199306,0.93,-0.08
199307,2.79,2.30
199308,0.45,0.07
199309,0.30,-0.11
199310,0.19,-0.95
199311,0.38,-1.18
199312,2.32,0.48
199401,1.11,-0.40
199402,0.59,-0.48
199403,0.30,-1.09
199404,1.28,0.19
199405,1.71,0.45
199406,0.67,-0.34
199407,0.05,-0.44
199408,0.08,-0.30
199409,0.20,-0.21
199410,1.81,0.67
199411,1.73,0.17
199412,2.03,0.19
199501,2.94,1.43
199502,0.98,-0.09
199503,2.78,1.39
199504,0.67,-0.42
199505,0.89,-0.37
199506,1.86,0.85
199507,0.48,-0.01
199508,0.36,-0.02
199509,1.14,0.73
199510,1.21,0.07
199511,1.72,0.16
199512,2.26,0.42
199601,1.90,0.39
