Okanogan County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,24.4,-0.4
198902,19.6,-7.9
198903,31.1,-3.2
198904,44.0,2.3
198905,48.6,-1.4
198906,58.2,2.3
198907,62.4,-1.5
198908,60.0,-3.5
198909,55.8,0.2
198910,42.4,-0.3
198911,33.6,2.3
198912,28.2,4.5
199001,28.1,3.3
199002,24.4,-3.1
199003,35.8,1.5
199004,45.1,3.4
199005,46.9,-3.1
199006,54.3,-1.6
199007,64.8,0.9
199008,63.9,0.4
199009,60.0,4.4
199010,39.7,-3.0
199011,33.4,2.1
199012,16.3,-7.4
199101,20.5,-4.3
199102,34.8,7.3
199103,32.2,-2.1
199104,41.5,-0.2
199105,47.9,-2.1
199106,52.4,-3.5
199107,62.8,-1.1
199108,64.0,0.5
199109,58.3,2.7
199110,42.0,-0.7
199111,30.6,-0.7
199112,27.8,4.1
199201,27.4,2.6
199202,33.5,6.0
199203,40.8,6.5
199204,43.4,1.7
199205,53.0,3.0
199206,62.0,6.1
199207,61.4,-2.5
199208,62.8,-0.7
199209,52.1,-3.5
199210,44.0,1.3
199211,30.4,-0.9
199212,18.2,-5.5
199301,16.8,-8.0
199302,23.6,-3.9
199303,32.9,-1.4
199304,39.7,-2.0
199305,54.9,4.9
199306,54.0,-1.9
199307,56.0,-7.9
199308,59.9,-3.6
199309,55.5,-0.1
199310,46.2,3.5
199311,26.9,-4.4
199312,25.9,2.2
199401,30.1,5.3
199402,24.9,-2.6
199403,37.2,2.9
199404,45.0,3.3
199405,51.2,1.2
199406,54.6,-1.3
199407,66.8,2.9
199408,63.4,-0.1
199409,59.2,3.6
199410,43.0,0.3
199411,25.6,-5.7
199412,23.8,0.1
199501,25.0,0.2
199502,31.0,3.5
199503,33.4,-0.9
199504,40.7,-1.0
199505,52.2,2.2
199506,55.8,-0.1
199507,62.6,-1.3
199508,57.1,-6.4
199509,58.5,2.9
199510,41.0,-1.7
199511,32.6,1.3
199512,24.4,0.7
199601,19.8,-5.0
199602,24.4,-3.1
199603,32.7,-1.6
199604,41.4,-0.3
199605,45.0,-5.0
199606,54.3,-1.6
199607,64.5,0.6
199608,63.2,-0.3
199609,51.8,-3.8
199610,40.5,-2.2
199611,28.4,-2.9
199612,18.2,-5.5
199701,22.7,-2.1
199702,26.4,-1.1
199703,31.9,-2.4
199704,39.2,-2.5
199705,50.8,0.8
199706,53.6,-2.3
199707,60.5,-3.4
199708,63.8,0.3
199709,55.5,-0.1
199710,41.3,-1.4
199711,33.7,2.4
199712,26.4,2.7
199801,23.8,-1.0
199802,31.6,4.1
199803,35.9,1.6
199804,42.6,0.9
199805,51.9,1.9
199806,56.3,0.4
199807,67.7,3.8
199808,65.9,2.4
199809,60.9,5.3
199810,43.2,0.5
199811,34.5,3.2
199812,23.2,-0.5
199901,27.9,3.1
199902,28.3,0.8
199903,33.1,-1.2
199904,40.2,-1.5
199905,45.3,-4.7
199906,53.4,-2.5
199907,59.8,-4.1
199908,64.3,0.8
199909,53.8,-1.8
199910,42.1,-0.6
199911,35.8,4.5
199912,29.6,5.9
200001,23.7,-1.1
200002,28.4,0.9
200003,34.8,0.5
200004,44.2,2.5
200005,47.5,-2.5
200006,55.6,-0.3
200007,61.5,-2.4
200008,62.1,-1.4
200009,52.9,-2.7
200010,42.7,0.0
200011,27.4,-3.9
200012,21.5,-2.2
200101,26.1,1.3
200102,25.5,-2.0
200103,35.0,0.7
200104,39.8,-1.9
200105,50.5,0.5
200106,53.2,-2.7
200107,62.6,-1.3
200108,64.9,1.4
200109,57.6,2.0
200110,40.7,-2.0
200111,34.7,3.4
200112,25.9,2.2
200201,27.0,2.2
200202,28.4,0.9
200203,29.3,-5.0
200204,41.2,-0.5
200205,46.7,-3.3
200206,57.7,1.8
200207,65.1,1.2
200208,62.3,-1.2
200209,54.6,-1.0
200210,42.1,-0.6
200211,34.3,3.0
200212,28.6,4.9
200301,28.9,4.1
200302,29.7,2.2
200303,35.3,1.0
200304,40.9,-0.8
200305,47.8,-2.2
200306,58.7,2.8
200307,66.4,2.5
200308,64.8,1.3
200309,57.1,1.5
200310,46.5,3.8
200311,26.5,-4.8
200312,24.0,0.3
200401,23.7,-1.1
200402,28.8,1.3
200403,38.0,3.7
200404,45.3,3.6
200405,49.1,-0.9
200406,58.5,2.6
200407,65.6,1.7
200408,65.3,1.8
200409,52.7,-2.9
200410,44.3,1.6
200411,33.1,1.8
200412,28.2,4.5
200501,23.2,-1.6
200502,30.4,2.9
200503,37.6,3.3
200504,42.8,1.1
200505,51.8,1.8
200506,54.0,-1.9
200507,62.7,-1.2
200508,64.1,0.6
200509,52.9,-2.7
200510,43.9,1.2
200511,29.5,-1.8
200512,22.4,-1.3
200601,29.1,4.3
200602,26.3,-1.2
200603,33.5,-0.8
200604,42.2,0.5
200605,50.1,0.1
200606,57.4,1.5
200607,66.7,2.8
200608,62.6,-0.9
200609,56.7,1.1
200610,43.7,1.0
200611,28.3,-3.0
200612,22.7,-1.0
200701,21.9,-2.9
200702,29.6,2.1
200703,36.1,1.8
200704,41.1,-0.6
200705,50.6,0.6
200706,54.7,-1.2
200707,67.2,3.3
200708,61.6,-1.9
200709,54.0,-1.6
200710,41.0,-1.7
200711,30.2,-1.1
200712,22.3,-1.4
200801,19.4,-5.4
200802,28.8,1.3
200803,32.2,-2.1
200804,37.0,-4.7
200805,51.2,1.2
200806,54.6,-1.3
