Okanogan County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189501,19.3,-5.5
189502,28.1,0.6
189503,32.8,-1.5
189504,42.5,0.8
189505,47.8,-2.2
189506,56.1,0.2
189507,61.1,-2.8
189508,62.4,-1.1
189509,47.3,-8.3
189510,44.2,1.5
189511,30.0,-1.3
189512,24.8,1.0
189601,21.6,-3.2
189602,29.4,1.9
189603,30.5,-3.8
189604,38.9,-2.8
189605,47.3,-2.7
189606,56.1,0.2
189607,62.9,-1.0
189608,60.3,-3.2
189609,50.4,-5.2
189610,41.6,-1.1
189611,25.9,-5.4
189612,26.4,2.6
189701,21.2,-3.6
189702,25.3,-2.2
189703,24.7,-9.6
189704,43.4,1.7
189705,53.7,3.7
189706,53.7,-2.2
189707,57.1,-6.8
189708,64.2,0.7
189709,51.2,-4.4
189710,42.1,-0.6
189711,27.0,-4.3
189712,20.8,-3.0
189801,18.5,-6.3
189802,30.5,3.0
189803,29.7,-4.6
189804,41.6,-0.1
189805,50.8,0.8
189806,54.4,-1.5
189807,61.2,-2.7
189808,65.2,1.7
189809,54.2,-1.4
189810,40.6,-2.1
189811,27.1,-4.2
189812,20.0,-3.8
189901,22.3,-2.5
189902,21.5,-6.0
189903,30.6,-3.7
189904,39.0,-2.7
189905,44.4,-5.6
189906,53.3,-2.6
189907,62.6,-1.3
189908,55.8,-7.7
189909,55.0,-0.6
189910,40.7,-2.0
189911,37.9,6.6
189912,26.7,2.9
190001,28.7,3.9
190002,24.8,-2.7
190003,37.9,3.6
190004,44.8,3.1
190005,50.5,0.5
190006,58.8,2.9
190007,62.3,-1.6
190008,56.6,-6.9
190009,51.4,-4.2
190010,40.7,-2.0
190011,27.1,-4.2
190012,31.5,7.7
190101,21.2,-3.6
190102,24.4,-3.1
190103,33.4,-0.9
190104,38.7,-3.0
190105,50.5,0.5
190106,51.1,-4.8
190107,59.6,-4.3
190108,63.9,0.4
190109,48.6,-7.0
190110,47.3,4.6
190111,32.5,1.2
190112,25.9,2.1
190201,21.4,-3.4
190202,29.0,1.5
190203,31.9,-2.4
190204,39.4,-2.3
190205,49.5,-0.5
190206,53.3,-2.6
190207,58.3,-5.6
190208,59.7,-3.8
190209,50.3,-5.3
190210,44.9,2.2
190211,28.8,-2.5
190212,22.1,-1.7
190301,23.5,-1.3
190302,20.2,-7.3
190303,28.4,-5.9
190304,38.7,-3.0
190305,48.8,-1.2
190306,59.6,3.7
190307,58.5,-5.4
190308,59.5,-4.0
190309,48.8,-6.8
190310,42.5,-0.2
190311,28.4,-2.9
190312,25.2,1.4
190401,22.9,-1.9
190402,23.8,-3.7
190403,27.5,-6.8
190404,43.0,1.3
190405,47.6,-2.4
190406,55.1,-0.8
190407,63.4,-0.5
190408,63.1,-0.4
190409,54.0,-1.6
190410,44.1,1.4
190411,36.2,4.9
190412,26.5,2.7
190501,23.3,-1.5
190502,22.9,-4.6
190503,37.9,3.6
190504,43.4,1.7
190505,47.5,-2.5
190506,54.2,-1.7
190507,62.9,-1.0
190508,60.1,-3.4
190509,52.7,-2.9
190510,36.4,-6.3
190511,30.3,-1.0
190512,24.4,0.6
190601,23.9,-0.9
190602,29.0,1.5
190603,31.1,-3.2
190604,46.0,4.3
190605,49.2,-0.8
190606,51.4,-4.5
190607,67.6,3.7
190608,61.3,-2.2
190609,53.5,-2.1
190610,43.9,1.2
190611,29.6,-1.7
190612,24.8,1.0
190701,9.6,-15.2
190702,24.2,-3.3
190703,29.7,-4.6
190704,39.0,-2.7
190705,50.8,0.8
190706,53.9,-2.0
190707,61.9,-2.0
190708,56.4,-7.1
190709,52.5,-3.1
190710,47.4,4.7
190711,33.9,2.6
190712,25.7,1.9
190801,23.0,-1.8
190802,24.3,-3.2
190803,31.0,-3.3
190804,42.0,0.3
190805,46.7,-3.3
190806,54.6,-1.3
190807,63.4,-0.5
190808,60.8,-2.7
190809,53.7,-1.9
190810,42.2,-0.5
190811,34.6,3.3
190812,21.7,-2.1
190901,10.7,-14.1
190902,26.2,-1.3
190903,33.5,-0.8
190904,39.1,-2.6
190905,46.8,-3.2
190906,54.4,-1.5
190907,58.2,-5.7
190908,59.0,-4.5
190909,56.0,0.4
190910,42.6,-0.1
190911,30.8,-0.5
190912,17.5,-6.3
191001,20.9,-3.9
191002,19.3,-8.2
191003,38.6,4.3
191004,45.6,3.9
191005,51.4,1.4
191006,53.0,-2.9
191007,62.7,-1.2
191008,56.9,-6.6
191009,53.0,-2.6
191010,43.6,0.9
191011,31.0,-0.3
191012,27.0,3.2
191101,15.2,-9.6
191102,20.2,-7.3
191103,33.6,-0.7
191104,40.3,-1.4
191105,46.3,-3.7
191106,55.7,-0.2
191107,62.8,-1.1
191108,59.4,-4.1
191109,50.3,-5.3
191110,42.0,-0.7
191111,25.6,-5.7
191112,22.9,-0.9
191201,18.5,-6.3
191202,29.1,1.6
191203,31.0,-3.3
191204,41.9,0.2
191205,50.2,0.2
191206,58.5,2.6
191207,60.7,-3.2
191208,58.0,-5.5
191209,50.5,-5.1
191210,39.2,-3.5
191211,32.1,0.8
191212,25.2,1.4
191301,15.8,-9.0
191302,17.9,-9.6
191303,28.7,-5.6
191304,42.1,0.4
191305,48.0,-2.0
191306,55.8,-0.1
191307,60.4,-3.5
191308,62.2,-1.3
191309,52.4,-3.2
191310,39.2,-3.5
191311,32.3,1.0
191312,26.1,2.3
191401,27.0,2.2
191402,23.0,-4.5
