Okanogan County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,31.9,1.2
198902,28.3,-6.9
198903,39.1,-4.3
198904,55.5,3.3
198905,59.8,-1.4
198906,70.5,3.0
198907,76.3,-0.7
198908,71.8,-4.7
198909,69.4,1.8
198910,52.0,0.2
198911,39.9,2.3
198912,33.2,3.8
199001,34.2,3.5
199002,33.4,-1.8
199003,46.1,2.7
199004,55.9,3.7
199005,56.0,-5.2
199006,64.8,-2.7
199007,77.5,0.5
199008,76.1,-0.4
199009,73.7,6.1
199010,48.1,-3.7
199011,40.6,3.0
199012,22.9,-6.5
199101,27.4,-3.3
199102,42.7,7.5
199103,41.4,-2.0
199104,52.6,0.4
199105,57.8,-3.4
199106,63.3,-4.2
199107,76.0,-1.0
199108,76.2,-0.3
199109,71.5,3.9
199110,52.9,1.1
199111,35.9,-1.7
199112,33.2,3.8
199201,32.7,2.0
199202,39.5,4.3
199203,52.3,8.9
199204,53.6,1.4
199205,66.3,5.1
199206,74.7,7.2
199207,72.5,-4.5
199208,76.3,-0.2
199209,64.0,-3.6
199210,53.2,1.4
199211,35.9,-1.7
199212,24.7,-4.7
199301,23.1,-7.6
199302,31.4,-3.8
199303,41.2,-2.2
199304,48.0,-4.2
199305,66.9,5.7
199306,64.5,-3.0
199307,65.7,-11.3
199308,71.5,-5.0
199309,68.2,0.6
199310,56.4,4.6
199311,35.3,-2.3
199312,31.0,1.6
199401,35.6,4.9
199402,31.2,-4.0
199403,48.3,4.9
199404,55.2,3.0
199405,62.5,1.3
199406,66.4,-1.1
199407,80.7,3.7
199408,76.4,-0.1
199409,72.2,4.6
199410,52.6,0.8
199411,31.4,-6.2
199412,29.5,0.1
199501,30.4,-0.3
199502,39.2,4.0
199503,42.2,-1.2
199504,51.0,-1.2
199505,64.3,3.1
199506,66.9,-0.6
199507,74.9,-2.1
199508,69.2,-7.3
199509,70.9,3.3
199510,49.4,-2.4
199511,38.9,1.3
199512,30.0,0.6
199601,25.8,-4.9
199602,32.4,-2.8
199603,41.5,-1.9
199604,51.3,-0.9
199605,54.7,-6.5
199606,66.5,-1.0
199607,78.3,1.3
199608,77.0,0.5
199609,62.8,-4.8
199610,48.6,-3.2
199611,34.4,-3.2
199612,24.0,-5.4
199701,29.2,-1.5
199702,34.4,-0.8
199703,39.9,-3.5
199704,48.9,-3.3
199705,61.6,0.4
199706,64.2,-3.3
199707,72.9,-4.1
199708,76.2,-0.3
199709,66.2,-1.4
199710,49.0,-2.8
199711,39.8,2.2
199712,32.3,2.9
199801,29.3,-1.4
199802,37.1,1.9
199803,44.1,0.7
199804,53.2,1.0
199805,62.4,1.2
199806,67.4,-0.1
199807,80.3,3.3
199808,80.1,3.6
199809,74.1,6.5
199810,52.8,1.0
199811,40.1,2.5
199812,29.4,0.0
199901,33.6,2.9
199902,35.3,0.1
199903,42.0,-1.4
199904,52.0,-0.2
199905,56.5,-4.7
199906,64.7,-2.8
199907,73.0,-4.0
199908,76.8,0.3
199909,66.7,-0.9
199910,52.1,0.3
199911,41.4,3.8
199912,35.0,5.6
200001,29.7,-1.0
200002,35.5,0.3
200003,43.4,0.0
200004,56.1,3.9
200005,58.2,-3.0
200006,67.7,0.2
200007,75.0,-2.0
200008,76.0,-0.5
200009,64.2,-3.4
200010,52.6,0.8
200011,33.4,-4.2
200012,27.2,-2.2
200101,31.5,0.8
200102,33.6,-1.6
200103,44.5,1.1
200104,49.9,-2.3
200105,63.4,2.2
200106,64.4,-3.1
200107,75.7,-1.3
200108,78.4,1.9
200109,70.2,2.6
200110,49.4,-2.4
200111,40.8,3.2
200112,31.4,2.0
200201,33.0,2.3
200202,36.4,1.2
200203,37.6,-5.8
200204,51.7,-0.5
200205,57.5,-3.7
200206,70.6,3.1
200207,79.2,2.2
200208,76.3,-0.2
200209,67.2,-0.4
200210,54.1,2.3
200211,41.4,3.8
200212,32.9,3.5
200301,33.7,3.0
200302,38.7,3.5
200303,44.2,0.8
200304,50.3,-1.9
200305,58.7,-2.5
200306,71.6,4.1
200307,81.4,4.4
200308,79.0,2.5
200309,69.6,2.0
200310,55.9,4.1
200311,33.6,-4.0
200312,29.6,0.2
200401,28.8,-1.9
200402,35.8,0.6
200403,48.1,4.7
200404,57.7,5.5
200405,60.2,-1.0
200406,71.3,3.8
200407,79.2,2.2
200408,77.3,0.8
200409,63.3,-4.3
200410,53.7,1.9
200411,40.0,2.4
200412,33.5,4.1
200501,28.8,-1.9
200502,41.3,6.1
200503,47.4,4.0
200504,53.8,1.6
200505,62.9,1.7
200506,65.1,-2.4
200507,76.6,-0.4
200508,78.9,2.4
200509,65.0,-2.6
200510,51.7,-0.1
200511,34.6,-3.0
200512,27.8,-1.6
200601,34.1,3.4
200602,35.3,0.1
200603,42.2,-1.2
200604,52.6,0.4
200605,62.1,0.9
200606,69.0,1.5
200607,80.6,3.6
200608,76.7,0.2
200609,69.2,1.6
200610,53.7,1.9
200611,34.4,-3.2
200612,28.7,-0.7
200701,28.7,-2.0
200702,35.9,0.7
200703,45.1,1.7
200704,51.8,-0.4
200705,63.3,2.1
200706,66.3,-1.2
200707,80.6,3.6
200708,74.6,-1.9
200709,66.1,-1.5
200710,49.4,-2.4
200711,37.1,-0.5
200712,28.4,-1.0
200801,26.2,-4.5
200802,36.7,1.5
200803,41.4,-2.0
200804,47.7,-4.5
200805,62.4,1.2
200806,66.3,-1.2
