Okanogan County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,16.9,-2.0
198902,11.0,-8.8
198903,23.1,-2.2
198904,32.4,1.2
198905,37.3,-1.4
198906,46.0,1.8
198907,48.5,-2.2
198908,48.3,-2.1
198909,42.2,-1.5
198910,32.8,-0.8
198911,27.4,2.4
198912,23.2,5.3
199001,22.0,3.1
199002,15.5,-4.3
199003,25.6,0.3
199004,34.3,3.1
199005,37.9,-0.8
199006,43.7,-0.5
199007,52.1,1.4
199008,51.7,1.3
199009,46.2,2.5
199010,31.4,-2.2
199011,26.3,1.3
199012,9.8,-8.1
199101,13.6,-5.3
199102,27.0,7.2
199103,23.0,-2.3
199104,30.4,-0.8
199105,37.9,-0.8
199106,41.5,-2.7
199107,49.7,-1.0
199108,51.8,1.4
199109,45.0,1.3
199110,31.0,-2.6
199111,25.2,0.2
199112,22.5,4.6
199201,22.2,3.3
199202,27.4,7.6
199203,29.3,4.0
199204,33.2,2.0
199205,39.8,1.1
199206,49.3,5.1
199207,50.4,-0.3
199208,49.4,-1.0
199209,40.2,-3.5
199210,34.8,1.2
199211,24.9,-0.1
199212,11.8,-6.1
199301,10.5,-8.4
199302,15.9,-3.9
199303,24.6,-0.7
199304,31.5,0.3
199305,42.9,4.2
199306,43.6,-0.6
199307,46.4,-4.3
199308,48.2,-2.2
199309,42.8,-0.9
199310,35.9,2.3
199311,18.5,-6.5
199312,20.9,3.0
199401,24.6,5.7
199402,18.5,-1.3
199403,26.0,0.7
199404,34.8,3.6
199405,40.0,1.3
199406,42.8,-1.4
199407,52.8,2.1
199408,50.4,0.0
199409,46.1,2.4
199410,33.5,-0.1
199411,19.8,-5.2
199412,18.1,0.2
199501,19.6,0.7
199502,22.8,3.0
199503,24.5,-0.8
199504,30.4,-0.8
199505,40.2,1.5
199506,44.6,0.4
199507,50.4,-0.3
199508,45.0,-5.4
199509,46.0,2.3
199510,32.6,-1.0
199511,26.4,1.4
199512,18.8,0.9
199601,13.8,-5.1
199602,16.5,-3.3
199603,23.9,-1.4
199604,31.4,0.2
199605,35.2,-3.5
199606,42.1,-2.1
199607,50.7,0.0
199608,49.3,-1.1
199609,40.8,-2.9
199610,32.5,-1.1
199611,22.5,-2.5
199612,12.4,-5.5
199701,16.3,-2.6
199702,18.4,-1.4
199703,23.8,-1.5
199704,29.5,-1.7
199705,39.9,1.2
199706,43.0,-1.2
199707,48.1,-2.6
199708,51.4,1.0
199709,44.8,1.1
199710,33.7,0.1
199711,27.4,2.4
199712,20.5,2.6
199801,18.3,-0.6
199802,26.0,6.2
199803,27.6,2.3
199804,31.9,0.7
199805,41.5,2.8
199806,45.3,1.1
199807,55.0,4.3
199808,51.8,1.4
199809,47.7,4.0
199810,33.6,0.0
199811,28.8,3.8
199812,17.1,-0.8
199901,22.1,3.2
199902,21.3,1.5
199903,24.2,-1.1
199904,28.4,-2.8
199905,34.1,-4.6
199906,42.0,-2.2
199907,46.5,-4.2
199908,51.9,1.5
199909,40.9,-2.8
199910,32.0,-1.6
199911,30.1,5.1
199912,24.1,6.2
200001,17.6,-1.3
200002,21.4,1.6
200003,26.2,0.9
200004,32.4,1.2
200005,36.8,-1.9
200006,43.6,-0.6
200007,48.0,-2.7
200008,48.2,-2.2
200009,41.6,-2.1
200010,32.8,-0.8
200011,21.4,-3.6
200012,15.8,-2.1
200101,20.6,1.7
200102,17.4,-2.4
200103,25.5,0.2
200104,29.8,-1.4
200105,37.7,-1.0
200106,41.9,-2.3
200107,49.5,-1.2
200108,51.4,1.0
200109,45.0,1.3
200110,32.0,-1.6
200111,28.6,3.6
200112,20.5,2.6
200201,21.1,2.2
200202,20.3,0.5
200203,21.0,-4.3
200204,30.8,-0.4
200205,35.9,-2.8
200206,44.7,0.5
200207,51.0,0.3
200208,48.2,-2.2
200209,42.0,-1.7
200210,30.1,-3.5
200211,27.2,2.2
200212,24.3,6.4
200301,24.1,5.2
200302,20.6,0.8
200303,26.3,1.0
200304,31.6,0.4
200305,37.0,-1.7
200306,45.8,1.6
200307,51.5,0.8
200308,50.6,0.2
200309,44.6,0.9
200310,37.2,3.6
200311,19.4,-5.6
200312,18.4,0.5
200401,18.6,-0.3
200402,21.8,2.0
200403,27.9,2.6
200404,33.0,1.8
200405,38.0,-0.7
200406,45.7,1.5
200407,52.0,1.3
200408,53.2,2.8
200409,42.2,-1.5
200410,34.8,1.2
200411,26.2,1.2
200412,22.9,5.0
200501,17.6,-1.3
200502,19.5,-0.3
200503,27.9,2.6
200504,31.8,0.6
200505,40.6,1.9
200506,42.9,-1.3
200507,48.8,-1.9
200508,49.3,-1.1
200509,40.9,-2.8
200510,36.0,2.4
200511,24.4,-0.6
200512,16.9,-1.0
200601,24.0,5.1
200602,17.3,-2.5
200603,24.9,-0.4
200604,31.9,0.7
200605,38.1,-0.6
200606,45.8,1.6
200607,52.7,2.0
200608,48.4,-2.0
200609,44.2,0.5
200610,33.7,0.1
200611,22.3,-2.7
200612,16.8,-1.1
200701,15.1,-3.8
200702,23.3,3.5
200703,27.1,1.8
200704,30.4,-0.8
200705,37.8,-0.9
200706,43.2,-1.0
200707,53.8,3.1
200708,48.5,-1.9
200709,42.0,-1.7
200710,32.5,-1.1
200711,23.2,-1.8
200712,16.3,-1.6
200801,12.6,-6.3
200802,20.9,1.1
200803,23.0,-2.3
200804,26.3,-4.9
200805,39.9,1.2
200806,42.8,-1.4
