Okanogan County, Washington, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,1.67,-1.26
198902,2.37,0.21
198903,2.51,0.28
198904,1.77,0.18
198905,3.03,1.07
198906,0.50,-1.18
198907,0.81,-0.10
198908,1.36,0.55
198909,0.33,-0.58
198910,2.36,0.42
198911,1.85,-1.10
198912,1.19,-2.05
199001,4.04,1.11
199002,1.83,-0.33
199003,1.27,-0.96
199004,1.27,-0.32
199005,4.74,2.78
199006,2.40,0.72
199007,1.49,0.58
199008,2.31,1.50
199009,0.09,-0.82
199010,1.95,0.01
199011,4.27,1.32
199012,2.44,-0.80
199101,2.36,-0.57
199102,1.77,-0.39
199103,2.08,-0.15
199104,1.59,0.00
199105,2.69,0.73
199106,2.59,0.91
199107,0.69,-0.22
199108,0.80,-0.01
199109,0.15,-0.76
199110,0.71,-1.23
199111,3.96,1.01
199112,1.79,-1.45
199201,2.65,-0.28
199202,2.38,0.22
199203,0.69,-1.54
199204,1.50,-0.09
199205,0.29,-1.67
199206,3.54,1.86
199207,3.03,2.12
199208,0.48,-0.33
199209,0.56,-0.35
199210,1.09,-0.85
199211,3.17,0.22
199212,2.91,-0.33
199301,2.15,-0.78
199302,0.75,-1.41
199303,1.16,-1.07
199304,2.92,1.33
199305,1.43,-0.53
199306,2.90,1.22
199307,3.83,2.92
199308,1.32,0.51
199309,0.61,-0.30
199310,0.72,-1.22
199311,0.70,-2.25
199312,3.52,0.28
199401,1.63,-1.30
199402,3.15,0.99
199403,0.98,-1.25
199404,2.48,0.89
199405,1.47,-0.49
199406,1.62,-0.06
199407,0.23,-0.68
199408,0.77,-0.04
199409,0.52,-0.39
199410,2.68,0.74
199411,3.90,0.95
199412,3.22,-0.02
199501,4.89,1.96
199502,2.07,-0.09
199503,4.43,2.20
199504,1.34,-0.25
199505,1.43,-0.53
199506,2.07,0.39
199507,0.60,-0.31
199508,0.98,0.17
199509,0.69,-0.22
199510,1.42,-0.52
199511,5.24,2.29
199512,3.79,0.55
199601,2.83,-0.10
