Washington, Palmer Hydrological Drought Index (PHDI)
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,-1.65,-1.56
198902,-2.06,-1.85
198903,-1.17,-1.09
198904,-1.19,-1.37
198905,-0.77,-0.99
198906,-1.17,-1.35
198907,-1.18,-1.32
198908,-0.78,-0.74
198909,-1.53,-1.14
198910,-1.66,-1.42
198911,-1.52,-1.54
198912,-2.44,-2.34
199001,-1.33,-1.24
199002,-0.71,-0.50
199003,-1.37,-1.29
199004,-1.39,-1.57
199005,-0.65,-0.87
199006,1.21,1.03
199007,1.54,1.40
199008,1.87,1.91
199009,0.70,1.09
199010,1.55,1.79
199011,2.45,2.43
199012,1.77,1.87
199101,1.18,1.27
199102,1.00,1.21
199103,0.91,0.99
199104,1.66,1.48
199105,1.89,1.67
199106,2.15,1.97
199107,2.28,2.14
199108,2.57,2.61
199109,1.41,1.80
199110,-1.61,-1.37
199111,-1.03,-1.05
199112,-1.74,-1.64
199201,-1.35,-1.26
199202,-1.75,-1.54
199203,-3.17,-3.09
199204,-2.46,-2.64
199205,-3.18,-3.40
199206,-3.22,-3.40
199207,-2.91,-3.05
199208,-2.93,-2.89
199209,-2.51,-2.12
199210,-2.85,-2.61
199211,-2.58,-2.60
199212,-2.84,-2.74
199301,-3.12,-3.03
199302,-4.16,-3.95
199303,-3.87,-3.79
199304,-2.37,-2.55
199305,-1.97,-2.19
199306,-1.27,-1.45
199307,2.72,2.58
199308,2.94,2.98
199309,1.94,2.33
199310,0.93,1.17
199311,-2.34,-2.36
199312,-2.38,-2.28
199401,-2.81,-2.72
199402,-2.27,-2.06
199403,-2.62,-2.54
199404,-2.50,-2.68
199405,-2.42,-2.64
199406,-2.05,-2.23
199407,-2.06,-2.20
199408,-2.41,-2.37
199409,-2.64,-2.25
199410,-1.80,-1.56
199411,-1.13,-1.15
199412,-0.64,-0.54
199501,1.22,1.31
199502,0.98,1.19
199503,1.16,1.24
199504,1.16,0.98
199505,0.59,0.37
199506,0.56,0.38
199507,0.61,0.47
199508,0.91,0.95
199509,0.70,1.09
199510,1.14,1.38
199511,2.54,2.52
199512,2.42,2.52
199601,2.41,2.50
199602,3.30,3.51
199603,2.08,2.16
199604,3.10,2.92
199605,3.59,3.37
199606,2.93,2.75
199607,2.55,2.41
199608,1.91,1.95
199609,1.84,2.23
199610,2.40,2.64
199611,2.54,2.52
199612,3.98,4.08
199701,3.98,4.07
199702,3.19,3.40
199703,4.43,4.51
199704,4.58,4.40
199705,4.25,4.03
199706,4.37,4.19
199707,4.79,4.65
199708,4.60,4.64
199709,5.04,5.43
199710,5.85,6.09
199711,4.78,4.76
199712,3.46,3.56
199801,3.73,3.82
199802,3.19,3.40
199803,2.64,2.72
199804,1.76,1.58
199805,2.23,2.01
199806,1.88,1.70
199807,1.84,1.70
199808,1.01,1.05
199809,-1.72,-1.33
199810,-2.02,-1.78
199811,-0.69,-0.71
199812,2.17,2.27
199901,2.32,2.41
199902,3.93,4.14
199903,3.59,3.67
199904,2.66,2.48
199905,2.70,2.48
199906,2.52,2.34
199907,2.62,2.48
