Skagit County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
189501,30.5,-3.8
189502,37.2,1.6
189503,38.5,-0.5
189504,44.0,-0.3
189505,48.8,-1.4
189506,55.3,0.6
189507,59.7,-1.0
189508,59.2,-2.1
189509,50.7,-5.5
189510,47.3,0.7
189511,37.6,-0.8
189512,34.6,1.3
189601,32.2,-2.1
189602,37.6,2.0
189603,35.9,-3.1
189604,40.8,-3.5
189605,46.8,-3.4
189606,53.9,-0.8
189607,60.9,0.2
189608,59.8,-1.5
189609,51.4,-4.8
189610,46.0,-0.6
189611,29.0,-9.4
189612,36.6,3.3
189701,31.7,-2.6
189702,34.7,-0.9
189703,32.1,-6.9
189704,46.0,1.7
189705,52.0,1.8
189706,54.6,-0.1
189707,56.9,-3.8
189708,62.5,1.2
189709,52.9,-3.3
189710,45.5,-1.1
189711,34.3,-4.1
189712,32.6,-0.7
189801,30.8,-3.5
189802,37.7,2.1
189803,35.9,-3.1
189804,44.2,-0.1
189805,51.8,1.6
189806,55.2,0.5
189807,59.6,-1.1
189808,61.9,0.6
189809,55.8,-0.4
189810,45.8,-0.8
189811,35.7,-2.7
189812,31.2,-2.1
189901,32.0,-2.3
189902,30.7,-4.9
189903,35.8,-3.2
189904,42.7,-1.6
189905,45.7,-4.5
189906,51.6,-3.1
189907,60.0,-0.7
189908,56.8,-4.5
189909,56.0,-0.2
189910,44.8,-1.8
189911,43.4,5.0
189912,35.8,2.5
190001,36.6,2.3
190002,34.1,-1.5
190003,41.9,2.9
190004,45.8,1.5
190005,50.1,-0.1
190006,55.5,0.8
190007,59.7,-1.0
190008,57.1,-4.2
190009,53.3,-2.9
190010,45.0,-1.6
190011,35.7,-2.7
190012,38.5,5.2
190101,30.8,-3.5
190102,34.1,-1.5
190103,38.6,-0.4
190104,41.6,-2.7
190105,49.9,-0.3
190106,51.0,-3.7
190107,57.0,-3.7
190108,60.8,-0.5
190109,52.4,-3.8
190110,50.0,3.4
190111,40.5,2.1
190112,34.2,0.9
190201,31.7,-2.6
190202,38.0,2.4
190203,37.2,-1.8
190204,43.2,-1.1
190205,50.0,-0.2
190206,53.7,-1.0
190207,58.0,-2.7
190208,58.5,-2.8
190209,52.4,-3.8
190210,47.4,0.8
190211,36.4,-2.0
190212,32.6,-0.7
190301,33.6,-0.7
190302,31.7,-3.9
190303,34.6,-4.4
190304,41.7,-2.6
190305,47.9,-2.3
190306,56.2,1.5
190307,57.0,-3.7
190308,58.7,-2.6
190309,52.3,-3.9
190310,46.3,-0.3
190311,37.1,-1.3
190312,34.8,1.5
190401,33.0,-1.3
190402,31.7,-3.9
190403,34.5,-4.5
190404,46.1,1.8
190405,48.0,-2.2
190406,53.0,-1.7
190407,59.7,-1.0
190408,58.8,-2.5
190409,54.7,-1.5
190410,47.8,1.2
190411,42.5,4.1
190412,35.9,2.6
190501,32.5,-1.8
190502,34.4,-1.2
190503,42.3,3.3
190504,45.8,1.5
190505,48.5,-1.7
190506,53.8,-0.9
190507,60.7,0.0
190508,58.6,-2.7
190509,54.2,-2.0
190510,41.8,-4.8
190511,37.5,-0.9
190512,34.7,1.4
190601,33.9,-0.4
190602,37.5,1.9
190603,38.8,-0.2
190604,47.0,2.7
190605,49.7,-0.5
190606,53.2,-1.5
190607,63.7,3.0
190608,60.1,-1.2
190609,53.1,-3.1
190610,46.6,0.0
190611,36.4,-2.0
190612,34.2,0.9
190701,22.6,-11.7
190702,33.7,-1.9
190703,36.1,-2.9
190704,42.8,-1.5
190705,51.2,1.0
190706,53.6,-1.1
190707,60.1,-0.6
190708,57.4,-3.9
190709,54.6,-1.6
190710,48.8,2.2
190711,40.2,1.8
190712,34.6,1.3
190801,32.4,-1.9
190802,34.3,-1.3
190803,37.3,-1.7
190804,44.3,0.0
190805,47.6,-2.6
190806,53.4,-1.3
190807,60.5,-0.2
190808,58.3,-3.0
190809,52.7,-3.5
190810,45.0,-1.6
190811,40.7,2.3
190812,30.4,-2.9
190901,23.2,-11.1
190902,34.0,-1.6
190903,37.4,-1.6
190904,41.4,-2.9
190905,46.8,-3.4
190906,53.1,-1.6
190907,56.5,-4.2
190908,57.0,-4.3
190909,54.6,-1.6
190910,45.6,-1.0
190911,36.1,-2.3
190912,27.3,-6.0
191001,28.6,-5.7
191002,29.6,-6.0
191003,40.2,1.2
191004,44.0,-0.3
191005,50.8,0.6
191006,53.2,-1.5
191007,58.9,-1.8
191008,56.8,-4.5
191009,53.9,-2.3
191010,45.5,-1.1
191011,35.7,-2.7
191012,34.4,1.1
191101,25.9,-8.4
191102,31.2,-4.4
191103,38.4,-0.6
191104,41.5,-2.8
191105,47.3,-2.9
191106,52.5,-2.2
191107,61.0,0.3
191108,59.3,-2.0
191109,52.2,-4.0
191110,45.7,-0.9
191111,34.8,-3.6
191112,33.2,-0.1
191201,30.8,-3.5
191202,37.2,1.6
191203,37.1,-1.9
191204,43.4,-0.9
191205,51.8,1.6
191206,55.7,1.0
191207,60.4,-0.3
191208,58.9,-2.4
191209,53.7,-2.5
191210,43.6,-3.0
191211,38.3,-0.1
191212,33.4,0.1
191301,26.0,-8.3
191302,29.8,-5.8
191303,34.1,-4.9
191304,44.0,-0.3
191305,48.4,-1.8
191306,54.8,0.1
191307,59.9,-0.8
191308,61.0,-0.3
191309,54.4,-1.8
191310,44.2,-2.4
191311,37.9,-0.5
191312,33.4,0.1
191401,33.4,-0.9
