Skagit County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,37.8,-1.0
198902,35.7,-6.1
198903,42.5,-3.7
198904,56.4,3.5
198905,57.0,-2.4
198906,66.6,2.9
198907,67.8,-3.2
198908,67.4,-4.2
198909,68.7,3.4
198910,53.6,0.3
198911,43.8,0.6
198912,40.6,3.1
199001,39.5,0.7
199002,37.6,-4.2
199003,48.2,2.0
199004,55.2,2.3
199005,56.7,-2.7
199006,61.6,-2.1
199007,73.4,2.4
199008,72.8,1.2
199009,67.7,2.4
199010,49.3,-4.0
199011,43.6,0.4
199012,31.6,-5.9
199101,36.1,-2.7
199102,46.6,4.8
199103,44.0,-2.2
199104,51.9,-1.0
199105,55.7,-3.7
199106,59.4,-4.3
199107,70.3,-0.7
199108,70.2,-1.4
199109,67.1,1.8
199110,54.9,1.6
199111,43.3,0.1
199112,40.5,3.0
199201,41.0,2.2
199202,47.1,5.3
199203,54.8,8.6
199204,55.6,2.7
199205,63.8,4.4
199206,68.8,5.1
199207,68.7,-2.3
199208,72.0,0.4
199209,61.3,-4.0
199210,54.2,0.9
199211,42.9,-0.3
199212,34.6,-2.9
199301,32.7,-6.1
199302,42.6,0.8
199303,48.4,2.2
199304,51.0,-1.9
199305,64.1,4.7
199306,60.6,-3.1
199307,63.0,-8.0
199308,68.8,-2.8
199309,66.8,1.5
199310,57.2,3.9
199311,40.4,-2.8
199312,38.9,1.4
199401,42.8,4.0
199402,38.1,-3.7
199403,49.8,3.6
199404,54.7,1.8
199405,61.2,1.8
199406,62.4,-1.3
199407,73.2,2.2
199408,72.0,0.4
199409,68.1,2.8
199410,53.3,0.0
199411,37.5,-5.7
199412,37.4,-0.1
199501,40.4,1.6
199502,44.2,2.4
199503,47.1,0.9
199504,53.4,0.5
199505,63.4,4.0
199506,65.5,1.8
199507,70.5,-0.5
199508,65.1,-6.5
199509,69.6,4.3
199510,50.4,-2.9
199511,45.7,2.5
199512,38.9,1.4
199601,35.7,-3.1
199602,43.1,1.3
199603,47.0,0.8
199604,52.6,-0.3
199605,53.4,-6.0
199606,63.4,-0.3
199607,73.1,2.1
199608,71.6,0.0
199609,60.1,-5.2
199610,51.2,-2.1
199611,40.5,-2.7
199612,33.5,-4.0
199701,37.7,-1.1
199702,42.2,0.4
199703,43.5,-2.7
199704,51.9,-1.0
199705,61.1,1.7
199706,61.6,-2.1
199707,68.0,-3.0
199708,73.6,2.0
199709,66.1,0.8
199710,50.9,-2.4
199711,47.1,3.9
199712,39.8,2.3
199801,37.7,-1.1
199802,44.0,2.2
199803,47.2,1.0
199804,54.3,1.4
199805,58.7,-0.7
199806,64.1,0.4
199807,73.6,2.6
199808,74.1,2.5
199809,70.6,5.3
199810,54.7,1.4
199811,44.0,0.8
199812,36.1,-1.4
199901,39.2,0.4
199902,39.2,-2.6
199903,44.2,-2.0
199904,53.0,0.1
199905,55.3,-4.1
199906,59.7,-4.0
199907,68.1,-2.9
199908,70.6,-1.0
199909,66.1,0.8
199910,54.1,0.8
199911,45.0,1.8
199912,39.3,1.8
200001,37.4,-1.4
200002,43.5,1.7
200003,45.2,-1.0
200004,55.8,2.9
200005,56.2,-3.2
200006,64.4,0.7
200007,68.7,-2.3
200008,69.3,-2.3
200009,63.6,-1.7
200010,54.0,0.7
200011,41.5,-1.7
200012,37.9,0.4
200101,40.8,2.0
200102,42.0,0.2
200103,47.1,0.9
200104,50.9,-2.0
200105,58.9,-0.5
200106,60.9,-2.8
200107,68.6,-2.4
200108,70.8,-0.8
200109,64.9,-0.4
200110,50.5,-2.8
200111,44.3,1.1
200112,37.7,0.2
200201,37.4,-1.4
200202,41.0,-0.8
200203,40.4,-5.8
200204,51.2,-1.7
200205,55.7,-3.7
200206,65.7,2.0
200207,70.7,-0.3
200208,71.5,-0.1
200209,65.0,-0.3
200210,54.3,1.0
200211,47.5,4.3
200212,40.3,2.8
200301,43.4,4.6
200302,43.9,2.1
200303,45.0,-1.2
200304,50.8,-2.1
200305,58.0,-1.4
200306,67.5,3.8
200307,75.4,4.4
200308,74.2,2.6
200309,67.7,2.4
200310,55.8,2.5
200311,41.0,-2.2
200312,38.4,0.9
200401,37.1,-1.7
200402,44.3,2.5
200403,49.0,2.8
200404,59.2,6.3
200405,59.7,0.3
200406,67.5,3.8
200407,74.1,3.1
200408,72.8,1.2
200409,60.6,-4.7
200410,54.5,1.2
200411,44.5,1.3
200412,40.7,3.2
200501,39.3,0.5
200502,46.4,4.6
200503,50.3,4.1
200504,54.8,1.9
200505,62.2,2.8
200506,61.0,-2.7
200507,70.7,-0.3
200508,73.6,2.0
200509,63.3,-2.0
200510,53.4,0.1
200511,41.5,-1.7
200512,38.9,1.4
200601,40.8,2.0
200602,41.3,-0.5
200603,46.0,-0.2
200604,53.4,0.5
200605,59.8,0.4
200606,65.8,2.1
200607,72.9,1.9
200608,71.4,-0.2
200609,66.7,1.4
200610,54.4,1.1
200611,41.1,-2.1
200612,38.3,0.8
200701,37.7,-1.1
200702,42.5,0.7
200703,46.4,0.2
200704,51.6,-1.3
200705,60.3,0.9
200706,61.7,-2.0
200707,71.9,0.9
200708,69.2,-2.4
200709,62.7,-2.6
200710,50.6,-2.7
200711,42.8,-0.4
200712,36.8,-0.7
200801,35.5,-3.3
200802,41.8,0.0
200803,42.8,-3.4
200804,48.0,-4.9
200805,58.5,-0.9
200806,60.1,-3.6
200807,69.7,-1.3
