Skagit County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,29.1,-0.7
198902,21.0,-8.5
198903,30.0,-1.7
198904,36.2,0.6
198905,39.9,-1.1
198906,46.3,0.6
198907,49.1,-1.3
198908,50.4,-0.7
198909,45.7,-1.2
198910,39.3,-0.6
198911,35.3,1.6
198912,32.1,3.1
199001,31.1,1.3
199002,25.6,-3.9
199003,30.9,-0.8
199004,37.8,2.2
199005,40.9,-0.1
199006,45.8,0.1
199007,51.9,1.5
199008,52.2,1.1
199009,48.4,1.5
199010,38.2,-1.7
199011,34.9,1.2
199012,21.9,-7.1
199101,26.2,-3.6
199102,34.2,4.7
199103,29.4,-2.3
199104,34.8,-0.8
199105,40.7,-0.3
199106,44.3,-1.4
199107,49.7,-0.7
199108,51.6,0.5
199109,47.1,0.2
199110,38.0,-1.9
199111,34.9,1.2
199112,32.6,3.6
199201,32.5,2.7
199202,34.0,4.5
199203,35.0,3.3
199204,37.7,2.1
199205,42.1,1.1
199206,48.2,2.5
199207,51.9,1.5
199208,50.9,-0.2
199209,44.2,-2.7
199210,41.3,1.4
199211,34.4,0.7
199212,26.2,-2.8
199301,21.7,-8.1
199302,26.4,-3.1
199303,32.2,0.5
199304,37.0,1.4
199305,44.9,3.9
199306,46.3,0.6
199307,49.7,-0.7
199308,51.1,0.0
199309,45.4,-1.5
199310,42.1,2.2
199311,29.0,-4.7
199312,30.0,1.0
199401,34.8,5.0
199402,27.8,-1.7
199403,32.8,1.1
199404,38.7,3.1
199405,41.6,0.6
199406,44.5,-1.2
199407,50.4,0.0
199408,50.6,-0.5
199409,48.1,1.2
199410,39.0,-0.9
199411,29.5,-4.2
199412,29.1,0.1
199501,29.8,0.0
199502,31.3,1.8
199503,31.5,-0.2
199504,35.0,-0.6
199505,41.4,0.4
199506,46.2,0.5
199507,51.3,0.9
199508,47.5,-3.6
199509,48.9,2.0
199510,39.5,-0.4
199511,35.7,2.0
199512,30.1,1.1
199601,27.8,-2.0
199602,28.2,-1.3
199603,31.3,-0.4
199604,37.4,1.8
199605,38.2,-2.8
199606,44.0,-1.7
199607,50.2,-0.2
199608,50.4,-0.7
199609,45.4,-1.5
199610,38.5,-1.4
199611,31.7,-2.0
199612,25.9,-3.1
199701,28.7,-1.1
199702,29.4,-0.1
199703,31.2,-0.5
199704,34.2,-1.4
199705,42.1,1.1
199706,45.0,-0.7
199707,49.5,-0.9
199708,52.4,1.3
199709,48.4,1.5
199710,40.1,0.2
199711,36.0,2.3
199712,30.8,1.8
199801,29.5,-0.3
199802,33.5,4.0
199803,33.5,1.8
199804,35.4,-0.2
199805,42.7,1.7
199806,47.6,1.9
199807,53.3,2.9
199808,51.4,0.3
199809,47.5,0.6
199810,40.2,0.3
199811,35.6,1.9
199812,27.9,-1.1
199901,31.8,2.0
199902,30.3,0.8
199903,30.4,-1.3
199904,32.4,-3.2
199905,36.4,-4.6
199906,43.7,-2.0
199907,47.9,-2.5
199908,51.4,0.3
199909,44.9,-2.0
199910,38.3,-1.6
199911,36.4,2.7
199912,31.6,2.6
200001,28.4,-1.4
200002,30.4,0.9
200003,31.8,0.1
200004,36.4,0.8
200005,40.2,-0.8
200006,45.4,-0.3
200007,49.5,-0.9
200008,48.6,-2.5
200009,46.1,-0.8
200010,39.4,-0.5
200011,30.9,-2.8
200012,28.1,-0.9
200101,30.8,1.0
200102,27.2,-2.3
200103,32.3,0.6
200104,34.2,-1.4
200105,39.4,-1.6
200106,43.6,-2.1
200107,48.4,-2.0
200108,51.4,0.3
200109,47.1,0.2
200110,38.3,-1.6
200111,35.6,1.9
200112,29.2,0.2
200201,30.7,0.9
200202,29.1,-0.4
200203,28.1,-3.6
200204,34.3,-1.3
200205,38.2,-2.8
200206,45.5,-0.2
200207,49.7,-0.7
200208,49.5,-1.6
200209,45.0,-1.9
200210,37.9,-2.0
200211,35.6,1.9
200212,31.9,2.9
200301,33.5,3.7
200302,29.8,0.3
200303,33.5,1.8
200304,36.3,0.7
200305,39.8,-1.2
200306,46.7,1.0
200307,50.0,-0.4
200308,50.0,-1.1
200309,47.3,0.4
200310,42.8,2.9
200311,29.3,-4.4
200312,30.1,1.1
200401,29.1,-0.7
200402,31.5,2.0
200403,33.8,2.1
200404,37.2,1.6
200405,42.4,1.4
200406,46.9,1.2
200407,52.2,1.8
200408,53.8,2.7
200409,46.2,-0.7
200410,40.7,0.8
200411,34.2,0.5
200412,32.7,3.7
200501,29.9,0.1
200502,28.8,-0.7
200503,34.3,2.6
200504,36.4,0.8
200505,44.2,3.2
200506,46.4,0.7
200507,49.8,-0.6
200508,50.7,-0.4
200509,44.6,-2.3
200510,42.3,2.4
200511,32.8,-0.9
200512,30.4,1.4
200601,33.8,4.0
200602,27.8,-1.7
200603,31.0,-0.7
200604,35.0,-0.6
200605,39.8,-1.2
200606,46.9,1.2
200607,51.0,0.6
200608,49.3,-1.8
200609,46.4,-0.5
200610,38.7,-1.2
200611,32.3,-1.4
200612,30.0,1.0
200701,26.9,-2.9
200702,31.9,2.4
200703,33.2,1.5
200704,35.1,-0.5
200705,39.4,-1.6
200706,44.8,-0.9
200707,51.8,1.4
200708,49.2,-1.9
200709,45.5,-1.4
200710,38.7,-1.2
200711,32.1,-1.6
200712,29.0,0.0
200801,27.0,-2.8
200802,30.4,0.9
200803,29.9,-1.8
200804,31.3,-4.3
200805,40.8,-0.2
200806,43.0,-2.7
