Skagit County, Washington, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,11.53,0.04
198902,3.76,-3.66
198903,9.84,1.16
198904,5.32,-0.37
198905,4.55,0.72
198906,1.63,-1.47
198907,1.18,-0.39
198908,2.78,0.84
198909,0.55,-3.05
198910,6.44,-2.09
198911,17.62,4.37
198912,8.06,-3.00
199001,14.81,3.32
199002,11.44,4.02
199003,5.56,-3.12
199004,3.88,-1.81
199005,3.35,-0.48
199006,5.74,2.64
199007,1.02,-0.55
199008,3.66,1.72
199009,0.78,-2.82
199010,14.65,6.12
199011,26.24,12.99
199012,13.09,2.03
199101,10.45,-1.04
199102,9.63,2.21
199103,6.74,-1.94
199104,7.86,2.17
199105,3.58,-0.25
199106,2.96,-0.14
199107,1.30,-0.27
199108,3.84,1.90
199109,0.84,-2.76
199110,2.66,-5.87
199111,14.67,1.42
199112,9.33,-1.73
199201,13.77,2.28
199202,6.06,-1.36
199203,1.54,-7.14
199204,7.34,1.65
199205,1.37,-2.46
199206,3.99,0.89
199207,2.66,1.09
199208,1.93,-0.01
199209,5.35,1.75
199210,4.17,-4.36
199211,11.87,-1.38
199212,8.58,-2.48
199301,7.10,-4.39
199302,0.69,-6.73
199303,6.97,-1.71
199304,5.96,0.27
199305,5.30,1.47
199306,5.44,2.34
199307,4.06,2.49
199308,1.57,-0.37
199309,1.20,-2.40
199310,4.74,-3.79
199311,5.30,-7.95
199312,10.66,-0.40
199401,6.90,-4.59
199402,9.08,1.66
199403,6.62,-2.06
199404,4.57,-1.12
199405,2.06,-1.77
199406,3.65,0.55
199407,1.29,-0.28
199408,0.63,-1.31
199409,3.20,-0.40
199410,9.40,0.87
199411,12.99,-0.26
199412,13.24,2.18
199501,7.72,-3.77
199502,9.53,2.11
199503,7.30,-1.38
199504,3.84,-1.85
199505,1.82,-2.01
199506,2.00,-1.10
199507,2.77,1.20
199508,4.38,2.44
199509,2.14,-1.46
199510,10.86,2.33
199511,23.55,10.30
199512,10.95,-0.11
199601,11.27,-0.22
