Spokane County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,28.4,-1.0
198902,22.7,-9.4
198903,36.2,-2.8
198904,48.0,2.4
198905,51.7,-2.1
198906,62.6,2.6
198907,66.8,-1.3
198908,62.8,-4.4
198909,58.9,0.1
198910,45.9,-0.3
198911,37.4,1.7
198912,31.0,2.4
199001,32.4,3.0
199002,29.6,-2.5
199003,40.5,1.5
199004,48.8,3.2
199005,51.3,-2.5
199006,58.8,-1.2
199007,68.8,0.7
199008,66.9,-0.3
199009,63.9,5.1
199010,43.7,-2.5
199011,37.7,2.0
199012,21.2,-7.4
199101,25.8,-3.6
199102,39.3,7.2
199103,36.2,-2.8
199104,45.1,-0.5
199105,50.5,-3.3
199106,55.4,-4.6
199107,66.7,-1.4
199108,68.4,1.2
199109,60.2,1.4
199110,45.4,-0.8
199111,34.1,-1.6
199112,33.0,4.4
199201,32.1,2.7
199202,38.8,6.7
199203,45.1,6.1
199204,47.8,2.2
199205,57.0,3.2
199206,65.9,5.9
199207,65.5,-2.6
199208,67.3,0.1
199209,55.1,-3.7
199210,48.3,2.1
199211,33.7,-2.0
199212,24.0,-4.6
199301,22.0,-7.4
199302,26.0,-6.1
199303,37.8,-1.2
199304,44.5,-1.1
199305,58.9,5.1
199306,58.6,-1.4
199307,58.6,-9.5
199308,62.7,-4.5
199309,57.4,-1.4
199310,49.3,3.1
199311,29.7,-6.0
199312,31.0,2.4
199401,35.5,6.1
199402,28.8,-3.3
199403,41.4,2.4
199404,48.3,2.7
199405,55.4,1.6
199406,59.3,-0.7
199407,71.0,2.9
199408,67.7,0.5
199409,61.9,3.1
199410,45.5,-0.7
199411,31.2,-4.5
199412,30.2,1.6
199501,31.6,2.2
199502,36.8,4.7
199503,39.0,0.0
199504,44.5,-1.1
199505,55.3,1.5
199506,58.6,-1.4
199507,66.0,-2.1
199508,61.4,-5.8
199509,60.0,1.2
199510,42.7,-3.5
199511,39.1,3.4
199512,29.4,0.8
199601,26.1,-3.3
199602,29.3,-2.8
199603,36.4,-2.6
199604,45.5,-0.1
199605,48.2,-5.6
199606,59.0,-1.0
199607,68.6,0.5
199608,66.1,-1.1
199609,54.3,-4.5
199610,44.5,-1.7
199611,33.5,-2.2
199612,25.6,-3.0
199701,28.1,-1.3
199702,31.9,-0.2
199703,38.0,-1.0
199704,42.6,-3.0
199705,55.4,1.6
199706,58.6,-1.4
199707,65.6,-2.5
199708,68.7,1.5
199709,60.1,1.3
199710,45.8,-0.4
199711,38.0,2.3
199712,29.8,1.2
199801,30.2,0.8
199802,37.3,5.2
199803,40.5,1.5
199804,46.8,1.2
199805,54.5,0.7
199806,60.4,0.4
199807,72.9,4.8
199808,69.7,2.5
199809,63.6,4.8
199810,45.6,-0.6
199811,38.6,2.9
199812,28.2,-0.4
199901,31.5,2.1
199902,33.9,1.8
199903,38.9,-0.1
199904,43.8,-1.8
199905,49.2,-4.6
199906,57.8,-2.2
199907,64.0,-4.1
199908,68.4,1.2
199909,56.9,-1.9
199910,46.4,0.2
199911,41.1,5.4
199912,32.1,3.5
200001,28.5,-0.9
200002,33.9,1.8
200003,38.7,-0.3
200004,48.0,2.4
200005,52.0,-1.8
200006,59.6,-0.4
200007,66.1,-2.0
200008,65.9,-1.3
200009,55.0,-3.8
200010,45.9,-0.3
200011,28.2,-7.5
200012,25.5,-3.1
200101,28.2,-1.2
200102,28.2,-3.9
200103,38.9,-0.1
200104,42.9,-2.7
200105,54.2,0.4
200106,57.0,-3.0
200107,66.2,-1.9
200108,69.2,2.0
200109,61.7,2.9
200110,44.7,-1.5
200111,39.8,4.1
200112,28.8,0.2
200201,30.7,1.3
200202,31.6,-0.5
200203,33.8,-5.2
200204,44.6,-1.0
200205,50.3,-3.5
200206,60.8,0.8
200207,69.2,1.1
200208,64.4,-2.8
200209,57.4,-1.4
200210,42.6,-3.6
200211,36.9,1.2
200212,33.8,5.2
200301,34.1,4.7
200302,33.4,1.3
200303,40.2,1.2
200304,44.8,-0.8
200305,52.4,-1.4
200306,62.3,2.3
200307,70.1,2.0
200308,68.1,0.9
200309,60.1,1.3
200310,50.3,4.1
200311,30.1,-5.6
200312,30.1,1.5
200401,27.1,-2.3
200402,32.9,0.8
200403,42.5,3.5
200404,48.3,2.7
200405,52.7,-1.1
200406,61.0,1.0
200407,69.4,1.3
200408,68.1,0.9
200409,56.0,-2.8
200410,47.5,1.3
200411,36.3,0.6
200412,32.5,3.9
200501,28.9,-0.5
200502,34.6,2.5
200503,41.2,2.2
200504,46.7,1.1
200505,55.1,1.3
200506,58.1,-1.9
200507,67.4,-0.7
200508,66.8,-0.4
200509,55.4,-3.4
200510,47.8,1.6
200511,34.0,-1.7
200512,24.8,-3.8
200601,35.3,5.9
200602,31.0,-1.1
200603,38.0,-1.0
200604,46.1,0.5
200605,54.5,0.7
200606,61.9,1.9
200607,71.3,3.2
200608,66.2,-1.0
200609,59.1,0.3
200610,45.7,-0.5
200611,35.6,-0.1
200612,28.8,0.2
200701,24.7,-4.7
200702,33.6,1.5
200703,41.4,2.4
200704,45.0,-0.6
200705,54.2,0.4
200706,59.8,-0.2
200707,72.7,4.6
200708,65.6,-1.6
200709,57.2,-1.6
200710,45.6,-0.6
200711,34.6,-1.1
200712,28.6,0.0
200801,24.9,-4.5
200802,32.7,0.6
200803,36.0,-3.0
200804,40.6,-5.0
200805,54.4,0.6
200806,58.3,-1.7
