Date,Value,Anomaly
189501,24.3,-5.1
189502,32.6,0.5
189503,36.5,-2.5
189504,46.8,1.2
189505,51.4,-2.4
189506,58.2,-1.8
189507,63.5,-4.6
189508,63.2,-4
189509,50,-8.8
189510,46.8,0.6
189511,34.2,-1.5
189512,28,-0.7
189601,28.3,-1.1
189602,35.6,3.5
189603,35,-4
189604,41.8,-3.8
189605,47,-6.8
189606,59.1,-0.9
189607,68.9,0.8
189608,64.2,-3
189609,54.6,-4.2
189610,46.4,0.2
189611,27.2,-8.5
189612,33.8,5.1
189701,25.5,-3.9
189702,30.4,-1.7
189703,29.7,-9.3
189704,46.9,1.3
189705,58.8,5
189706,58.2,-1.8
189707,61.3,-6.8
189708,67.5,0.3
189709,54.3,-4.5
189710,45,-1.2
189711,32.7,-3
189712,27.5,-1.2
189801,23,-6.4
189802,35.1,3
189803,33.7,-5.3
189804,46.6,1
189805,51.8,-2
189806,59.4,-0.6
189807,65.1,-3
189808,68.8,1.6
189809,56.9,-1.9
189810,43.6,-2.6
189811,31.7,-4
189812,23,-5.7
189901,25.2,-4.2
189902,22.8,-9.3
189903,35,-4
189904,42.6,-3
189905,48.4,-5.4
189906,56.4,-3.6
189907,66,-2.1
189908,58.4,-8.8
189909,58.8,0
189910,44.2,-2
189911,42.2,6.5
189912,31.3,2.6
190001,32.6,3.2
190002,28.7,-3.4
190003,42.3,3.3
190004,48.1,2.5
190005,54.1,0.3
190006,62,2
190007,65.7,-2.4
190008,60.6,-6.6
190009,54.9,-3.9
190010,45.3,-0.9
190011,32.3,-3.4
190012,35,6.3
190101,27.1,-2.3
190102,29.5,-2.6
190103,38.6,-0.4
190104,42.6,-3
190105,54.7,0.9
190106,53.5,-6.5
190107,63.5,-4.6
190108,68.1,0.9
190109,52.1,-6.7
190110,51,4.8
190111,38.3,2.6
190112,30.8,2.1
190201,24.8,-4.6
190202,33.6,1.5
190203,36.6,-2.4
190204,43.6,-2
190205,52.2,-1.6
190206,56.5,-3.5
190207,61.2,-6.9
190208,62.4,-4.8
190209,54.5,-4.3
190210,48.8,2.6
190211,34,-1.7
190212,28.5,-0.2
190301,28.9,-0.5
190302,25.5,-6.6
190303,35.8,-3.2
190304,42.1,-3.5
190305,51.2,-2.6
190306,63.1,3.1
190307,61.8,-6.3
190308,63.5,-3.7
190309,52.6,-6.2
190310,47,0.8
190311,34.5,-1.2
190312,29.4,0.7
190401,28.8,-0.6
190402,30.2,-1.9
190403,33.1,-5.9
190404,47.4,1.8
190405,52.1,-1.7
190406,58,-2
190407,66.2,-1.9
190408,66,-1.2
190409,57.2,-1.6
190410,48.2,2
190411,41.5,5.8
190412,31.4,2.7
190501,28.4,-1
190502,27.8,-4.3
190503,41.2,2.2
190504,46.8,1.2
190505,51.2,-2.6
190506,57.6,-2.4
190507,67.1,-1
190508,64.6,-2.6
190509,57.1,-1.7
190510,40.1,-6.1
190511,34.1,-1.6
190512,29.1,0.4
190601,28.3,-1.1
190602,32.7,0.6
190603,34.7,-4.3
190604,49.4,3.8
190605,52.8,-1
190606,55.7,-4.3
190607,72,3.9
190608,64.3,-2.9
190609,57.4,-1.4
190610,47.4,1.2
190611,32.5,-3.2
190612,30.5,1.8
190701,16,-13.4
190702,31.1,-1
190703,36.5,-2.5
190704,43.3,-2.3
190705,54,0.2
190706,57.2,-2.8
190707,65.2,-2.9
190708,59.4,-7.8
190709,54.5,-4.3
190710,51,4.8
190711,37.7,2
190712,30.7,2
