Spokane County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,33.9,-0.9
198902,30.5,-9.0
198903,44.0,-4.5
198904,59.5,2.7
198905,63.6,-2.4
198906,75.8,3.1
198907,82.8,-0.8
198908,76.2,-6.6
198909,74.3,0.8
198910,57.2,-0.2
198911,43.4,0.8
198912,35.5,1.6
199001,37.0,2.2
199002,37.2,-2.3
199003,51.7,3.2
199004,60.4,3.6
199005,62.2,-3.8
199006,71.0,-1.7
199007,84.2,0.6
199008,81.1,-1.7
199009,80.9,7.4
199010,53.8,-3.6
199011,44.1,1.5
199012,27.4,-6.5
199101,31.2,-3.6
199102,47.1,7.6
199103,45.6,-2.9
199104,56.6,-0.2
199105,61.6,-4.4
199106,67.4,-5.3
199107,82.4,-1.2
199108,84.0,1.2
199109,76.7,3.2
199110,58.9,1.5
199111,39.7,-2.9
199112,37.8,3.9
199201,36.7,1.9
199202,45.7,6.2
199203,57.2,8.7
199204,59.2,2.4
199205,72.6,6.6
199206,80.2,7.5
199207,79.4,-4.2
199208,83.1,0.3
199209,69.5,-4.0
199210,59.7,2.3
199211,38.3,-4.3
199212,30.0,-3.9
199301,28.0,-6.8
199302,33.5,-6.0
199303,46.5,-2.0
199304,53.3,-3.5
199305,71.3,5.3
199306,70.9,-1.8
199307,70.1,-13.5
199308,77.0,-5.8
199309,73.0,-0.5
199310,61.8,4.4
199311,39.2,-3.4
199312,34.8,0.9
199401,40.2,5.4
199402,35.1,-4.4
199403,53.0,4.5
199404,59.0,2.2
199405,67.7,1.7
199406,73.4,0.7
199407,87.5,3.9
199408,83.9,1.1
199409,77.5,4.0
199410,56.4,-1.0
199411,36.7,-5.9
199412,35.0,1.1
199501,37.0,2.2
199502,45.1,5.6
199503,48.6,0.1
199504,55.4,-1.4
199505,68.1,2.1
199506,70.2,-2.5
199507,80.6,-3.0
199508,76.4,-6.4
199509,74.0,0.5
199510,52.2,-5.2
199511,46.3,3.7
199512,34.7,0.8
199601,31.6,-3.2
199602,37.6,-1.9
199603,45.7,-2.8
199604,55.8,-1.0
199605,58.6,-7.4
199606,72.6,-0.1
199607,85.2,1.6
199608,82.6,-0.2
199609,67.8,-5.7
199610,54.6,-2.8
199611,39.5,-3.1
199612,31.2,-2.7
199701,33.7,-1.1
199702,39.0,-0.5
199703,46.4,-2.1
199704,53.3,-3.5
199705,67.3,1.3
199706,70.6,-2.1
199707,80.3,-3.3
199708,84.3,1.5
199709,73.4,-0.1
199710,55.7,-1.7
199711,45.8,3.2
199712,35.3,1.4
199801,35.6,0.8
199802,44.1,4.6
199803,49.5,1.0
199804,58.7,1.9
199805,65.6,-0.4
199806,73.0,0.3
199807,88.2,4.6
199808,86.4,3.6
199809,79.4,5.9
199810,57.5,0.1
199811,43.6,1.0
199812,32.9,-1.0
199901,35.6,0.8
199902,39.7,0.2
199903,48.3,-0.2
199904,56.3,-0.5
199905,61.8,-4.2
199906,69.9,-2.8
199907,79.4,-4.2
199908,83.4,0.6
199909,73.5,0.0
199910,59.0,1.6
199911,48.2,5.6
199912,36.5,2.6
200001,33.6,-1.2
200002,40.0,0.5
200003,47.5,-1.0
200004,60.4,3.6
200005,63.6,-2.4
200006,72.4,-0.3
200007,81.6,-2.0
200008,82.4,-0.4
200009,67.8,-5.7
200010,57.4,0.0
200011,35.0,-7.6
200012,30.4,-3.5
200101,33.4,-1.4
200102,35.7,-3.8
200103,48.9,0.4
200104,53.0,-3.8
200105,67.9,1.9
200106,69.4,-3.3
200107,81.6,-2.0
200108,85.6,2.8
200109,77.6,4.1
200110,55.6,-1.8
200111,46.4,3.8
200112,34.0,0.1
200201,35.6,0.8
200202,39.4,-0.1
200203,41.7,-6.8
200204,55.7,-1.1
200205,61.7,-4.3
200206,73.8,1.1
200207,85.0,1.4
200208,80.3,-2.5
200209,72.3,-1.2
200210,56.6,-0.8
200211,45.3,2.7
200212,37.9,4.0
200301,38.5,3.7
200302,41.1,1.6
200303,48.6,0.1
200304,55.1,-1.7
200305,63.6,-2.4
200306,76.5,3.8
200307,88.2,4.6
200308,84.4,1.6
200309,74.9,1.4
200310,62.9,5.5
200311,38.4,-4.2
200312,35.1,1.2
200401,31.6,-3.2
200402,39.7,0.2
200403,54.2,5.7
200404,61.6,4.8
200405,64.1,-1.9
200406,74.0,1.3
200407,84.8,1.2
200408,82.3,-0.5
200409,68.3,-5.2
200410,58.5,1.1
200411,43.4,0.8
200412,37.6,3.7
200501,35.4,0.6
200502,46.0,6.5
200503,52.2,3.7
200504,58.7,1.9
200505,66.3,0.3
200506,70.0,-2.7
200507,83.0,-0.6
200508,83.8,1.0
200509,69.4,-4.1
200510,57.6,0.2
200511,39.9,-2.7
200512,31.2,-2.7
200601,40.3,5.5
200602,39.6,0.1
200603,46.7,-1.8
200604,57.0,0.2
200605,67.8,1.8
200606,74.5,1.8
200607,87.4,3.8
200608,83.0,0.2
200609,74.6,1.1
200610,58.1,0.7
200611,42.6,0.0
200612,34.7,0.8
200701,31.4,-3.4
200702,39.4,-0.1
200703,51.0,2.5
200704,56.6,-0.2
200705,67.6,1.6
200706,72.7,0.0
200707,88.9,5.3
200708,81.3,-1.5
200709,72.2,-1.3
200710,56.4,-1.0
200711,42.5,-0.1
200712,33.9,0.0
200801,31.7,-3.1
200802,39.8,0.3
200803,44.5,-4.0
200804,51.7,-5.1
200805,67.0,1.0
200806,71.2,-1.5
