Spokane County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,22.9,-1.1
198902,14.8,-9.9
198903,28.4,-1.0
198904,36.5,2.1
198905,39.8,-1.8
198906,49.3,2.1
198907,50.9,-1.7
198908,49.4,-2.1
198909,43.4,-0.7
198910,34.6,-0.3
198911,31.4,2.6
198912,26.5,3.2
199001,27.8,3.8
199002,22.0,-2.7
199003,29.3,-0.1
199004,37.2,2.8
199005,40.3,-1.3
199006,46.5,-0.7
199007,53.4,0.8
199008,52.7,1.2
199009,46.8,2.7
199010,33.6,-1.3
199011,31.2,2.4
199012,14.9,-8.4
199101,20.4,-3.6
199102,31.4,6.7
199103,26.7,-2.7
199104,33.5,-0.9
199105,39.4,-2.2
199106,43.5,-3.7
199107,51.1,-1.5
199108,52.7,1.2
199109,43.6,-0.5
199110,31.9,-3.0
199111,28.4,-0.4
199112,28.2,4.9
199201,27.5,3.5
199202,31.9,7.2
199203,33.0,3.6
199204,36.4,2.0
199205,41.3,-0.3
199206,51.5,4.3
199207,51.7,-0.9
199208,51.4,-0.1
199209,40.7,-3.4
199210,36.9,2.0
199211,29.0,0.2
199212,18.0,-5.3
199301,16.0,-8.0
199302,18.6,-6.1
199303,29.2,-0.2
199304,35.6,1.2
199305,46.5,4.9
199306,46.3,-0.9
199307,47.1,-5.5
199308,48.4,-3.1
199309,41.9,-2.2
199310,36.8,1.9
199311,20.3,-8.5
199312,27.1,3.8
199401,30.7,6.7
199402,22.6,-2.1
199403,29.8,0.4
199404,37.6,3.2
199405,43.0,1.4
199406,45.1,-2.1
199407,54.5,1.9
199408,51.5,0.0
199409,46.3,2.2
199410,34.6,-0.3
199411,25.8,-3.0
199412,25.3,2.0
199501,26.2,2.2
199502,28.5,3.8
199503,29.4,0.0
199504,33.5,-0.9
199505,42.5,0.9
199506,47.1,-0.1
199507,51.3,-1.3
199508,46.5,-5.0
199509,46.0,1.9
199510,33.1,-1.8
199511,32.0,3.2
199512,24.1,0.8
199601,20.6,-3.4
199602,20.9,-3.8
199603,27.0,-2.4
199604,35.1,0.7
199605,38.0,-3.6
199606,45.5,-1.7
199607,52.1,-0.5
199608,49.5,-2.0
199609,40.9,-3.2
199610,34.3,-0.6
199611,27.4,-1.4
199612,20.1,-3.2
199701,22.6,-1.4
199702,24.8,0.1
199703,29.6,0.2
199704,31.8,-2.6
199705,43.5,1.9
199706,46.6,-0.6
199707,50.9,-1.7
199708,53.2,1.7
199709,46.7,2.6
199710,35.9,1.0
199711,30.3,1.5
199712,24.2,0.9
199801,24.9,0.9
199802,30.4,5.7
199803,31.5,2.1
199804,35.0,0.6
199805,43.3,1.7
199806,47.7,0.5
199807,57.6,5.0
199808,53.0,1.5
199809,47.9,3.8
199810,33.7,-1.2
199811,33.7,4.9
199812,23.5,0.2
199901,27.4,3.4
199902,28.2,3.5
199903,29.5,0.1
199904,31.4,-3.0
199905,36.7,-4.9
199906,45.8,-1.4
199907,48.6,-4.0
199908,53.3,1.8
199909,40.3,-3.8
199910,33.9,-1.0
199911,34.0,5.2
199912,27.8,4.5
200001,23.4,-0.6
200002,27.9,3.2
200003,30.0,0.6
200004,35.7,1.3
200005,40.5,-1.1
200006,46.7,-0.5
200007,50.6,-2.0
200008,49.3,-2.2
200009,42.0,-2.1
200010,34.4,-0.5
200011,21.3,-7.5
200012,20.6,-2.7
200101,23.0,-1.0
200102,20.7,-4.0
200103,28.8,-0.6
200104,32.8,-1.6
200105,40.5,-1.1
200106,44.5,-2.7
200107,50.7,-1.9
200108,52.6,1.1
200109,45.8,1.7
200110,33.8,-1.1
200111,33.3,4.5
200112,23.5,0.2
200201,25.8,1.8
200202,23.8,-0.9
200203,25.8,-3.6
200204,33.4,-1.0
200205,38.8,-2.8
200206,47.7,0.5
200207,53.5,0.9
200208,48.5,-3.0
200209,42.6,-1.5
200210,28.6,-6.3
200211,28.4,-0.4
200212,29.6,6.3
200301,29.6,5.6
200302,25.8,1.1
200303,31.9,2.5
200304,34.5,0.1
200305,41.1,-0.5
200306,48.0,0.8
200307,52.1,-0.5
200308,51.8,0.3
200309,45.2,1.1
200310,37.8,2.9
200311,21.8,-7.0
200312,25.2,1.9
200401,22.6,-1.4
200402,26.0,1.3
200403,30.8,1.4
200404,35.1,0.7
200405,41.2,-0.4
200406,48.0,0.8
200407,53.8,1.2
200408,53.9,2.4
200409,43.6,-0.5
200410,36.5,1.6
200411,29.1,0.3
200412,27.3,4.0
200501,22.4,-1.6
200502,23.2,-1.5
200503,30.1,0.7
200504,34.7,0.3
200505,43.8,2.2
200506,46.2,-1.0
200507,51.8,-0.8
200508,49.9,-1.6
200509,41.3,-2.8
200510,38.0,3.1
200511,28.2,-0.6
200512,18.5,-4.8
200601,30.2,6.2
200602,22.3,-2.4
200603,29.3,-0.1
200604,35.2,0.8
200605,41.2,-0.4
200606,49.3,2.1
200607,55.3,2.7
200608,49.4,-2.1
200609,43.5,-0.6
200610,33.3,-1.6
200611,28.6,-0.2
200612,23.0,-0.3
200701,18.0,-6.0
200702,27.9,3.2
200703,31.8,2.4
200704,33.5,-0.9
200705,40.8,-0.8
200706,46.9,-0.3
200707,56.5,3.9
200708,49.9,-1.6
200709,42.2,-1.9
200710,34.7,-0.2
200711,26.7,-2.1
200712,23.3,0.0
200801,18.0,-6.0
200802,25.5,0.8
200803,27.4,-2.0
200804,29.4,-5.0
200805,41.8,0.2
