Date,Value,Anomaly
198901,1.81,-0.67
198902,1.49,-0.29
198903,3.6,1.42
198904,1.11,-0.59
198905,2.64,0.81
198906,0.48,-1.1
198907,0.45,-0.15
198908,2.35,1.74
198909,0.21,-0.5
198910,1.59,-0.14
198911,2.33,-0.17
198912,1.37,-1.4
199001,3.33,0.85
199002,1.65,-0.13
199003,1.04,-1.14
199004,1.91,0.21
199005,3.21,1.38
199006,2.21,0.63
199007,1.01,0.41
199008,1.17,0.56
199009,0,-0.71
199010,3.02,1.29
199011,1.69,-0.81
199012,2.36,-0.41
199101,2.14,-0.34
199102,1.15,-0.63
199103,2.68,0.5
199104,1.84,0.14
199105,2.26,0.43
199106,1.96,0.38
199107,0.57,-0.03
199108,0.55,-0.06
199109,0.05,-0.66
199110,0.61,-1.12
199111,3.14,0.64
199112,1.49,-1.28
199201,2.46,-0.02
199202,1.97,0.19
199203,0.5,-1.68
199204,1.15,-0.55
199205,0.41,-1.42
199206,1.71,0.13
199207,1.41,0.81
199208,0.46,-0.15
199209,0.71,0
199210,1.07,-0.66
199211,3.72,1.22
199212,2.32,-0.45
199301,2.06,-0.42
199302,0.75,-1.03
199303,1.56,-0.62
199304,2.94,1.24
199305,1.67,-0.16
199306,1.08,-0.5
199307,3.16,2.56
199308,0.85,0.24
199309,0.36,-0.35
199310,0.76,-0.97
199311,0.93,-1.57
199312,2.46,-0.31
199401,1.87,-0.61
199402,1.01,-0.77
199403,0.79,-1.39
199404,1.75,0.05
199405,1.72,-0.11
199406,1.35,-0.23
199407,0.1,-0.5
199408,0.07,-0.54
199409,0.65,-0.06
199410,2.9,1.17
199411,3.5,1
199412,2.46,-0.31
199501,3.39,0.91
199502,2.02,0.24
199503,3.46,1.28
199504,1.13,-0.57
199505,1.28,-0.55
199506,2.77,1.19
199507,1.09,0.49
199508,0.68,0.07
199509,1.93,1.22
199510,2.22,0.49
199511,2.18,-0.32
199512,2.93,0.16
199601,2.94,0.46
199602,3.24,1.46
199603,1.26,-0.92
199604,2.68,0.98
199605,2.33,0.5
199606,1.41,-0.17
199607,0.31,-0.29
199608,0.51,-0.1
199609,0.85,0.14
199610,3.56,1.83
199611,4.18,1.68
